Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Allview Soul X7 Pro,ALLVIEW,121253,13,"2020, May 26",161.9 x 76.8 x 8.3 mm (6.37 x 3.02 x 0.33 in),193 g (6.81 oz),"6.53 inches, 104.7 cm2 (~84.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",microSDXC (uses shared SIM slot),64GB 4GB RAM,"13 MP, f/1.8, (wide), 1/3.1"", 1.12µm, PDAF
8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","16 MP, (wide), 1/3.06"" 1.0µm","5.1, A2DP, LE","Li-Po 4000 mAh, non-removable",About 230 EUR
Allview Soul X7 Style,ALLVIEW,44191,5,"2020, May 26",157.6 x 75.2 x 8.3 mm (6.20 x 2.96 x 0.33 in),184.7 g (6.53 oz),"6.21 inches, 96.3 cm2 (~81.2% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)",microSDXC (uses shared SIM slot),64GB 4GB RAM,"13 MP, f/2.2, AF
0.3 MP, (depth)",5 MP,"4.0, A2DP",Li-Po 3400 mAh battery,About 130 EUR
Allview V4 Viper Pro,ALLVIEW,73815,6,"2020, January",171 x 82 x 8.8 mm (6.73 x 3.23 x 0.35 in),191.6 g (6.77 oz),"6.8 inches, 115.4 cm2 (~82.3% screen-to-body ratio)","640 x 1352 pixels, 19:9 ratio (~220 ppi density)",microSDXC (uses shared SIM slot),32GB 2GB RAM,"13 MP, AF
0.3 MP, (depth)",8 MP,"4.0, A2DP","Li-Po 3500 mAh, non-removable",About 170 EUR
Allview V4 Viper,ALLVIEW,41877,3,"2019, September",145.8 x 70.9 x 8.5 mm (5.74 x 2.79 x 0.33 in),138 g (4.87 oz),"5.7 inches, 81.1 cm2 (~78.4% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",microSDXC (uses shared SIM slot),16GB 2GB RAM,"8 MP, AF
0.3 MP, (depth)",5 MP,"4.1, A2DP, LE","Li-Po 2700 mAh, non-removable",About 100 EUR
Allview Soul X6 Mini,ALLVIEW,47108,4,"2019, May",158.3 x 76.4 x 8.3 mm (6.23 x 3.01 x 0.33 in),175.7 g (6.21 oz),"6.2 inches, 95.9 cm2 (~79.3% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"13 MP, AF
2 MP, (depth)",13 MP,"4.1, A2DP, LE","Li-Po 4000 mAh, non-removable",
Allview Soul X6 Xtreme,ALLVIEW,107070,20,"2019, April",157 x 74.3 x 8.9 mm (6.18 x 2.93 x 0.35 in),176.6 g (6.24 oz),"6.39 inches, 100.2 cm2 (~85.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",microSDXC (uses shared SIM slot),64GB 4GB RAM,"16 MP, f/1.8, PDAF
5 MP, f/2.4, (depth)",Motorized pop-up 8 MP,"4.2, A2DP, LE","Li-Po 3450 mAh, non-removable",About 360 EUR
Allview P10 Pro,ALLVIEW,65147,1,"2019, April",161.5 x 76.5 x 8.8 mm (6.36 x 3.01 x 0.35 in),182 g (6.42 oz),"5.99 inches, 92.6 cm2 (~74.9% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~269 ppi density)",microSDXC,32GB 3GB RAM,"13 MP, AF
QVGA",8 MP,"4.2, A2DP, LE",Li-Po 3000 mAh battery,
Allview P10 Max,ALLVIEW,36366,2,"2019, April",160.7 x 77.7 x 8.3 mm (6.33 x 3.06 x 0.33 in),172 g (6.07 oz),"5.99 inches, 92.6 cm2 (~74.2% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~179 ppi density)",microSDXC,8GB 1GB RAM,"13 MP, AF",13 MP,"4.0, A2DP, LE",Li-Po 3200 mAh battery,
Allview P10 Mini,ALLVIEW,32046,0,"2019, April",144.2 x 72 x 9.9 mm (5.68 x 2.83 x 0.39 in),152.6 g (5.40 oz),"5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,8GB 1GB RAM,"8 MP, AF",2 MP,"4.2, A2DP, LE",Li-Po 2400 mAh battery,
Allview P10 Life,ALLVIEW,33520,3,"2019, January",149.4 x 71.9 x 9.4 mm (5.88 x 2.83 x 0.37 in),177.6 g (6.28 oz),"5.34 inches, 73.6 cm2 (~68.5% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~201 ppi density)",microSDXC,16GB 2GB RAM,"8 MP, AF",5 MP,"4.2, A2DP, LE",Li-Po 2500 mAh battery,
