Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Asus ROG Phone 6D Ultimate,ASUS,307312,97,"2022, September 19",173 x 77 x 10.4 mm (6.81 x 3.03 x 0.41 in),247 g (8.71 oz),"6.78 inches, 109.5 cm2 (~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),No,512GB 16GB RAM,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF
13 MP, f/2.2, 13mm (ultrawide)
5 MP, (macro)","12 MP, 28mm (wide)","5.3, A2DP, LE, aptX HD, aptX Adaptive","Li-Po 6000 mAh, non-removable","$ 687.90 / € 1,399.00 / £ 1,249.99 / C$ 2,499.00"
Asus ROG Phone 6D,ASUS,90017,29,"2022, September 19",173 x 77 x 10.4 mm (6.81 x 3.03 x 0.41 in),239 g (8.43 oz),"6.78 inches, 109.5 cm2 (~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),No,"256GB 12GB RAM, 256GB 16GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF
13 MP, f/2.2, 13mm (ultrawide)
5 MP, (macro)","12 MP, 28mm (wide)","5.3, A2DP, LE, aptX HD, aptX Adaptive","Li-Po 6000 mAh, non-removable","$ 974.99 / C$ 2,375.00"
Asus ROG Phone 6 Diablo Immortal Edition,ASUS,27408,10,"2022, November 17",173 x 77 x 10.4 mm (6.81 x 3.03 x 0.41 in),239 g (8.43 oz),"6.78 inches, 109.5 cm2 (~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),No,512GB 16GB RAM,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF
13 MP, f/2.2, 13mm (ultrawide)
5 MP, (macro)","12 MP, 28mm (wide)","5.2, A2DP, LE, aptX HD, aptX Adaptive","Li-Po 6000 mAh, non-removable","$ 1,199.99"
Asus ROG Phone 6 Batman Edition,ASUS,73365,29,"2022, September 19",173 x 77 x 10.4 mm (6.81 x 3.03 x 0.41 in),239 g (8.43 oz),"6.78 inches, 109.5 cm2 (~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),No,256GB 12GB RAM,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF
13 MP, f/2.2, 13mm (ultrawide)
5 MP, (macro)","12 MP, 28mm (wide)","5.2, A2DP, LE, aptX HD, aptX Adaptive - Snapdragon model
5.3, A2DP, LE - MediaTek model","Li-Po 6000 mAh, non-removable","$ 1,099.00 / € 1,685.77 / £ 1,100.49"
Asus Zenfone 9,ASUS,1199573,494,"2022, July 28",146.5 x 68.1 x 9.1 mm (5.77 x 2.68 x 0.36 in),169 g (5.96 oz),"5.9 inches, 84.4 cm2 (~84.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~445 ppi density)",No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 16GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, gimbal OIS
12 MP, f/2.2, 14mm, 113° (ultrawide), 1/2.55"", 1.4µm, Dual Pixel PDAF","12 MP, f/2.5, 28mm (standard), 1/2.93"", 1.22µm, Dual Pixel PDAF","5.2, A2DP, LE, aptX HD, aptX Adaptive","Li-Po 4300 mAh, non-removable",$ 629.00 / € 749.00 / £ 653.26
Asus ROG Phone 6 Pro,ASUS,630744,204,"2022, July 05",173 x 77 x 10.3 mm (6.81 x 3.03 x 0.41 in),239 g (8.43 oz),"6.78 inches, 109.5 cm2 (~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),No,512GB 18GB RAM,"50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF
13 MP, f/2.2, (ultrawide)
5 MP, (macro)","12 MP, 28mm (wide)","5.2, A2DP, LE, aptX HD, aptX Adaptive","Li-Po 6000 mAh, non-removable","$ 2,175.00 / € 1,687.52"
Asus ROG Phone 6,ASUS,377969,84,"2022, July 05",173 x 77 x 10.3 mm (6.81 x 3.03 x 0.41 in),239 g (8.43 oz),"6.78 inches, 109.5 cm2 (~82.2% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),No,"128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 512GB 16GB RAM","50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF
13 MP, f/2.2, (ultrawide)
5 MP, (macro)","12 MP, 28mm (wide)","5.2, A2DP, LE, aptX HD, aptX Adaptive","Li-Po 6000 mAh, non-removable","$ 640.99 / € 1,099.00 / £ 859.99 / C$ 2,285.00"
Asus ROG Phone 5s Pro,ASUS,931782,259,"2021, August 16",172.8 x 77.3 x 9.9 mm (6.80 x 3.04 x 0.39 in),238 g (8.40 oz),"6.78 inches, 109.5 cm2 (~82.0% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),No,512GB 18GB RAM,"64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF
13 MP, f/2.4, 11mm, 125˚ (ultrawide)
5 MP, f/2.0, (macro)","24 MP, f/2.5, 27mm (wide), 0.9µm","5.2, A2DP, LE, aptX HD, aptX Adaptive","Li-Po 6000 mAh, non-removable",About 2000 EUR
Asus ROG Phone 5s,ASUS,477371,109,"2021, August 16",172.8 x 77.3 x 9.9 mm (6.80 x 3.04 x 0.39 in),238 g (8.40 oz),"6.78 inches, 109.5 cm2 (~82.0% screen-to-body ratio)",1080 x 2448 pixels (~395 ppi density),No,"128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM, 512GB 18GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF
13 MP, f/2.4, 11mm, 125˚ (ultrawide)
5 MP, f/2.0, (macro)","24 MP, f/2.5, 27mm (wide), 0.9µm","5.2, A2DP, LE, aptX HD, aptX Adaptive","Li-Po 6000 mAh, non-removable",$ 439.92 / € 976.59 / £ 507.25
Asus Smartphone for Snapdragon Insiders,ASUS,366015,124,"2021, July 08",173.2 x 77.3 x 9.6 mm (6.82 x 3.04 x 0.38 in),210 g (7.41 oz),"6.78 inches, 109.5 cm2 (~81.8% screen-to-body ratio)",1080 x 2400 pixels (~395 ppi density),No,512GB 16GB RAM,"64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF, OIS
8 MP, f/2.4, 80mm (telephoto), PDAF, 3x optical zoom, OIS
12 MP, f/2.2, 112˚, 14mm (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF","24 MP, f/2.5, 27mm (wide), 0.9µm","5.2, A2DP, LE, aptX HD, aptX Adaptive","Li-Po 4000 mAh, non-removable",About 1270 EUR
