Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
BenQ-Siemens SF71,BENQ-SIEMENS,212087,9,"2007, March",96 x 48 x 23 mm (3.78 x 1.89 x 0.91 in),118 g (4.16 oz),"2.0 inches, 12.4 cm2 (~26.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",microSD (dedicated slot),45MB,2 MP,VGA videocall camera,"1.1, A2DP",Removable Li-Ion 920 mAh battery,
BenQ-Siemens E52,BENQ-SIEMENS,195583,8,"2007, June",102 x 45 x 14.9 mm (4.02 x 1.77 x 0.59 in),122 g (4.30 oz),"1.8 inches, 10.2 cm2 (~22.2% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),microSD,20MB,1.3 MP,No,1.2,Removable Li-Ion 920 mAh battery,
BenQ-Siemens C32,BENQ-SIEMENS,116523,9,"2007, July",101.6 x 47.3 x 16.6 mm (4.0 x 1.86 x 0.65 in),82 g (2.89 oz),"2.0 inches, 12.6 cm2 (~26.2% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),microSD,,2 MP,No,"1.2, A2DP",Removable Li-Ion 720 mAh battery,
BenQ-Siemens C31,BENQ-SIEMENS,124524,8,"2007, June",99.8 x 46.7 x 16.7 mm (3.93 x 1.84 x 0.66 in),86 g (3.03 oz),"1.8 inches, 10.2 cm2 (~21.9% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),microSD,20MB,1.3 MP,No,No,Removable Li-Ion 920 mAh battery,
BenQ-Siemens SL80,BENQ-SIEMENS,236440,8,"2006, August","92 x 48 x 23 mm, 78 cc (3.62 x 1.89 x 0.91 in)",99 g (3.49 oz),"1.8 inches, 10.0 cm2 (~22.7% screen-to-body ratio)","132 x 176 pixels, 4:3 ratio (~122 ppi density)",No,52MB,1.3 MP,No,1.2,Removable Li-Ion 750 mAh battery,
BenQ-Siemens AL26,BENQ-SIEMENS,197968,7,"2006, August",86.8 x 45.8 x 19.2 mm (3.42 x 1.80 x 0.76 in),80 g (2.82 oz),,"130 x 130 pixels, 1:1 ratio",No,1.5MB,No,,No,Removable Li-Ion 600 mAh battery,
BenQ-Siemens A53,BENQ-SIEMENS,96971,6,"2007, April",80 x 42 x 14.8 mm (3.15 x 1.65 x 0.58 in),68 g (2.40 oz),,176 x 220 pixels,microSD (dedicated slot),,1.3 MP,No,No,Removable Li-Ion 600 mAh battery,
BenQ-Siemens SL91,BENQ-SIEMENS,348422,8,"2006, July",89 x 47 x 23 mm (3.50 x 1.85 x 0.91 in),109 g (3.84 oz),"2.0 inches, 12.4 cm2 (~29.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",microSD (dedicated slot),64MB,"3.15 MP, AF",VGA videocall camera,Yes,Removable Li-Ion 950 mAh battery,
BenQ-Siemens E81,BENQ-SIEMENS,240433,9,"2006, July",99.8 x 46.7 x 16.7 mm (3.93 x 1.84 x 0.66 in),90 g (3.17 oz),"1.8 inches, 10.2 cm2 (~21.9% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),microSD (dedicated slot),16MB,1.3 MP,No,Yes,Removable Li-Ion 900 mAh battery,
BenQ-Siemens E71,BENQ-SIEMENS,230358,11,"2006, July",104 x 46 x 15 mm (4.09 x 1.81 x 0.59 in),80 g (2.82 oz),"2.1 inches, 31 x 42 mm, 13.7 cm2 (~28.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~190 ppi density)",microSD (dedicated slot),16MB,1.3 MP,No,Yes,Removable Li-Ion 730 mAh battery,
BenQ-Siemens EF61,BENQ-SIEMENS,177765,9,"2006, July",88 x 46 x 23 mm (3.46 x 1.81 x 0.91 in),99 g (3.49 oz),,128 x 160 pixels,microSD (dedicated slot),1.5MB,1.3 MP,No,Yes,Removable Li-Ion 750 mAh battery,
BenQ-Siemens M81,BENQ-SIEMENS,157915,9,"2006, June",105.3 x 47.5 x 18.4 mm (4.15 x 1.87 x 0.72 in),96 g (3.39 oz),"1.8 inches, 27 x 36 mm, 10.0 cm2 (~20.1% screen-to-body ratio)","132 x 176 pixels, 4:3 ratio (~122 ppi density)",RS-MMC,27MB,1.3 MP,No,Yes,Removable Li-Ion 820 mAh battery,
