Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Bird M32,BIRD,189864,5,2007,94 x 46 x 16.5 mm (3.70 x 1.81 x 0.65 in),84 g (2.96 oz),"1.8 inches, 10.2 cm2 (~23.6% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSD,,VGA,No,No,Removable Li-Ion 600 mAh battery,
Bird D636,BIRD,160535,6,2007,105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in),98.4 g (3.46 oz),"1.9 inches, 11.4 cm2 (~23.7% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),microSD,60MB,1.3 MP,No,No,Removable Li-Ion 600 mAh battery,
Bird D706,BIRD,198406,7,2007,105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in),84 g (2.96 oz),"1.9 inches, 11.4 cm2 (~23.7% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),microSD,60MB,1.3 MP,No,No,Removable Li-Ion 600 mAh battery,
Bird D615,BIRD,156848,7,2007,105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in),82 g (2.89 oz),"1.8 inches, 10.2 cm2 (~21.3% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSD (dedicated slot),60MB,1.3 MP,No,Yes,Removable Li-Ion 650 mAh battery,
Bird S768,BIRD,113846,8,2007,105 x 46 x 10 mm (4.13 x 1.81 x 0.39 in),75 g (2.65 oz),"1.8 inches, 10.2 cm2 (~21.1% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSD,,No,,No,Removable Li-Ion 700 mAh battery,
Bird S758,BIRD,98571,6,2007,105 x 46 x 10 mm (4.13 x 1.81 x 0.39 in),73 g (2.57 oz),"1.8 inches, 10.2 cm2 (~21.1% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,,No,,No,Removable Li-Ion 700 mAh battery,
Bird S618,BIRD,103276,6,2007,103 x 46 x 11 mm (4.06 x 1.81 x 0.43 in),73 g (2.57 oz),"1.7 inches, 9.1 cm2 (~19.2% screen-to-body ratio)",128 x 160 pixels (~121 ppi density),No,,No,,No,Removable Li-Ion 700 mAh battery,
Bird D736,BIRD,94801,8,2007,95 x 47 x 18.2 mm (3.74 x 1.85 x 0.72 in),96 g (3.39 oz),"1.9 inches, 11.4 cm2 (~25.4% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),microSD (dedicated slot),60MB,2 MP,No,No,Removable Li-Ion 600 mAh battery,
Bird D716,BIRD,105248,8,2007,105.8 x 46 x 12.8 mm (4.17 x 1.81 x 0.50 in),81 g (2.86 oz),"1.9 inches, 11.4 cm2 (~23.3% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),microSD (dedicated slot),60MB,"2 MP, AF",No,No,Removable Li-Ion 600 mAh battery,
Bird D720,BIRD,103130,5,2007,100 x 46 x 15.9 mm (3.94 x 1.81 x 0.63 in),93 g (3.28 oz),"1.9 inches, 11.4 cm2 (~24.7% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),miniSD,60MB,2 MP,No,No,Removable Li-Ion 700 mAh battery,
Bird D611,BIRD,83259,6,2007,105.5 x 44 x 12.2 mm (4.15 x 1.73 x 0.48 in),71.4 g (2.50 oz),"1.8 inches, 10.2 cm2 (~22.0% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSD (dedicated slot),60MB,1.3 MP,No,Yes,Removable Li-Ion 650 mAh battery,
Bird D515,BIRD,98981,6,2007,106.7 x 46.3 x 10.3 mm (4.20 x 1.82 x 0.41 in),75 g (2.65 oz),"1.8 inches, 10.2 cm2 (~20.6% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSD,,VGA,No,Optional,Removable Li-Ion 650 mAh battery,
Bird D612,BIRD,77515,6,2007,105.5 x 44 x 12.2 mm (4.15 x 1.73 x 0.48 in),71.4 g (2.50 oz),"1.8 inches, 10.2 cm2 (~22.0% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSD (dedicated slot),,VGA,No,No,Removable Li-Ion 650 mAh battery,
Bird M29,BIRD,87510,6,2007,107 x 44 x 15.2 mm (4.21 x 1.73 x 0.60 in),90 g (3.17 oz),"1.6 inches, 8.1 cm2 (~17.1% screen-to-body ratio)",128 x 160 pixels (~128 ppi density),microSD (dedicated slot),37MB,VGA,No,No,Removable Li-Ion 700 mAh battery,
Bird M01,BIRD,78991,6,2007,89.5 x 44 x 18.2 mm (3.52 x 1.73 x 0.72 in),75 g (2.65 oz),"1.5 inches, 7.3 cm2 (~18.4% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",No,62MB,No,,No,Removable Li-Ion 650 mAh battery,
Bird M07,BIRD,67878,5,2007,105 x 44 x 15.3 mm (4.13 x 1.73 x 0.60 in),80 g (2.82 oz),"1.5 inches, 7.3 cm2 (~15.7% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",No,57MB,No,,No,Removable Li-Ion 700 mAh battery,
Bird S1130,BIRD,77659,6,2007,89.5 x 44 x 18.2 mm (3.52 x 1.73 x 0.72 in),75 g (2.65 oz),"1.5 inches, 7.3 cm2 (~18.4% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",No,,No,,No,Removable Li-Ion 650 mAh battery,
Bird V5518+,BIRD,69171,6,2007,87.8 x 43.8 x 21.9 mm (3.46 x 1.72 x 0.86 in),80 g (2.82 oz),"1.8 inches, 10.2 cm2 (~26.5% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,,No,,No,Removable Li-Ion 700 mAh battery,
Bird S663,BIRD,71872,5,2007,105.3 x 44 x 15.8 mm (4.15 x 1.73 x 0.62 in),80 g (2.82 oz),"1.5 inches, 7.3 cm2 (~15.7% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",No,,No,,No,Removable Li-Ion 700 mAh battery,
Bird S661,BIRD,111827,5,2007,105.3 x 44 x 15.8 mm (4.15 x 1.73 x 0.62 in),80 g (2.82 oz),"1.5 inches, 7.3 cm2 (~15.7% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",No,,No,,No,Removable Li-Ion 700 mAh battery,
Bird S669,BIRD,64806,10,2007,104 x 45.5 x 15.7 mm (4.09 x 1.79 x 0.62 in),75 g (2.65 oz),"1.5 inches, 7.3 cm2 (~15.3% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",No,,No,,No,Removable Li-Ion 500 mAh battery,
Bird S668,BIRD,68923,7,2007,104 x 45.5 x 15.7 mm (4.09 x 1.79 x 0.62 in),75 g (2.65 oz),"1.5 inches, 7.3 cm2 (~15.3% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",No,,No,,No,Removable Li-Ion 500 mAh battery,
Bird S667,BIRD,58472,8,2007,104 x 45.5 x 15.7 mm (4.09 x 1.79 x 0.62 in),75 g (2.65 oz),"1.5 inches, 7.3 cm2 (~15.3% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",No,,No,,No,Removable Li-Ion 500 mAh battery,
Bird S296+,BIRD,57668,5,2007,105 x 45 x 15.7 mm (4.13 x 1.77 x 0.62 in),75 g (2.65 oz),"1.4 inches, 5.7 cm2 (~12.1% screen-to-body ratio)",101x 64 pixels (~85 ppi density),No,,No,,No,Removable Li-Ion 500 mAh battery,
Bird S296,BIRD,60812,4,2007,105 x 45 x 15.7 mm (4.13 x 1.77 x 0.62 in),75 g (2.65 oz),"1.4 inches, 5.7 cm2 (~12.1% screen-to-body ratio)",101x 64 pixels (~85 ppi density),No,,No,,No,Removable Li-Ion 500 mAh battery,
Bird D680,BIRD,88607,5,"2006, Q1",88 x 42 x 21 mm (3.46 x 1.65 x 0.83 in),75 g (2.65 oz),,128 x 160 pixels,No,,1.3 MP,No,No,Removable Li-Ion battery,
Bird D660,BIRD,81202,5,"2006, Q1",107 x 45 x 16.5 mm (4.21 x 1.77 x 0.65 in),,,128 x 160 pixels,microSD,64MB,1.3 MP,No,No,Removable Li-Ion battery,
Bird M11,BIRD,62805,4,"2006, Q1",108 x 44 x 15.2 mm (4.25 x 1.73 x 0.60 in),88 g (3.10 oz),,"128 x 128 pixels, 1:1 ratio",No,32MB,No,,No,Removable Li-Ion battery,
Bird M08,BIRD,67103,7,"2005, Q3",87.8 x 43.3 x 21.3 mm (3.46 x 1.70 x 0.84 in),78 g (2.75 oz),,128 x 160 pixels,microSD,32MB,VGA,No,No,Removable Li-Ion battery,
Bird S890,BIRD,62134,6,"2005, Q3",,,,128 x 160 pixels,No,,1.3 MP,No,No,Removable Li-Ion battery,
Bird S798,BIRD,53475,5,"2005, Q3",83.5 x 45.5 x 21.5 mm (3.29 x 1.79 x 0.85 in),85 g (3.00 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion battery,
Bird S698,BIRD,55318,5,"2005, Q3",104.3 x 15.7 x 44 mm (4.11 x 0.62 x 1.73 in),73 g (2.57 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion battery,
Bird S198,BIRD,55312,6,"2005, Q3",104.3 x 42.6 x 15 mm (4.11 x 1.68 x 0.59 in),73 g (2.57 oz),,"112 x 64 pixels, 16:9 ratio",No,,No,,No,Removable Li-Ion battery,
Bird S299,BIRD,58554,6,"2005, Q2",104 x 44 x 14 mm (4.09 x 1.73 x 0.55 in),70 g (2.47 oz),,112 x 80 pixels,No,,No,,No,Removable Li-Ion battery,
Bird MP300,BIRD,98192,6,"2005, Q3",108 x 44 x 19.5 mm (4.25 x 1.73 x 0.77 in),100 g (3.53 oz),,"120 x 160 pixels, 4:3 ratio",No,128MB,VGA,No,No,Removable Li-Ion battery,
Bird M19,BIRD,63554,7,"2005, Q3",106 x 44 x 15.2 mm (4.17 x 1.73 x 0.60 in),82 g (2.89 oz),,128 x 160 pixels,No,32MB,VGA,No,No,Removable Li-Ion battery,
Bird V109,BIRD,55911,5,"2005, Q3",82.9 x 43 x 21.7 mm (3.26 x 1.69 x 0.85 in),85 g (3.00 oz),,128 x 160 pixels,No,,1.3 MP,No,No,Removable Li-Ion battery,
Bird S799,BIRD,70374,6,"2005, Q3",83.5 x 45.5 x 21.5 mm (3.29 x 1.79 x 0.85 in),85 g (3.00 oz),,120 x 128 pixels,No,,No,,No,Removable Li-Ion battery,
Bird S699,BIRD,55268,6,"2005, Q3",104.3 x 44 x 15.7 mm (4.11 x 1.73 x 0.62 in),,,120 x 128 pixels,No,,No,,No,Removable Li-Ion battery,
Bird V79,BIRD,57307,5,"2005, Q2",87 x 43 x 21 mm (3.43 x 1.69 x 0.83 in),80 g (2.82 oz),,128 x 160 pixels,No,,CIF,No,No,Removable Li-Ion battery,
Bird S1186,BIRD,64839,6,"2005, Q2",83 x 44 x 18.5 mm (3.27 x 1.73 x 0.73 in),84 g (2.96 oz),,"112 x 64 pixels, 16:9 ratio",No,,No,,No,Removable Li-Ion battery,
Bird S199,BIRD,67187,5,"2005, Q3",104.3 x 42.6 x 15 mm (4.11 x 1.68 x 0.59 in),75 g (2.65 oz),,"112 x 64 pixels, 16:9 ratio",No,,No,,No,Removable Li-Ion battery,
Bird S789,BIRD,76469,5,"2005, Q2",105 x 43 x 13 mm (4.13 x 1.69 x 0.51 in),80 g (2.82 oz),,128 x 160 pixels,No,,VGA,No,No,Removable Li-Ion battery,
Bird V5510,BIRD,64452,6,"2005, Q2",75 x 42 x 20 mm (2.95 x 1.65 x 0.79 in),66 g (2.33 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion battery,
