Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
BlackBerry KEY2 LE,BLACKBERRY,1867864,97,"2018, August",150.3 x 71.8 x 8.4 mm (5.92 x 2.83 x 0.33 in),156 g (5.50 oz),"4.5 inches, 60.0 cm2 (~55.6% screen-to-body ratio)","1080 x 1620 pixels, 3:2 ratio (~434 ppi density)",microSDXC (uses shared SIM slot),"32GB 4GB RAM, 64GB 4GB RAM","13 MP, f/2.2, 1/3.1"", 1.12µm, PDAF
5 MP, f/2.4, (depth)",8 MP,"5.0, A2DP, LE, EDR","Li-Ion 3000 mAh, non-removable",About 440 EUR
BlackBerry Evolve X,BLACKBERRY,1387998,106,"2018, August",159.1 x 76.8 x 8.8 mm (6.26 x 3.02 x 0.35 in),170 g (5.93 oz),"5.99 inches, 92.6 cm2 (~75.8% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~403 ppi density)",microSDXC (uses shared SIM slot),64GB 6GB RAM,"12 MP, f/1.8, 1/2.8"", 1.29µm, PDAF
13 MP, f/2.6, 1/3.4"", 1.0µm, 2х optical zoom, PDAF","16 MP, f/2.0, (wide), 1/3.06"", 1.0µm","5.0, A2DP, LE","Li-Ion 4000 mAh, non-removable",About 350 EUR
BlackBerry Evolve,BLACKBERRY,775504,43,"2018, August",158.9 x 76.1 x 8.4 mm (6.26 x 3.00 x 0.33 in),170 g (5.93 oz),"5.99 inches, 92.6 cm2 (~76.6% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~403 ppi density)",microSDXC (uses shared SIM slot),64GB 4GB RAM,"13 MP, 1/3.1"", 1.12µm, PDAF
13 MP B/W, 1/3.1"", 1.12µm, PDAF","16 MP, f/2.0, (wide), 1/3.06"", 1.0µm","4.2, A2DP, LE","Li-Ion 4000 mAh, non-removable",About 300 EUR
BlackBerry KEY2,BLACKBERRY,1581717,231,"2018, June",151.4 x 71.8 x 8.5 mm (5.96 x 2.83 x 0.33 in),168 g (5.93 oz),"4.5 inches, 60.0 cm2 (~55.2% screen-to-body ratio)","1080 x 1620 pixels, 3:2 ratio (~434 ppi density)",microSDXC (uses shared SIM slot),"64GB 6GB RAM, 128GB 6GB RAM","12 MP, f/1.8, 1/2.3"", 1.28µm, dual pixel PDAF
12 MP, f/2.6, 1/3.4"", 1.0µm, PDAF","8 MP, f/2.0, 1/4"", 1.12µm","5.0, A2DP, LE, EDR","Li-Ion 3500 mAh, non-removable",About 500 EUR
BlackBerry Motion,BLACKBERRY,1828220,163,"2017, October",155.8 x 75.5 x 8.1 mm (6.13 x 2.97 x 0.32 in),167 g (5.89 oz),"5.5 inches, 82.6 cm2 (~70.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",microSDXC (uses shared SIM slot),32GB 4GB RAM,"12 MP, f/2.0, PDAF","8 MP, f/2.2, 1/4"", 1.12µm","4.2, A2DP, EDR, LE","Li-Ion 4000 mAh, non-removable",About 390 EUR
BlackBerry Aurora,BLACKBERRY,2033324,85,"2017, March",152 x 76.8 x 8.5 mm (5.98 x 3.02 x 0.33 in),178 g (6.28 oz),"5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDXC (dedicated slot),32GB 4GB RAM,"13 MP, AF",8 MP,"4.0, A2DP, EDR, LE","Li-Ion 3000 mAh, non-removable",About 200 EUR
BlackBerry Keyone,BLACKBERRY,3789121,441,"2017, February",149.1 x 72.4 x 9.4 mm (5.87 x 2.85 x 0.37 in),180 g (6.35 oz),"4.5 inches, 60.0 cm2 (~55.6% screen-to-body ratio)","1080 x 1620 pixels, 3:2 ratio (~434 ppi density)",microSDXC (uses shared SIM slot),"32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/2.0, 1/2.3"", 1.55µm, PDAF","8 MP, f/2.2, 1/4"", 1.12µm","4.2, A2DP, LE, EDR","Li-Ion 3500 mAh, non-removable",About 290 EUR
BlackBerry DTEK60,BLACKBERRY,2311442,211,"2016, October. Released 2016, October",153.9 x 75.4 x 7 mm (6.06 x 2.97 x 0.28 in),165 g (5.82 oz),"5.5 inches, 83.4 cm2 (~71.9% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)",microSDXC (dedicated slot),32GB 4GB RAM,"21 MP, f/2.0, PDAF","8 MP, f/2.2","4.2, A2DP, LE, EDR","Li-Ion 3000 mAh, non-removable",About 250 EUR
BlackBerry DTEK50,BLACKBERRY,2625182,150,"2016, July. Released 2016, August",147 x 72.5 x 7.4 mm (5.79 x 2.85 x 0.29 in),135 g (4.76 oz),"5.2 inches, 74.5 cm2 (~69.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",microSDXC (uses shared SIM slot),16GB 3GB RAM,"13 MP, f/2.0, PDAF","8 MP, f/2.2","4.2, A2DP, LE, EDR","Li-Ion 2610 mAh, non-removable",About 200 EUR
BlackBerry Priv,BLACKBERRY,8805009,772,"2015, October. Released 2015, November",147 x 77.2 x 9.4 mm (5.79 x 3.04 x 0.37 in),192 g (6.77 oz),"5.4 inches, 81.6 cm2 (~71.9% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~540 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"18 MP, f/2.2, 27mm (wide), 1/2.4"", PDAF, OIS",2 MP,"4.1, A2DP, EDR, LE","Li-Ion 3410 mAh, non-removable",About 270 EUR
BlackBerry Leap,BLACKBERRY,3715386,118,"2015, March. Released 2015, April",144 x 72.8 x 9.5 mm (5.67 x 2.87 x 0.37 in),170 g (6.00 oz),"5.0 inches, 68.9 cm2 (~65.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, f/2.2, 31mm (standard), AF",2 MP,"4.0, A2DP, EDR, LE","Li-Ion 2800 mAh, non-removable",About 80 EUR
BlackBerry Classic Non Camera,BLACKBERRY,895210,37,"2015, February. Released 2015, March",131 x 72.4 x 10.2 mm (5.16 x 2.85 x 0.40 in),178 g (6.28 oz),"3.5 inches, 39.5 cm2 (~41.7% screen-to-body ratio)","720 x 720 pixels, 1:1 ratio (~291 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,No,,"4.0, A2DP, EDR, LE","Li-Ion 2500 mAh, non-removable",About 180 EUR
BlackBerry Porsche Design P'9983,BLACKBERRY,1661772,111,"2014, September. Released 2014, October",119 x 67.1 x 10.6 mm (4.69 x 2.64 x 0.42 in),140 g (4.94 oz),"3.1 inches, 31.0 cm2 (~38.8% screen-to-body ratio)","720 x 720 pixels, 1:1 ratio (~328 ppi density)",microSDXC (dedicated slot),64GB 2GB RAM,"8 MP, AF",2 MP,"4.0, A2DP, LE","Li-Ion 2100 mAh, removable",About 430 EUR
BlackBerry Passport,BLACKBERRY,9118675,735,"2014, June. Released 2014, September",128 x 90.3 x 9.3 mm (5.04 x 3.56 x 0.37 in),196 g (6.91 oz),"4.5 inches, 65.3 cm2 (~56.5% screen-to-body ratio)","1440 x 1440 pixels, 1:1 ratio (~453 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, f/2.0, 30mm (standard), AF, OIS","2 MP, f/2.8, 28mm (wide)","4.0, A2DP, LE","Li-Ion 3450 mAh, non-removable",About 170 EUR
BlackBerry Classic,BLACKBERRY,5873981,349,"2014, June. Released 2014, December",131 x 72.4 x 10.2 mm (5.16 x 2.85 x 0.40 in),177 g (6.24 oz),"3.5 inches, 38.7 cm2 (~40.8% screen-to-body ratio)","720 x 720 pixels, 1:1 ratio (~294 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, f/2.2, 31mm (standard), AF",2 MP,"4.0, A2DP, EDR, LE","Li-Ion 2515 mAh, non-removable",About 120 EUR
BlackBerry Z3,BLACKBERRY,13261501,251,"2014, February. Released 2014, May",140 x 72.8 x 9.3 mm (5.51 x 2.87 x 0.37 in),164 g (5.78 oz),"5.0 inches, 68.9 cm2 (~67.6% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",microSDHC (dedicated slot),8GB 1.5GB RAM,"5 MP, f/2.4, 30mm (standard), AF",1.1 MP,"4.0, A2DP, LE","Li-Ion 2500 mAh, non-removable",About 90 EUR
BlackBerry Porsche Design P'9982,BLACKBERRY,1711438,102,"2013, November. Released 2013, December",131 x 65.6 x 9.5 mm (5.16 x 2.58 x 0.37 in),140 g (4.94 oz),"4.2 inches, 50.2 cm2 (~58.4% screen-to-body ratio)","768 x 1280 pixels, 5:3 ratio (~355 ppi density)",microSDXC (dedicated slot),64GB 2GB RAM,"8 MP, AF",2 MP,"4.0, A2DP, LE","Li-Ion 1800 mAh, removable",About 390 EUR
BlackBerry Z30,BLACKBERRY,8083021,420,"2013, September. Released 2013, October",140.7 x 72 x 9.4 mm (5.54 x 2.83 x 0.37 in),170 g (6.00 oz),"5.0 inches, 68.9 cm2 (~68.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, f/2.2, 31mm (standard), AF",2 MP,"4.0, A2DP, LE","Li-Ion 2880 mAh, non-removable",About 140 EUR
