Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
BLU Studio X5 Max,BLU,21675,1,"2022, July",164.7 x 76 x 8.9 mm (6.48 x 2.99 x 0.35 in),202 g (7.13 oz),"5.7 inches, 83.8 cm2 (~67.0% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~188 ppi density)",microSDXC,32GB 2GB RAM,"5 MP
Secondary unspecified camera",2 MP,"4.2, A2DP","Li-Ion 2700 mAh, removable",About 50 EUR
BLU Studio X5,BLU,8564,1,"2022, July",145 x 72.4 x 10.1 mm (5.71 x 2.85 x 0.40 in),149 g (5.26 oz),"5.0 inches, 68.9 cm2 (~65.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDXC,32GB 1GB RAM,"5 MP
Secondary unspecified camera",2 MP,"4.2, A2DP","Li-Ion 2000 mAh, removable",About 50 EUR
BLU G40,BLU,9246,0,"2022, June",163.4 x 78.8 x 10.8 mm (6.43 x 3.10 x 0.43 in),203 g (7.16 oz),"6.0 inches, 92.9 cm2 (~72.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",microSDXC,32GB 3GB RAM,"13 MP
0.3 MP",8 MP,"4.2, A2DP, LE","Li-Ion 3000 mAh, removable",About 100 EUR
BLU Bold N2,BLU,62750,17,"2022, August 11",158.7 x 74.1 x 8.6 mm (6.25 x 2.92 x 0.34 in),180 g (6.35 oz),"6.6 inches, 106.9 cm2 (~90.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)",Unspecified,256GB 8GB RAM,"64 MP, (wide), PDAF
5 MP, f/2.4, 115˚ (ultrawide)
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","16 MP, (wide)
2 MP, (depth)","5.1, A2DP, LE","Li-Po 4200 mAh, non-removable",About 230 EUR
BLU Studio X10L 2022,BLU,11684,0,"2022, July",145.9 x 73.5 x 9.8 mm (5.74 x 2.89 x 0.39 in),175 g (6.17 oz),"5.0 inches, 68.9 cm2 (~64.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDXC,32GB 1GB RAM,8 MP,5 MP,"4.1, A2DP","Li-Ion 2000 mAh, removable",About 50 EUR
BLU S91 Pro,BLU,19173,2,"2022, July",164.7 x 76 x 8.9 mm (6.48 x 2.99 x 0.35 in),202 g (7.13 oz),"6.5 inches, 102.0 cm2 (~81.5% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC,128GB 4GB RAM,"50 MP, f/1.8 (wide), 0.7µm, PDAF
2 MP, f/2.4, 115º (ultrawide)
0.8 MP, f/2.4, (depth)",13 MP,"5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 180 EUR
BLU J6S,BLU,10192,0,"2022, July 07",152.9 x 73.3 x 9.7 mm (6.02 x 2.89 x 0.38 in),161 g (5.68 oz),"6.1 inches, 91.3 cm2 (~81.5% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",microSDXC,32GB 1GB RAM,8 MP,5 MP,"4.2, A2DP",Li-Ion 3000 mAh,About 50 EUR
BLU C7X,BLU,7548,0,"2022, July 07",165.6 x 76.7 x 9.8 mm (6.52 x 3.02 x 0.39 in),203 g (7.16 oz),"6.5 inches, 102.0 cm2 (~80.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC,32GB 1GB RAM,"8 MP
0.3 MP, (depth)",8 MP,"4.2, A2DP","Li-Ion 4000 mAh, non-removable",About 60 EUR
BLU S91,BLU,18764,1,"2022, June 24",164.8 x 76.3 x 8.9 mm (6.49 x 3.00 x 0.35 in),202 g (7.13 oz),"6.5 inches, 102.0 cm2 (~81.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC,128GB 4GB RAM,"13 MP, (wide), PDAF
0.3 MP, f/2.4, (macro)
0.3 MP, f/2.4, (depth)",13 MP,"5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 170 EUR
BLU G51,BLU,12654,0,"2022, June 03",155.3 x 73.5 x 9.5 mm (6.11 x 2.89 x 0.37 in),166 g (5.86 oz),"6.1 inches, 92.9 cm2 (~81.4% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~276 ppi density)",microSDXC,32GB 2GB RAM,"8 MP
0.3 MP (depth)",8 MP,"4.2, A2DP, LE",Li-Po 3000 mAh,
