Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Bosch 909 Dual S,BOSCH,250408,21,1999,122 x 50 x 17 mm (4.80 x 1.97 x 0.67 in),109 g (3.84 oz),,"96 x 32 pixels, 4 x 16 chars",No,,No,,No,Removable Li-Ion battery,
Bosch 909 Dual,BOSCH,132827,11,1999,112 x 50 x 17 mm (4.41 x 1.97 x 0.67 in),99 g (3.49 oz),,4 x 16 chars,No,,No,,No,Removable Li-Ion 650 mAh battery,
Bosch Com 908,BOSCH,114841,11,1998,112 x 50 x 17 mm (4.41 x 1.97 x 0.67 in),99 g (3.49 oz),,4 x 16 chars,No,,No,,No,Removable Li-Ion 650 mAh battery,
Bosch Com 509,BOSCH,150010,13,1999,134 x 53 x 23 mm (5.28 x 2.09 x 0.91 in),150 g (5.29 oz),,4 x 16 chars,No,,No,,No,Removable NiMH battery,
Bosch World 718,BOSCH,104296,6,1996,142 x 53 x 18 mm (5.59 x 2.09 x 0.71 in),189 g (6.67 oz),,4 x 16 chars,No,,No,,No,Removable Li-Ion 650 mAh battery,
Bosch Com 738,BOSCH,94049,8,1996,142 x 53 x 18 mm (5.59 x 2.09 x 0.71 in),189 g (6.67 oz),,4 x 16 chars,No,,No,,No,Removable Li-Ion 650 mAh battery,
Bosch Com 906,BOSCH,89639,7,1996,144 x 57 x 19 mm (5.67 x 2.24 x 0.75 in),145 g (5.11 oz),,3 x 15 chars,No,,No,,No,Removable Li-Ion 500 mAh battery,
Bosch Com 608,BOSCH,102358,13,1999,134 x 53 x 24 mm (5.28 x 2.09 x 0.94 in),169 g (5.96 oz),,4 x 16 chars,No,,No,,No,Removable NiMH 550 mAh battery,
Bosch Com 607,BOSCH,106254,15,1997,134 x 53 x 17 mm (5.28 x 2.09 x 0.67 in),189 g (6.67 oz),,4 x 16 chars,No,,No,,No,Removable NiMH 550 mAh battery,
Bosch Com 207,BOSCH,109470,6,1997,147 x 56 x 23 mm (5.79 x 2.20 x 0.91 in),179 g (6.31 oz),,1 x 10 chars,No,,No,,No,Removable NiMH 600 mAh battery,
