Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
BQ Aquaris X2 Pro,BQ,224749,41,"2018, May",150.7 x 72.3 x 8.4 mm (5.93 x 2.85 x 0.33 in),168 g (5.93 oz),"5.65 inches, 82.4 cm2 (~75.6% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~427 ppi density)",microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 6GB RAM","12 MP, f/1.8, 1/2.8"", 1.29µm, dual pixel PDAF
5 MP, f/2.4, (depth)","8 MP, f/2.0, 1/4"", 1.12µm","5.0, A2DP, LE, aptX","Li-Ion 3100 mAh, non-removable",About 390 EUR
BQ Aquaris X2,BQ,166817,11,"2018, May",150.7 x 72.3 x 8.3 mm (5.93 x 2.85 x 0.33 in),163 g (5.75 oz),"5.65 inches, 82.4 cm2 (~75.6% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~427 ppi density)",microSDXC (uses shared SIM slot),"32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/1.8, 1/2.8"", 1.29µm, dual pixel PDAF
5 MP, f/2.4, (depth)","8 MP, f/2.0, 1/4"", 1.12µm","5.0, A2DP, LE, aptX","Li-Ion 3100 mAh, non-removable",About 310 EUR
BQ Aquaris VS Plus,BQ,81240,8,"2018, February",152.3 x 76.7 x 8.4 mm (6.00 x 3.02 x 0.33 in),183 g (6.46 oz),"5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDXC (uses shared SIM slot),64GB 4GB RAM,"12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF","8 MP, f/2.0, 1/4"", 1.12µm","4.2, A2DP, LE, aptX","Li-Po 3400 mAh, non-removable",About 230 EUR
BQ Aquaris VS,BQ,67694,4,"2018, February",148.1 x 73 x 8.4 mm (5.83 x 2.87 x 0.33 in),165 g (5.82 oz),"5.2 inches, 74.5 cm2 (~68.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",microSDXC (uses shared SIM slot),"32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF","8 MP, f/2.0, 1/4"", 1.12µm","4.2, A2DP, LE, aptX","Li-Po 3100 mAh, non-removable",About 190 EUR
BQ Aquaris U2 Lite,BQ,57718,2,"2017, September",148.1 x 72.9 x 8.4 mm (5.83 x 2.87 x 0.33 in),155 g (5.47 oz),"5.2 inches, 74.5 cm2 (~69.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",microSDXC (uses shared SIM slot),16GB 2GB RAM,"8 MP, f/2.0, 1/4.0"", 1.12µm, PDAF","5 MP, f/2.0, 1/5"", 1.12µm","4.2, A2DP, LE, aptX","Li-Po 3100 mAh, non-removable",About 170 EUR
BQ Aquaris U2,BQ,74949,1,"2017, September",148.1 x 72.9 x 8.4 mm (5.83 x 2.87 x 0.33 in),155 g (5.47 oz),"5.2 inches, 74.5 cm2 (~69.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",microSDXC (uses shared SIM slot),"16GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF","5 MP, f/2.0, 1/5"", 1.12µm","4.2, A2DP, LE, aptX","Li-Po 3100 mAh, non-removable",About 190 EUR
BQ Aquaris V Plus,BQ,63912,3,"2017, September",152.3 x 76.7 x 8.4 mm (6.00 x 3.02 x 0.33 in),183 g (6.46 oz),"5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDXC (uses shared SIM slot),"32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/2.0, 1.12µm, PDAF","8 MP, f/2.0, 1/4"", 1.12µm","4.2, A2DP, LE, aptX","Li-Po 3400 mAh, non-removable",About 260 EUR
BQ Aquaris V,BQ,71002,1,"2017, September",148.1 x 73 x 8.4 mm (5.83 x 2.87 x 0.33 in),165 g (5.82 oz),"5.2 inches, 74.5 cm2 (~68.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",microSDXC (uses shared SIM slot),"16GB 2GB RAM, 32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/2.0, 1.12µm, PDAF","8 MP, f/2.0, 1/4"", 1.12µm","4.2, A2DP, LE, aptX","Li-Po 3100 mAh, non-removable",About 210 EUR
BQ Aquaris X Pro,BQ,265728,30,"2017, April. Released 2017, June",146.5 x 72.7 x 7.8 mm (5.77 x 2.86 x 0.31 in),158 g (5.57 oz),"5.2 inches, 74.5 cm2 (~70.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM","12 MP, f/1.8, 1/2.55"", 1.4µm, PDAF","8 MP, f/2.0","4.2, A2DP, LE, aptX","Li-Ion 3100 mAh, non-removable",About 370 EUR
BQ Aquaris X,BQ,225138,11,"2017, April. Released 2017, June",146.5 x 72.7 x 7.9 mm (5.77 x 2.86 x 0.31 in),153 g (5.40 oz),"5.2 inches, 74.5 cm2 (~70.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",microSDXC (uses shared SIM slot),32GB 3GB RAM,"16 MP, f/2.0, 1/2.8"", 1.12µm, PDAF","8 MP, f/2.0","4.2, A2DP, LE, aptX","Li-Ion 3100 mAh, non-removable",About 290 EUR
BQ Aquaris U Lite,BQ,91378,5,"2016, September. Released 2016, October",145 x 71.5 x 8.3 mm (5.71 x 2.81 x 0.33 in),140 g (4.94 oz),"5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (uses shared SIM slot),16GB 2GB RAM,"8 MP, f/2.0, AF","5 MP, f/2.4","4.2, A2DP, LE","Li-Po 3080 mAh, non-removable",About 160 EUR
BQ Aquaris U,BQ,123251,5,"2016, September. Released 2016, September",145 x 71.5 x 8.3 mm (5.71 x 2.81 x 0.33 in),140 g (4.94 oz),"5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (uses shared SIM slot),16GB 2GB RAM,"13 MP, f/2.2, PDAF","5 MP, f/2.4","4.2, A2DP, LE","Li-Po 3080 mAh, non-removable",About 190 EUR
BQ Aquaris U Plus,BQ,136449,6,"2016, September. Released 2016, September",143.2 x 72.2 x 8.7 mm (5.64 x 2.84 x 0.34 in),139 g (4.90 oz),"5.0 inches, 68.9 cm2 (~66.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (uses shared SIM slot),"16GB 2GB RAM, 32GB 3GB RAM","16 MP, f/2.0, PDAF","5 MP, f/2.4","4.2, A2DP, LE","Li-Po 3050 mAh, non-removable",About 220 EUR
BQ Aquaris X5 Plus,BQ,273086,40,"2016, July. Released 2016, July",145 x 70 x 7.7 mm (5.71 x 2.76 x 0.30 in),145 g (5.11 oz),"5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",microSDXC,"16GB 2GB RAM, 32GB 3GB RAM","16 MP, f/2.0, 1/2.8"", 1.12µm, PDAF","8 MP, f/2.0, 1/4""","4.1, A2DP, LE","Li-Po 3200 mAh, non-removable",About 300 EUR
BQ Aquaris E5s,BQ,161574,7,2015. Released 2015,143.2 x 72.2 x 8.7 mm (5.64 x 2.84 x 0.34 in),139 g (4.90 oz),"5.0 inches, 68.9 cm2 (~66.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSD,16GB 2GB RAM,"13 MP, f/1.8, 1/3.1"", 1.12µm, AF","5 MP, f/2.2","4.0, A2DP","Li-Po 2850 mAh, non-removable",About 210 EUR
BQ Aquaris X5,BQ,270127,13,2015. Released 2015,144.4 x 70.5 x 7.5 mm (5.69 x 2.78 x 0.30 in),148 g (5.22 oz),"5.0 inches, 68.9 cm2 (~67.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,"16GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.0, 1/3.1"", 1.12µm, AF","5 MP, f/2.0","4.0, A2DP","Li-Po 2900 mAh, non-removable",About 230 EUR
BQ Aquaris M5,BQ,232761,12,2015. Released 2015,143 x 69.4 x 8.4 mm (5.63 x 2.73 x 0.33 in),144 g (5.08 oz),"5.0 inches, 68.9 cm2 (~69.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",microSDXC,"16GB 2GB RAM, 32GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.0, 1/3.1"", 1.12µm, AF","5 MP, f/2.0","4.0, A2DP","Li-Po 3120 mAh, non-removable",About 260 EUR
BQ Aquaris M5.5,BQ,126396,6,2015. Released 2015,151.8 x 75.5 x 8.4 mm (5.98 x 2.97 x 0.33 in),162 g (5.71 oz),"5.5 inches, 83.4 cm2 (~72.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDXC,"16GB 2GB RAM, 16GB 3GB RAM, 32GB 3GB RAM","13 MP, f/2.0, 1/3.1"", 1.12µm, AF","5 MP, f/2.0","4.0, A2DP","Li-Po 3620 mAh, non-removable",About 300 EUR
BQ Aquaris M4.5,BQ,138186,7,2015. Released 2015,131.8 x 63.5 x 8.8 mm (5.19 x 2.5 x 0.35 in),115 g (4.06 oz),"4.5 inches, 55.8 cm2 (~66.7% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",microSDXC,"8GB 1GB RAM, 16GB 1GB RAM, , 16GB 2GB RAM","8 MP, f/2.0, 1/3.2"", AF","5 MP, f/2.0","4.0, A2DP","Li-Po 2470 mAh, non-removable",About 180 EUR
