Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Coolpad Cool 20s,COOLPAD,29952,10,"2022, June 14",163 x 74.8 x 8.3 mm (6.42 x 2.94 x 0.33 in),180 g (6.35 oz),"6.58 inches, 104.3 cm2 (~85.5% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",microSDXC,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","50 MP, f/1.8 (wide), PDAF
2 MP, (macro)",8 MP,"5.1, A2DP, LE","Li-Po 4500 mAh, non-removable",About 140 EUR
Coolpad Cool 20,COOLPAD,21004,1,"2021, May 26",164.3 x 75.7 x 8.7 mm (6.47 x 2.98 x 0.34 in),199.6 g (7.05 oz),"6.52 inches, 102.6 cm2 (~82.5% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","48 MP, f/1.8 (wide), PDAF
2 MP, f/2.4, (depth)",5 MP,"5.0, A2DP, LE","Li-Po 4500 mAh, non-removable",About 90 EUR
Coolpad Cool 20 Pro,COOLPAD,65148,15,"2021, December 02",162.8 x 74.8 x 8.3 mm (6.41 x 2.94 x 0.33 in),193 g (6.81 oz),"6.58 inches, 104.5 cm2 (~85.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~400 ppi density)",microSDXC,"128GB 6GB RAM, 128GB 8GB RAM","50 MP, f/1.8 (wide), PDAF
8 MP, (ultrawide)
2 MP, (macro)",8 MP,"5.1, A2DP, LE","Li-Po 4500 mAh, non-removable",About 250 EUR
Coolpad Cool 10A,COOLPAD,52418,4,"2021, March 29",165 x 76 x 8.8 mm (6.50 x 2.99 x 0.35 in),200 g (7.05 oz),"6.52 inches, 102.6 cm2 (~81.8% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated slot),64GB 2GB RAM,"13 MP, (wide), AF
0.3 MP, (depth)",5 MP,"4.2, A2DP","Li-Po 4000 mAh, non-removable",About 90 EUR
Coolpad Cool S,COOLPAD,81366,9,"2021, January 08",161.2 x 76.2 x 8.9 mm (6.35 x 3.00 x 0.35 in),-,"6.53 inches, 104.7 cm2 (~85.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",microSDXC,128GB 4GB RAM,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.0, 120˚ (ultrawide)
5 MP, f/2.0, (macro)
0.3 MP, (depth)","25 MP, f/2.0, (wide), 1/2.78"", 0.9µm",Yes,"Li-Po 5000 mAh, non-removable",About 160 EUR
Coolpad Cool 6,COOLPAD,95007,13,"2020, October 15",162.4 x 76.5 x 9.2 mm (6.39 x 3.01 x 0.36 in),198 g (6.98 oz),"6.53 inches, 104.7 cm2 (~84.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 6GB RAM","48 MP, (wide), 1/2.0"", 0.8µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)",Motorized pop-up 21 MP,Yes,"Li-Po 4000 mAh, non-removable",About 130 EUR
Coolpad Cool 12A,COOLPAD,51910,7,"2020, October 05",156.2 x 75.2 x 8.9 mm (6.15 x 2.96 x 0.35 in),202.5 g (7.16 oz),"6.3 inches, 97.4 cm2 (~82.9% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~273 ppi density)",microSD,64GB 4GB RAM,"16 MP, PDAF
2 MP",8 MP,"4.2, A2DP","Li-Po 4000 mAh, non-removable",About 70 EUR
Coolpad Cool 10,COOLPAD,49264,5,"2020, June 05",165.7 x 76.5 x 9.1 mm (6.52 x 3.01 x 0.36 in),202.8 g (7.16 oz),"6.52 inches, 106.6 cm2 (~84.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~264 ppi density)",microSD,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","16 MP, f/1.5, PDAF
0.3 MP
0.3 MP",8 MP,"4.2, A2DP","Li-Po 5000 mAh, non-removable",About 110 EUR
Coolpad Legacy 5G,COOLPAD,134457,21,"2020, January",165 x 77 x 9.5 mm (6.50 x 3.03 x 0.37 in),195 g (6.88 oz),"6.53 inches, 104.7 cm2 (~82.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",microSD,64GB 4GB RAM,"48 MP, (wide), 1/2.0"", 0.8µm, PDAF
8 MP, (ultrawide)",16 MP,"5.0, A2DP, LE","Li-Po 4000 mAh, non-removable",About 360 EUR
Coolpad Legacy,COOLPAD,185368,13,"2019, May",165.9 x 80.5 x 8.4 mm (6.53 x 3.17 x 0.33 in),170 g (6.00 oz),"6.36 inches, 104.4 cm2 (~78.2% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~380 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"16 MP, AF
5 MP",13 MP,"4.2, A2DP","Li-Po 4000 mAh, non-removable",About 160 EUR
