Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Eten glofiish X610,ETEN,352555,11,"2008, June. Released 2008, December",107 x 58 x 15 mm (4.21 x 2.28 x 0.59 in),136 g (4.80 oz),"2.8 inches, 24.3 cm2 (~39.1% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~143 ppi density)",microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,No,2.0,Removable Li-Ion battery,About 200 EUR
Eten glofiish V900,ETEN,276938,7,"2008, June. Released 2008, December",106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in),147 g (5.19 oz),"2.8 inches, 24.3 cm2 (~37.9% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",microSDHC (dedicated slot),"128MB RAM, 256MB ROM","3.15 MP, AF",VGA videocall camera,2.0,Removable Li-Ion 1530 mAh battery,About 590 EUR
Eten glofiish X900,ETEN,216222,10,"2008, June. Released 2008",106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in),147 g (5.19 oz),"2.8 inches, 24.3 cm2 (~37.9% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",microSD (dedicated slot),"128MB RAM, 256MB ROM","3.15 MP, AF",VGA videocall camera,2.0,Removable Li-Ion battery,About 350 EUR
Eten glofiish DX900,ETEN,314440,11,"2008, June. Released 2008, December",106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in),147 g (5.19 oz),"2.8 inches, 24.3 cm2 (~37.9% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",microSD (dedicated slot),"128MB RAM, 256MB ROM","3.15 MP, AF",VGA videocall camera,2.0,Removable Li-Ion battery,About 320 EUR
Eten glofiish M750,ETEN,132501,8,"2008, April. Released 2008",109.5 x 59 x 17.5 mm (4.31 x 2.32 x 0.69 in),179 g (6.31 oz),"2.8 inches, 24.3 cm2 (~37.6% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~143 ppi density)",microSD (dedicated slot),"64MB RAM, 256MB ROM","2 MP, AF",No,2.0,Removable Li-Ion 1530 mAh battery,
Eten glofiish M810,ETEN,167134,9,"2008, April. Released 2008, August",109.5 x 59 x 17.5 mm (4.31 x 2.32 x 0.69 in),179 g (6.31 oz),"2.8 inches, 24.3 cm2 (~37.6% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~143 ppi density)",microSD (dedicated slot),"64MB RAM, 256MB ROM","2 MP, AF",VGA videocall camera,2.0,Removable Li-Ion 1530 mAh battery,About 230 EUR
Eten glofiish X650,ETEN,251710,11,"2008, January. Released 2008, March",107 x 58 x 14.7 mm (4.21 x 2.28 x 0.58 in),136 g (4.80 oz),"2.8 inches, 24.3 cm2 (~39.1% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",microSD (dedicated slot),"64MB RAM, 256MB ROM","2 MP, AF",No,2.0,Removable Li-Po 1530 mAh battery,About 220 EUR
Eten glofiish M800,ETEN,251524,11,"2007, October. Released 2008, March",113.8 x 57.8 x 18.4 mm (4.48 x 2.28 x 0.72 in),178 g (6.28 oz),,"640 x 480 pixels, 2.8, 4:3 ratio",microSD (dedicated slot),"64MB RAM, 256MB ROM","2 MP, AF",VGA videocall camera,2.0,Removable Li-Po 1530 mAh battery,About 230 EUR
Eten glofiish X600,ETEN,210806,9,"2007, October. Released 2008, January",107 x 58 x 14.7 mm (4.21 x 2.28 x 0.58 in),136 g (4.80 oz),"2.8 inches, 24.3 cm2 (~39.1% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~143 ppi density)",microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,No,2.0,Removable Li-Ion 1530 mAh battery,About 170 EUR
Eten glofiish X500+,ETEN,243612,12,"2007, May",113 x 59.5 x 15.5 mm (4.45 x 2.34 x 0.61 in),146 g (5.15 oz),"2.8 inches, 24.3 cm2 (~36.1% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~286 ppi density)",microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,No,2.0,Removable Li-Ion 1530 mAh battery,About 180 EUR
Eten glofiish X800,ETEN,446822,11,"2007, March. Released 2007, November",113.5 x 60.5 x 15.8 mm (4.47 x 2.38 x 0.62 in),146 g (5.15 oz),"2.8 inches, 24.3 cm2 (~35.4% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",microSD (dedicated slot),"64MB RAM, 256MB ROM","2 MP, AF",VGA videocall camera,2.0,"Removable Li-Po, 1530 mAh battery",About 180 EUR
Eten glofiish M700,ETEN,492866,11,"2006, November",117.5 x 59 x 19.8 mm (4.63 x 2.32 x 0.78 in),165 g (5.82 oz),"2.8 inches, 24.3 cm2 (~35.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,No,2.0,Removable Li-Ion 1530 mAh battery,About 290 EUR
Eten glofiish X500,ETEN,380018,11,"2006, October",113 x 59.5 x 15.5 mm (4.45 x 2.34 x 0.61 in),146 g (5.15 oz),"2.8 inches, 24.3 cm2 (~36.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,No,2.0,Removable Li-Ion 1530 mAh battery,About 290 EUR
Eten M550,ETEN,118152,6,"2006, April",112 x 61 x 22 mm (4.41 x 2.40 x 0.87 in),165 g (5.82 oz),"2.8 inches, 42 x 57 mm, 24.3 cm2 (~35.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",SD/SDIO,"64MB RAM, 128MB ROM",1.3 MP,No,1.2,Removable Li-Ion 1440 mAh battery,About 220 EUR
Eten G500+,ETEN,204775,8,"2006, August",119 x 62 x 23 mm (4.69 x 2.44 x 0.91 in),191 g (6.74 oz),"2.8 inches, 42 x 57 mm, 24.3 cm2 (~32.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",miniSD,"64MB RAM, 256MB ROM",1.3 MP,No,2.0,Removable Li-Ion 1440 mAh battery,
Eten M600+,ETEN,244042,9,"2006, June",111.7 x 60.7 x 22 mm (4.40 x 2.39 x 0.87 in),174 g (6.14 oz),"2.8 inches, 42 x 57 mm, 24.3 cm2 (~35.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",SD/SDIO,"64MB RAM, 256MB ROM",2 MP,No,2.0,Removable Li-Ion 1440 mAh battery,About 320 EUR
Eten G500,ETEN,239234,9,"2006, Q1",119 x 62 x 23 mm (4.69 x 2.44 x 0.91 in),191 g (6.74 oz),"2.8 inches, 42 x 57 mm, 24.3 cm2 (~32.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",miniSD,"64MB RAM, 128MB ROM",1.3 MP,No,2.0,Removable Li-Ion 1440 mAh battery,About 300 EUR
Eten M600,ETEN,286234,9,"2005, Q4",111.7 x 60.7 x 22 mm (4.40 x 2.39 x 0.87 in),165 g (5.82 oz),"2.8 inches, 42 x 57 mm, 24.3 cm2 (~35.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",SD/SDIO,"64MB RAM, 128MB ROM",1.3 MP,No,1.2,Removable Li-Ion 1440 mAh battery,About 310 EUR
