Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Gionee G13 Pro,GIONEE,506915,60,"2022, January 28",158 x 76 x 9.2 mm (6.22 x 2.99 x 0.36 in),195 g (6.88 oz),"6.26 inches, 94.6 cm2 (~78.8% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~280 ppi density)",Unspecified,32GB 4GB RAM,"13 MP, (wide), PDAF
2 MP",5 MP,Yes,"Li-Ion 3500 mAh, non-removable",About 80 EUR
Gionee P15,GIONEE,160169,4,"2021, July 26",164.7 x 76.3 x 9 mm (6.48 x 3.00 x 0.35 in),-,"6.52 inches, 102.6 cm2 (~81.7% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated slot),32GB 2GB RAM,"13 MP, (wide), PDAF
0.08 MP
0.08 MP",8 MP,Yes,"Li-Po 5000 mAh, non-removable",About 100 EUR
Gionee M15,GIONEE,181162,13,"2021, May 24",165.2 x 77 x 9 mm (6.50 x 3.03 x 0.35 in),-,"6.67 inches, 107.4 cm2 (~84.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",microSDXC (dedicated slot),"128GB 6GB RAM, 128GB 8GB RAM","48 MP, (wide), PDAF
5 MP, (ultrawide)
2 MP, (macro)
2 MP, (depth)",16 MP,Yes,"Li-Po 5100 mAh, non-removable",About 180 EUR
Gionee M3,GIONEE,80004,13,"2021, April 07",163.2 x 75.9 x 9.3 mm (6.43 x 2.99 x 0.37 in),201 g (7.09 oz),"6.53 inches, 102.9 cm2 (~83.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","16 MP, (wide), PDAF
5 MP, (ultrawide)
2 MP, (macro)
2 MP, (depth)",8 MP,Yes,"Li-Po 5000 mAh, non-removable",About 120 EUR
Gionee P15 Pro,GIONEE,87077,9,"2021, March 26",173.8 x 78.5 x 9.5 mm (6.84 x 3.09 x 0.37 in),208 g (7.34 oz),"6.82 inches, 110.5 cm2 (~81.0% screen-to-body ratio)",720 x 1640 pixels (~263 ppi density),microSDXC,64GB 3GB RAM,"13 MP, (wide), AF
2 MP, (ultrawide)
0.1 MP, (depth)",8 MP,"5.0, A2DP, LE","Li-Po 6000 mAh, non-removable",About 120 EUR
Gionee Max Pro,GIONEE,66512,7,"2021, March 01",165 x 75 x 10 mm (6.50 x 2.95 x 0.39 in),212 g (7.48 oz),"6.52 inches, 104.4 cm2 (~84.3% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~264 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, (wide), AF
2 MP (depth)",8 MP,"4.2, A2DP","Li-Po 6000 mAh, non-removable",About 80 EUR
Gionee K30 Pro,GIONEE,105470,9,"2020, December 08",165 x 76 x 8 mm (6.50 x 2.99 x 0.31 in),165 g (5.82 oz),"6.53 inches, 104.7 cm2 (~83.5% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~263 ppi density)",microSDXC,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","16 MP, f/1.8, (wide), PDAF
5 MP, 120˚ (ultrawide)
2 MP, (depth)",8 MP,Yes,"Li-Po 4000 mAh, non-removable",About 100 EUR
Gionee P12,GIONEE,58046,1,"2020, November 09",156.1 x 73.7 x 9.7 mm (6.15 x 2.90 x 0.38 in),178 g (6.28 oz),"6.1 inches, 89.8 cm2 (~78.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~288 ppi density)",microSDXC,16GB 2GB RAM,"13 MP, (wide), AF
0.3 MP, (ultrawide)
0.3 MP, (depth)",5 MP,"5.0, A2DP, LE","Li-Ion 3200 mAh, non-removable",About 80 EUR
Gionee M12,GIONEE,199522,14,"2020, November 16",163.9 x 76.8 x 9.3 mm (6.45 x 3.02 x 0.37 in),196 g (6.91 oz),"6.55 inches, 103.6 cm2 (~82.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~268 ppi density)",microSDXC,"64GB 4GB RAM, 128GB 6GB RAM","48 MP, f/1.8, (wide), PDAF
5 MP, f/2.2, 115˚, (ultrawide)
2 MP (depth)
2 MP (depth)",16 MP,"5.0, A2DP","Li-Po 5100 mAh, non-removable",About 150 EUR
Gionee S12 Lite,GIONEE,80405,7,"2020, September 29",166.2 x 76.3 x 8.4 mm (6.54 x 3.00 x 0.33 in),174 g (6.14 oz),"6.52 inches, 102.6 cm2 (~80.9% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC,32GB 3GB RAM,"13 MP, (wide), AF
5 MP, (ultrawide)
2 MP (depth)",8 MP,"4.2, A2DP","Li-Po 4000 mAh, non-removable",
Gionee S12,GIONEE,111031,4,"2020, July",164.6 x 76.6 x 8.8 mm (6.48 x 3.02 x 0.35 in),181 g (6.38 oz),"6.52 inches, 102.6 cm2 (~81.4% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC,64GB 4GB RAM,"16 MP, (wide), AF
8 MP, (ultrawide)
2 MP (depth)",13 MP,"4.2, A2DP","Li-Po 4000 mAh, non-removable",About 140 EUR
Gionee M30,GIONEE,162511,29,"2020, August 25",-,305 g (10.76 oz),"6.0 inches, 92.9 cm2","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",microSDXC,128GB 8GB RAM,"16 MP, (wide), AF",8 MP,"4.2, A2DP","Li-Po 10000 mAh, non-removable",About 170 EUR
Gionee Max,GIONEE,89852,9,"2020, August 25",148 x 70.9 x 10.8 mm (5.83 x 2.79 x 0.43 in),185 g (6.53 oz),"6.1 inches, 91.3 cm2 (~87.0% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",microSDXC (dedicated slot),32GB 2GB RAM,"13 MP, (wide), AF
0.3 MP (depth)",5 MP,"4.2, A2DP","Li-Po 5000 mAh, non-removable",About 70 EUR
