Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Honor 80 Pro,HONOR,140204,68,"2022, November 23",163.3 x 74.9 x 7.8 mm (6.43 x 2.95 x 0.31 in),188 g (6.63 oz),"6.78 inches, 111.5 cm2 (~91.2% screen-to-body ratio)",1224 x 2700 pixels (~437 ppi density),No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","160 MP, f/1.8, (wide), 1/1.56"", 0.75µm, PDAF
50 MP, f/2.0, 122˚ (ultrawide), AF
2 MP, f/2.4, (depth)","50 MP, f/2.4, 100˚, (ultrawide)
2 MP, f/2.4, (depth)","5.2, A2DP, LE, aptX HD","Li-Po 4800 mAh, non-removable",$ 562.99
Honor 80,HONOR,67422,28,"2022, November 23",161.1 x 73.9 x 7.7 mm (6.34 x 2.91 x 0.30 in),180 g (6.35 oz),"6.67 inches, 107.9 cm2 (~90.7% screen-to-body ratio)",1080 x 2400 pixels (~444 ppi density),No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","160 MP, f/1.8, (wide), 1/1.56"", 0.75µm, PDAF
8 MP, f/2.2, (ultrawide), AF
2 MP, f/2.4, (macro)","32 MP, f/2.4, (wide)","5.2, A2DP, LE, aptX HD","Li-Po 4800 mAh, non-removable",About 370 EUR
Honor 80 SE,HONOR,59669,23,"2022, November 23",161.3 x 73.4 x 7.7 mm (6.35 x 2.89 x 0.30 in),175 g (6.17 oz),"6.67 inches, 107.9 cm2 (~91.2% screen-to-body ratio)",1080 x 2400 pixels (~444 ppi density),No,"256GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.8, (wide), PDAF
5 MP, f/2.2, (ultrawide)
2 MP, f/2.4, (macro)","32 MP, f/2.4, (wide)","5.1, A2DP, LE","Li-Po 4600 mAh, non-removable",$ 419.99
Honor Magic Vs Ultimate,HONOR,48604,34,"2022, November 23","Unfolded: 160.3 x 141.5 x 6.1 mm
Folded: 160.3 x 72.6 x 12.9 mm",265 g (9.35 oz),"7.9 inches, 199.5 cm2 (~87.9% screen-to-body ratio)",1984 x 2272 pixels (~382 ppi density),No,512GB 16GB RAM,"54 MP, f/1.9, 27mm (wide), 1/1.49"", 1.0µm, PDAF
8 MP, f/2.4, (telephoto), PDAF, 3x optical zoom, OIS
50 MP, f/2.0, 13mm, 122˚ (ultrawide), AF","16 MP, f/2.5, (wide)","5.2, A2DP, LE, aptX HD","Li-Po 5000 mAh, non-removable",About 1500 EUR
Honor Magic Vs,HONOR,40628,31,"2022, November 23","Unfolded: 160.3 x 141.5 x 6.1 mm
Folded: 160.3 x 72.6 x 12.9 mm",261 g / 267 g (9.21 oz),"7.9 inches, 199.5 cm2 (~87.9% screen-to-body ratio)",1984 x 2272 pixels (~382 ppi density),No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","54 MP, f/1.9, 27mm (wide), 1/1.49"", 1.0µm, PDAF
8 MP, f/2.4, (telephoto), PDAF, 3x optical zoom, OIS
50 MP, f/2.0, 13mm, 122˚ (ultrawide), AF","16 MP, f/2.5, (wide)","5.2, A2DP, LE, aptX HD","Li-Po 5000 mAh, non-removable",About 1020 EUR
Honor Play 40 Plus,HONOR,56013,12,"2022, October 20",167.5 x 76.9 x 8.3 mm (6.59 x 3.03 x 0.33 in),196 g (6.91 oz),"6.74 inches, 109.7 cm2 (~85.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","5 MP, f/2.2, (wide)","5.1, A2DP, LE","Li-Po 6000 mAh, non-removable",About 170 EUR
Honor X40 GT,HONOR,115214,35,"2022, October 13",166.1 x 75.8 x 8.5 mm (6.54 x 2.98 x 0.33 in),199.5 g (7.05 oz),"6.81 inches, 112.3 cm2 (~89.2% screen-to-body ratio)",1080 x 2388 pixels (~385 ppi density),No,"256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","16 MP, f/2.5","5.2, A2DP, LE, aptX HD","Li-Po 4800 mAh, non-removable",About 300 EUR
Honor Play6C,HONOR,28008,7,"2022, October 13",163.7 x 75.1 x 8.7 mm (6.44 x 2.96 x 0.34 in),194 g (6.84 oz),"6.5 inches, 102.0 cm2 (~83.0% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM","13 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","5 MP, f/2.2, (wide)","5.1, A2DP, LE","Li-Po 5000 mAh, non-removable",About 150 EUR
Honor X6,HONOR,105255,9,"2022, September 21",163.7 x 75.1 x 8.7 mm (6.44 x 2.96 x 0.34 in),194 g (6.84 oz),"6.5 inches, 102.0 cm2 (~83.0% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC,"64GB 4GB RAM, 128GB 4GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","5 MP, f/2.2, (wide)","5.1, A2DP, LE","Li-Po 5000 mAh, non-removable",€ 175.97
Honor X40,HONOR,153381,43,"2022, September 15",161.6 x 73.9 x 7.9 mm (6.36 x 2.91 x 0.31 in),172 g (6.07 oz),"6.67 inches, 107.4 cm2 (~89.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (macro)","8 MP, f/2.0, (wide)","5.1, A2DP, LE, aptX HD","Li-Po 5100 mAh, non-removable",About 210 EUR
Honor X8 5G,HONOR,145665,9,"2022, July 25",163.7 x 75.1 x 8.7 mm (6.44 x 2.96 x 0.34 in),194 g (6.84 oz),"6.5 inches, 102.0 cm2 (~83.0% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC,128GB 6GB RAM,"48 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide)","5.1, A2DP, LE","Li-Po 5000 mAh, non-removable",$ 419.00 / € 231.20 / £ 199.99
Honor X40i,HONOR,102157,19,"2022, July 13",162.9 x 74.5 x 7.4 mm (6.41 x 2.93 x 0.29 in),175 g (6.17 oz),"6.7 inches, 108.7 cm2 (~89.6% screen-to-body ratio)",1080 x 2388 pixels (~391 ppi density),No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide)","5.1, A2DP, LE","Li-Po 4000 mAh, non-removable",About 240 EUR
Honor 70 Pro+,HONOR,410082,93,"2022, May 30",163.9 x 74.6 x 8.2 mm (6.45 x 2.94 x 0.32 in),192 g (6.77 oz),"6.78 inches, 111.4 cm2 (~91.1% screen-to-body ratio)",1200 x 2652 pixels (~429 ppi density),No,"256GB 8GB RAM, 256GB 12GB RAM","54 MP, f/1.9, (wide), 1/1.49"", PDAF
8 MP. f/2.4, (telephoto), PDAF, OIS, 3x optical zoom
50 MP, f/2.2, 122˚ (ultrawide), AF","50 MP, f/2.4, 100˚ (ultrawide)","5.2, A2DP, LE, aptX HD","Li-Po 4500 mAh, non-removable",About 600 EUR
Honor 70 Pro,HONOR,224200,55,"2022, May 30",163.9 x 74.6 x 8.2 mm (6.45 x 2.94 x 0.32 in),192 g (6.77 oz),"6.78 inches, 111.4 cm2 (~91.1% screen-to-body ratio)",1200 x 2652 pixels (~429 ppi density),No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","54 MP, f/1.9, (wide), 1/1.49"", PDAF
8 MP, f/2.4, (telephoto), PDAF, OIS, 3x optical zoom
50 MP, f/2.2, 122˚ (ultrawide), AF","50 MP, f/2.4, 100˚ (ultrawide)","5.2, A2DP, LE, aptX HD","Li-Po 4500 mAh, non-removable",About 520 EUR
Honor 70,HONOR,623032,96,"2022, May 30",161.4 x 73.3 x 7.9 mm (6.35 x 2.89 x 0.31 in),178 g (6.28 oz),"6.67 inches, 107.4 cm2 (~90.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","54 MP, f/1.9, (wide), 1/1.49"", PDAF
50 MP, f/2.2, 122˚ (ultrawide), AF
2 MP, f/2.4, (depth)","32 MP, f/2.4, (wide)","5.2, A2DP, LE, aptX HD","Li-Po 4800 mAh, non-removable",$ 560.00 / € 469.00 / £ 399.00
Honor Play 30,HONOR,65539,9,"2022, May 10",163.7 x 75.1 x 8.7 mm (6.44 x 2.96 x 0.34 in),194 g (6.84 oz),"6.5 inches, 102.0 cm2 (~83.0% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 8GB RAM","13 MP, f/1.8, (wide), AF","5 MP, f/2.2, (wide)","5.1, A2DP, LE","Li-Po 5000 mAh, non-removable",About 150 EUR
Honor Play6T Pro,HONOR,112789,18,"2022, April 07",163.4 x 74.7 x 7.5 mm (6.43 x 2.94 x 0.30 in),175 g (6.17 oz),"6.7 inches, 108.7 cm2 (~89.1% screen-to-body ratio)",1080 x 2388 pixels (~391 ppi density),No,"128GB 8GB RAM, 256GB 8GB RAM","48 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide)","5.1, A2DP, LE","Li-Po 4000 mAh, non-removable",About 200 EUR
