Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
HTC Wildfire E plus,HTC,55377,5,"2022, October 24",164.1 x 75.9 x 8.8 mm (6.46 x 2.99 x 0.35 in),190 g (6.70 oz),"6.52 inches, 102.6 cm2 (~82.4% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated slot),32GB 2GB RAM,"13 MP, (wide), AF
5 MP",5 MP,"4.2, A2DP","Li-Po 5150 mAh, non-removable",About 130 EUR
HTC Desire 22 Pro,HTC,204475,34,"2022, June 28",166.3 x 76.9 x 9.4 mm (6.55 x 3.03 x 0.37 in),205.5 g (7.27 oz),"6.6 inches, 104.8 cm2 (~82.0% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~400 ppi density)",microSDXC (uses shared SIM slot),128GB 8GB RAM,"64 MP, f/1.8, (wide), PDAF
13 MP, f/2.4, 118˚ (ultrawide)
5 MP, f/2.4, (depth)","32 MP, f/2.0, (wide)","5.1, A2DP, LE","Li-Po 4520 mAh, non-removable",About 460 EUR
HTC Wildfire E2 Plus,HTC,212791,13,"2021, December 14",174.2 x 78.6 x 9.3 mm (6.86 x 3.09 x 0.37 in),210 g (7.41 oz),"6.82 inches, 110.5 cm2 (~80.7% screen-to-body ratio)",720 x 1640 pixels (~263 ppi density),microSDXC (uses shared SIM slot),64GB 4GB RAM,"13 MP, f/2.2, (wide), PDAF
5 MP, (ultrawide)
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","8 MP, f/2.2, (wide)","5.0, A2DP, LE",,About 160 EUR
HTC Wildfire E3,HTC,317453,20,"2021, March 15",165.7 x 76.6 x 9 mm (6.52 x 3.02 x 0.35 in),186 g (6.56 oz),"6.52 inches, 104.4 cm2 (~82.2% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~264 ppi density)",microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM","13 MP, f/2.0, (wide), PDAF
8 MP, f/2.2, (ultrawide)
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","13 MP, f/2.0, (wide), 1/3.1"", 1.12µm","4.2, A2DP, LE","Li-Po 4000 mAh, non-removable",About 130 EUR
HTC Desire 21 Pro 5G,HTC,636718,78,"2021, January 13",167.1 x 78.1 x 9.4 mm (6.58 x 3.07 x 0.37 in),205 g (7.23 oz),"6.7 inches, 108.4 cm2 (~83.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",microSDXC (uses shared SIM slot),128GB 8GB RAM,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, 118˚ (ultrawide)
2 MP, f/2.4, (macro)
5 MP, f/2.4, (depth)","16 MP, (wide)","5.1, A2DP, LE","Li-Po 5000 mAh, non-removable",About 350 EUR
HTC Desire 20+,HTC,535494,63,"2020, October 19",164.9 x 75.7 x 9 mm (6.49 x 2.98 x 0.35 in),203 g (7.16 oz),"6.5 inches, 102.0 cm2 (~81.7% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC,128GB 6GB RAM,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF
5 MP, f/2.2, 115˚ (ultrawide)
2 MP, f/2.4, (macro)
5 MP, f/2.4, (depth)","16 MP, f/2.0, (wide)","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 250 EUR
HTC Wildfire E1 lite,HTC,140279,10,"2020, September 24",147.9 x 71.4 x 8.9 mm (5.82 x 2.81 x 0.35 in),160 g (5.64 oz),"5.45 inches, 76.7 cm2 (~72.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",microSDHC,16GB 2GB RAM,"8 MP, f/2.0, (wide), AF
0.3 MP, f/2.8, (depth)","5 MP, f/2.2, (wide)","5.0, A2DP","Li-Ion 3000 mAh, non-removable",About 80 EUR
HTC Wildfire E2,HTC,202442,18,"2020, August 06",158.4 x 75.9 x 9 mm (6.24 x 2.99 x 0.35 in),173.5 g (6.14 oz),"6.22 inches, 95.0 cm2 (~79.0% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~276 ppi density)",microSDXC (uses shared SIM slot),64GB 4GB RAM,"16 MP, f/2.2, (wide), PDAF
2 MP, f/2.2, (depth)","8 MP, f/2.2, (wide)","5.0, A2DP, LE","Li-Po 4000 mAh, non-removable",About 100 EUR
HTC Wildfire E1 plus,HTC,66123,7,"2019, December 18",157.5 x 75 x 8.9 mm (6.20 x 2.95 x 0.35 in),165 g (5.82 oz),"6.09 inches, 91.0 cm2 (~77.1% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",microSDXC (uses shared SIM slot),32GB 3GB RAM,"16 MP, f/2.2, (wide), AF","5 MP, f/2.2, (wide)","4.2, A2DP","Li-Ion 3000 mAh, non-removable",About 120 EUR
HTC Wildfire E1,HTC,57701,7,"2019, December 18",157.5 x 75 x 8.9 mm (6.20 x 2.95 x 0.35 in),165 g (5.82 oz),"6.09 inches, 91.0 cm2 (~77.1% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",microSDXC (uses shared SIM slot),32GB 3GB RAM,"13 MP, f/2.2, (wide), AF","5 MP, f/2.2, (wide)","4.2, A2DP","Li-Ion 3000 mAh, non-removable",About 90 EUR
