Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Huawei Enjoy 50z,HUAWEI,31548,5,"2022, December 09",164.3 x 75.8 x 8.9 mm (6.47 x 2.98 x 0.35 in),188 g (6.63 oz),"6.52 inches, 102.6 cm2 (~82.4% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC,"128GB 6GB RAM, 256GB 6GB RAM","50 MP, f/1.8, (wide), AF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","5 MP, f/2.2, (wide)","5.1, A2DP, LE","Li-Po 5000 mAh, non-removable",About 150 EUR
Huawei Pocket S,HUAWEI,153969,53,"2022, November 02","Unfolded: 170 x 75.5 x 7.2 mm
Folded: 87.3 x 75.5 x 15.2 mm",190 g (6.70 oz),"6.9 inches, 109.2 cm2 (~85.1% screen-to-body ratio)","1188 x 2790 pixels, 21:9 ratio (~442 ppi density)","NM (Nano Memory), up to 256GB (uses shared SIM slot)","128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","40 MP, f/1.8, (wide), PDAF, Laser AF
13 MP, f/2.2, 120˚ (ultrawide), AF","10.7 MP, f/2.2, (ultrawide)","5.2, A2DP, LE","Li-Po 4000 mAh, non-removable",About 830 EUR
Huawei nova Y61,HUAWEI,101929,10,"2022, November 01",164.3 x 75.8 x 8.9 mm (6.47 x 2.98 x 0.35 in),188 g (6.63 oz),"6.52 inches, 102.6 cm2 (~82.4% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC,"64GB 4GB RAM, 64GB 6GB RAM","50 MP, f/1.8, (wide), AF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","5 MP, f/2.2, (wide)","5.1, A2DP, LE","Li-Po 5000 mAh, non-removable",About 190 EUR
Huawei nova 10 SE,HUAWEI,163863,23,"2022, October 05",162.4 x 75.5 x 7.4 mm (6.39 x 2.97 x 0.29 in),184 g (6.49 oz),"6.67 inches, 107.4 cm2 (~87.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","108 MP, f/1.9, 27mm (wide), PDAF
8 MP, f/2.2, 112˚ (ultrawide)
2 MP, f/2.4, (macro)","16 MP, f/2.2, (wide)","5.0, A2DP, LE","Li-Po 4500 mAh, non-removable",About 300 EUR
Huawei Mate 50 RS Porsche Design,HUAWEI,162221,69,"2022, September 06",162.1 x 75.5 x 9.9 mm (6.38 x 2.97 x 0.39 in),232 g (8.18 oz),"6.74 inches, 111.8 cm2 (~91.3% screen-to-body ratio)","1212 x 2616 pixels, 19.5:9 ratio (~428 ppi density)","NM (Nano Memory), up to 256GB (uses shared SIM slot)",512GB 12GB RAM,"50 MP, f/1.4-f/4.0, 24mm (wide), PDAF, Laser AF, OIS
48 MP, f/3.0, 90mm (periscope telephoto macro), PDAF, OIS, 3.5x optical zoom
13 MP, f/2.2, 13mm, 120˚ (ultrawide), PDAF","13 MP, f/2.4, 18mm (ultrawide)
TOF 3D, (depth/biometrics sensor)","5.2, A2DP, LE","Li-Po 4700 mAh, non-removable",About 1880 EUR
Huawei Mate 50 Pro,HUAWEI,643765,188,"2022, September 06",162.1 x 75.5 x 8.5 mm (6.38 x 2.97 x 0.33 in),205 g / 209 g (7.23 oz),"6.74 inches, 111.8 cm2 (~91.3% screen-to-body ratio)","1212 x 2616 pixels, 19.5:9 ratio (~428 ppi density)","NM (Nano Memory), up to 256GB (uses shared SIM slot)","256GB 8GB RAM, 512GB 8GB RAM","50 MP, f/1.4-f/4.0, 24mm (wide), PDAF, Laser AF, OIS
64 MP, f/3.5, 90mm (periscope telephoto), PDAF, OIS, 3.5x optical zoom
13 MP, f/2.2, 13mm, 120˚ (ultrawide), PDAF","13 MP, f/2.4, 18mm (ultrawide)
TOF 3D, (depth/biometrics sensor)","5.2, A2DP, LE","Li-Po 4700 mAh, non-removable","$ 1,048.99 / € 1,166.89 / ₹ 115,999 / C$ 2,725.00"
Huawei Mate 50E,HUAWEI,74598,35,"2022, September 06",161.5 x 76.1 x 8 mm (6.36 x 3.00 x 0.31 in),201 g (7.09 oz),"6.7 inches, 108.9 cm2 (~88.6% screen-to-body ratio)",1224 x 2700 pixels (~442 ppi density),"NM (Nano Memory), up to 256GB (uses shared SIM slot)","128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.4-f/4.0, 24mm (wide), PDAF, Laser AF, OIS
13 MP, f/2.2, 13mm, 120˚ (ultrawide), PDAF","13 MP, f/2.4, 18mm (ultrawide)","5.2, A2DP, LE","Li-Po 4460 mAh, non-removable",About 580 EUR
Huawei Mate 50,HUAWEI,189250,70,"2022, September 06",161.5 x 76.1 x 8 mm (6.36 x 3.00 x 0.31 in),202 g / 206 g (7.13 oz),"6.7 inches, 108.9 cm2 (~88.6% screen-to-body ratio)",1224 x 2700 pixels (~442 ppi density),"NM (Nano Memory), up to 256GB (uses shared SIM slot)","128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","50 MP, f/1.4-f/4.0, 24mm (wide), PDAF, Laser AF, OIS
12 MP, f/3.4, 125mm (periscope telephoto), PDAF, OIS, 5x optical zoom
13 MP, f/2.2, 13mm, 120˚ (ultrawide), PDAF","13 MP, f/2.4, 18mm (ultrawide)","5.2, A2DP, LE","Li-Po 4460 mAh, non-removable",About 720 EUR
Huawei nova 10z,HUAWEI,73270,10,"2022, September 06",160.7 x 73.3 x 8.4 mm (6.33 x 2.89 x 0.33 in),179 g (6.31 oz),"6.6 inches, 105.2 cm2 (~89.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~399 ppi density)",No,"128GB, 256GB","64 MP, f/1.9, 27mm (wide), PDAF
8 MP, f/2.4, (ultrawide)
2 MP, f/2.4, (macro), PDAF","16 MP, f/2.0, (wide)","5.1, A2DP, LE","Li-Po 4000 mAh, non-removable",About 260 EUR
Huawei nova 10 Pro,HUAWEI,481997,81,"2022, July 04",164.2 x 74.5 x 7.9 mm (6.46 x 2.93 x 0.31 in),191 g (6.74 oz),"6.78 inches, 111.4 cm2 (~91.1% screen-to-body ratio)",1200 x 2652 pixels (~429 ppi density),No,"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 27mm (wide), PDAF
8 MP, f/2.2, 112˚ (ultrawide), AF
2 MP, f/2.4, (depth)","8 MP, f/2.2, 52mm (portrait), AF
60 MP, f/2.4, 17mm, 100˚ (ultrawide), AF","5.2, A2DP, LE","Li-Po 4500 mAh, non-removable",About 730 EUR
