Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
i-mate 810-F,I-MATE,331166,14,"2009, February. Released 2009",111 x 66 x 15.5 mm (4.37 x 2.60 x 0.61 in),150 g (5.29 oz),"2.46 inches, 18.7 cm2 (~25.6% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~163 ppi density)",No,2GB 128MB RAM,2 MP,Yes,"2.0, A2DP",Removable Li-Po 1200 mAh battery,About 550 EUR
i-mate Ultimate 9502,I-MATE,1039490,12,"2007, October. Released 2008, March",116 x 60 x 17.8 mm (4.57 x 2.36 x 0.70 in),200 g (7.05 oz),"2.8 inches, 24.3 cm2 (~34.9% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~286 ppi density)",microSD (dedicated slot),"128MB RAM, 256MB ROM","3.15 MP, AF",VGA videocall camera,"2.0, A2DP",Removable Li-Po 1620 mAh battery,About 410 EUR
i-mate Ultimate 8502,I-MATE,478137,11,"2007, October. Released 2008, September",116 x 55 x 15 mm (4.57 x 2.17 x 0.59 in),140 g (4.94 oz),"2.6 inches, 20.9 cm2 (~32.8% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~154 ppi density)",microSD (dedicated slot),"128MB RAM, 256MB ROM",2 MP,No,"2.0, A2DP",Removable Li-Ion 1530 mAh battery,About 200 EUR
i-mate JAMA 201,I-MATE,240475,6,"2007, October. Released 2008, October",113 x 63 x 14 mm (4.45 x 2.48 x 0.55 in),152 g (5.36 oz),"2.4 inches, 17.8 cm2 (~25.1% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",microSD (dedicated slot),"64MB RAM, 128MB ROM","2 MP, AF",No,1.1,Removable Li-Ion 1050 mAh battery,About 250 EUR
i-mate JAMA 101,I-MATE,308107,9,"2007, October",105 x 52.5 x 15.5 mm (4.13 x 2.07 x 0.61 in),110 g (3.63 oz),"2.4 inches, 17.8 cm2 (~32.4% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",microSD,"64MB RAM, 128MB ROM",2 MP,No,1.2,Removable Li-Ion 1020 mAh battery,About 250 EUR
i-mate JAMA,I-MATE,477880,8,"2007, June",106 x 52.5 x 15.6 mm (4.17 x 2.07 x 0.61 in),110 g (3.88 oz),"2.4 inches, 17.8 cm2 (~32.1% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,No,1.2,Removable Li-Ion 1000 mAh battery,About 200 EUR
i-mate Ultimate 9150,I-MATE,545516,12,"2007, February",98 x 50 x 19 mm (3.86 x 1.97 x 0.75 in),,"2.6 inches, 20.9 cm2 (~42.7% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~308 ppi density)",microSD,"128MB RAM, 256MB ROM",2 MP,Yes,"2.0, A2DP",Removable Li-Ion 1400 mAh battery,About 410 EUR
i-mate Ultimate 8150,I-MATE,552402,9,"2007, February",118.5 x 60.5 x 15.5 mm (4.67 x 2.38 x 0.61 in),152 g (5.36 oz),"2.6 inches, 20.9 cm2 (~29.2% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~308 ppi density)",microSD (dedicated slot),"128MB RAM, 256MB ROM","2 MP, AF",VGA videocall camera,"2.0, A2DP",Removable Li-Ion 1530 mAh battery,About 260 EUR
i-mate Ultimate 7150,I-MATE,1077544,18,"2007, February",110 x 74 x 18 mm (4.33 x 2.91 x 0.71 in),180 g (6.35 oz),"3.8 inches, 44.7 cm2 (~54.9% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~211 ppi density)",microSD,"128MB RAM, 256MB ROM",2 MP,VGA videocall camera,"2.0, A2DP",Removable Li-Ion 1400 mAh battery,About 300 EUR
i-mate Ultimate 6150,I-MATE,425504,10,"2007, February. Released 2008, January",118.5 x 60.5 x 15.5 mm (4.67 x 2.38 x 0.61 in),152 g (5.36 oz),"2.8 inches, 24.3 cm2 (~33.9% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~286 ppi density)",microSD (dedicated slot),"128MB RAM, 256MB ROM",2 MP,VGA videocall camera,"2.0, A2DP",Removable Li-Ion 1530 mAh battery,About 260 EUR
