Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
i-mobile i858,I-MOBILE,348442,10,2010. Released 2010,120 x 67 x 12.8 mm (4.72 x 2.64 x 0.50 in),-,"4.3 inches, 52.6 cm2 (~65.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~217 ppi density)",microSDHC (dedicated slot),,"5 MP, AF",No,"2.0, A2DP",Removable Li-Ion 1500 mAh battery,
i-mobile 8500,I-MOBILE,131959,6,2010. Released 2010,112 x 56.5 x 14.9 mm (4.41 x 2.22 x 0.59 in),-,"3.2 inches, 30.5 cm2 (~48.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)",microSDHC (dedicated slot),256MB 128MB RAM,5 MP,No,"2.0, A2DP",Removable Li-Ion 1500 mAh battery,
i-mobile 5230,I-MOBILE,138180,8,2010. Released 2010,116 x 58 x 14.4 mm (4.57 x 2.28 x 0.57 in),-,"2.8 inches, 24.3 cm2 (~36.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSD (dedicated slot),48MB,"5 MP, AF",No,"2.0, A2DP",Removable Li-Ion 1200 mAh battery,
i-mobile Hitz 2206,I-MOBILE,101061,6,2010. Released 2010,110 x 59.4 x 13.4 mm (4.33 x 2.34 x 0.53 in),-,,220 x 176 pixels,microSD (dedicated slot),,Yes,No,No,Removable Li-Ion 1000 mAh battery,
i-mobile 5220,I-MOBILE,77802,10,2010. Released 2010,116.5 x 52.5 x 13 mm (4.59 x 2.07 x 0.51 in),-,"2.4 inches, 17.8 cm2 (~29.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSD (dedicated slot),,"5 MP, AF",No,"2.0, A2DP",Removable Li-Ion 1100 mAh battery,
i-mobile TV658 Touch&Move,I-MOBILE,201090,9,"2009, October. Released 2009, October",111 x 56 x 13 mm (4.37 x 2.20 x 0.51 in),,"3.0 inches, 25.6 cm2 (~41.2% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",microSD (dedicated slot),,"8 MP, AF",No,"1.2, A2DP",Removable Li-Ion 1050 mAh battery,
i-mobile Hitz 212,I-MOBILE,75878,4,"2009, October. Released 2009, October",105 x 46 x 13.3 mm (4.13 x 1.81 x 0.52 in),80 g (2.82 oz),"1.77 inches, 9.9 cm2 (~20.4% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),microSD (dedicated slot),,CIF,No,Yes,Removable Li-Ion 750 mAh battery,
i-mobile Hitz 210,I-MOBILE,75876,6,"2009, October. Released 2009, October",112 x 49 x 12.8 mm (4.41 x 1.93 x 0.50 in),,"1.8 inches, 10.2 cm2 (~18.6% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSD (dedicated slot),,CIF,No,No,Removable Li-Ion 700 mAh battery,
i-mobile TV650 Touch,I-MOBILE,190493,10,"2009, July. Released 2009, Q4",110 x 55 x 13.4 mm (4.33 x 2.17 x 0.53 in),,"3.0 inches, 27.9 cm2 (~46.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~133 ppi density)",microSDHC (dedicated slot),,3.15 MP,No,"1.2, A2DP",Removable Li-Ion 1000 mAh battery,
i-mobile TV550 Touch,I-MOBILE,127732,10,"2009, July. Released 2009, Q4",108 x 52 x 14 mm (4.25 x 2.05 x 0.55 in),,"2.8 inches, 24.3 cm2 (~43.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSDHC (dedicated slot),,VGA,No,"1.2, A2DP",Removable Li-Ion 1000 mAh battery,
i-mobile TV 630,I-MOBILE,122075,9,"2009, July. Released 2009, Q4",115 x 52.5 x 13 mm (4.53 x 2.07 x 0.51 in),102 g (3.60 oz),"2.4 inches, 17.8 cm2 (~29.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC (dedicated slot),,"8 MP, AF",No,Yes,Removable Li-Ion 1100 mAh battery,
i-mobile TV 628,I-MOBILE,94510,9,"2009, July. Released 2009, Q4",113 x 51 x 17 mm (4.45 x 2.01 x 0.67 in),109.5 g (3.84 oz),"2.4 inches, 17.8 cm2 (~31.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC (dedicated slot),10MB,3.15 MP,No,Yes,Removable Li-Ion 950 mAh battery,
i-mobile TV 620,I-MOBILE,89610,9,"2009, July",114 x 51.5 x 14.6 mm (4.49 x 2.03 x 0.57 in),98 g (3.46 oz),"2.4 inches, 17.8 cm2 (~30.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC (dedicated slot),14MB,3.15 MP,No,"1.2, A2DP",Removable Li-Ion 1050 mAh battery,
i-mobile TV 536,I-MOBILE,91485,10,"2009, July. Released 2009, Q4",112 x 51 x 13.7 mm (4.41 x 2.01 x 0.54 in),,"2.4 inches, 17.8 cm2 (~31.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC (dedicated slot),,VGA,No,"1.2, A2DP",Removable Li-Ion 1000 mAh battery,
i-mobile 638CG,I-MOBILE,88913,8,"2009, July. Released 2009, Q4",113 x 51 x 14.5 mm (4.45 x 2.01 x 0.57 in),,"2.4 inches, 17.8 cm2 (~31.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC (dedicated slot),25MB,3.15 MP,No,Yes,Removable Li-Ion 1050 mAh battery,
i-mobile Hitz 232CG,I-MOBILE,69856,6,"2009, July. Released 2009, Q4",109.5 x 47.8 x 11.1 mm (4.31 x 1.88 x 0.44 in),-,"2.0 inches, 12.6 cm2 (~24.1% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),microSDHC (dedicated slot),,CIF,No,Yes,Removable Li-Ion 1050 mAh battery,
i-mobile TV 535,I-MOBILE,101108,9,"2009, January. Released 2009, January",108 x 48 x 13.8 mm (4.25 x 1.89 x 0.54 in),90 g (3.17 oz),"2.2 inches, 15.0 cm2 (~28.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",microSD (dedicated slot),,1.3 MP,No,"1.2, A2DP",Removable Li-Ion 1000 mAh battery,
i-mobile 627,I-MOBILE,79173,7,"2008, October. Released 2008, October",109 x 46 x 15.2 mm (4.29 x 1.81 x 0.60 in),90 g (3.17 oz),"2.0 inches, 12.4 cm2 (~24.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",microSD (dedicated slot),63MB,"3.15 MP, Casio-Hitachi module, AF",No,"1.2, A2DP",Removable Li-Ion 830 mAh battery,
i-mobile TV 533,I-MOBILE,91406,8,"2009, January. Released 2009, January",112.7 x 50 x 14.5 mm (4.44 x 1.97 x 0.57 in),105 g (3.70 oz),"2.4 inches, 17.8 cm2 (~31.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSD (dedicated slot),,VGA,No,"1.2, A2DP",Removable Li-Ion 1100 mAh battery,
i-mobile TV 530,I-MOBILE,83790,10,"2008, September. Released 2008, October",112 x 50 x 16.4 mm (4.41 x 1.97 x 0.65 in),105 g (3.70 oz),"2.4 inches, 17.8 cm2 (~31.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSD (dedicated slot),,VGA,No,"1.2, A2DP",Removable Li-Ion 1100 mAh battery,
i-mobile TV 523,I-MOBILE,106051,8,"2008, October. Released 2008, October",110 x 49 x 14.5 mm (4.33 x 1.93 x 0.57 in),98 g (3.46 oz),"2.2 inches, 15.0 cm2 (~27.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",microSD (dedicated slot),,VGA,No,"1.2, A2DP",Removable Li-Ion 1000 mAh battery,
i-mobile 522,I-MOBILE,102758,7,"2008, October. Released 2008, October",111 x 49 x 14.5 mm (4.37 x 1.93 x 0.57 in),93.6 g (3.28 oz),"2.2 inches, 15.0 cm2 (~27.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",microSD (dedicated slot),120MB,VGA,No,"1.2, A2DP",Removable Li-Ion 1000 mAh battery,
i-mobile 320,I-MOBILE,69399,4,"2008, October. Released 2008, December",112 x 49 x 12.8 mm (4.41 x 1.93 x 0.50 in),95 g (3.35 oz),"2.2 inches, 15.0 cm2 (~27.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",microSD (dedicated slot),,VGA,No,Yes,Removable Li-Ion 750 mAh battery,
i-mobile 319,I-MOBILE,72204,6,"2008, September. Released 2008, September",96 x 44 x 13.9 mm (3.78 x 1.73 x 0.55 in),80 g (2.82 oz),"1.67 inches, 8.8 cm2 (~20.8% screen-to-body ratio)",128 x 160 pixels (~123 ppi density),microSD (dedicated slot),50MB,"VGA, AF",No,"1.2, A2DP",Removable Li-Ion 830 mAh battery,
i-mobile TV 626,I-MOBILE,126309,8,"2008, July. Released 2008",113.9 x 50 x 15.5 mm (4.48 x 1.97 x 0.61 in),90 g (3.17 oz),"2.4 inches, 17.8 cm2 (~31.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSD (dedicated slot),87MB,"3.15 MP, Casio-Hitachi module, AF",No,"1.2, A2DP",Removable Li-Ion 1000 mAh battery,
i-mobile 902,I-MOBILE,120579,8,"2007, October",102 x 48 x 17.5 mm (4.02 x 1.89 x 0.69 in),94 g (3.32 oz),"2.0 inches, 12.4 cm2 (~25.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","microSD (dedicated slot), 1 GB included",128MB,5 MP,No,"2.0, A2DP",Removable Li-Ion 1100 mAh battery,
i-mobile 625,I-MOBILE,129383,9,"2008, May. Released 2008, May",105 x 47 x 13 mm (4.13 x 1.85 x 0.51 in),90 g (3.17 oz),"2.0 inches, 12.4 cm2 (~25.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","microSD (dedicated slot), 1 GB included",60MB,"3.15 MP, Casio-Hitachi module, AF",No,"2.0, A2DP",Removable Li-Ion 830 mAh battery,
