Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Innostream INNO A20,INNOSTREAM,277914,10,"2005, July",93.9 x 46.4 x 23 mm (3.70 x 1.83 x 0.91 in),105 g (3.70 oz),,176 x 220 pixels,MMC,64MB (128MB optional),2 MP,No,No,Removable Li-Ion battery,
Innostream INNO P10,INNOSTREAM,185290,9,"2005, June",91.9 x 44 x 23.8 mm (3.62 x 1.73 x 0.94 in),94 g (3.32 oz),,128 x 160 pixels,RS-MMC,,1.3 MP,No,No,Removable Li-Ion 830 mAh battery,
Innostream INNO A10,INNOSTREAM,173377,10,"2004, Q4",90 x 43 x 24 mm (3.54 x 1.69 x 0.94 in),86 g (3.03 oz),,128 x 160 pixels,No,128MB,1.3 MP,No,No,Removable Li-Ion battery,
Innostream INNO 75,INNOSTREAM,248266,8,"2004, Q2. Released 2004",82.5 x 44 x 23 mm (3.25 x 1.73 x 0.91 in),80 g (2.82 oz),,"128 x 128 pixels, 1:1 ratio",miniSD,,VGA,No,No,Removable Li-Ion battery,
Innostream INNO 50,INNOSTREAM,149310,8,"2004, Q1",88.6 x 44.5 x 22.5 mm (3.49 x 1.75 x 0.89 in),90 g (3.17 oz),,"176 x 220 pixels, 11 lines",No,12MB,1.3 MP,No,No,Removable Li-Ion battery,
Innostream INNO 36,INNOSTREAM,67170,7,"2005, Q2",80 x 43 x 23.8 mm (3.15 x 1.69 x 0.94 in),76 g (2.68 oz),,128 x 143 pixels,No,,VGA,No,No,Removable Li-Ion battery,
Innostream INNO 79,INNOSTREAM,88948,7,"2004, Q1",84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in),85 g (3.00 oz),,"128 x 160 pixels, 11 lines",No,,VGA,No,No,Removable Li-Ion battery,
Innostream INNO 78,INNOSTREAM,87242,7,"2004, Q1",84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in),85 g (3.00 oz),,"128 x 160 pixels, 11 lines",No,,VGA,No,No,Removable Li-Ion battery,
Innostream INNO 30,INNOSTREAM,113143,8,"2004, Q1",82 x 42 x 21 mm (3.23 x 1.65 x 0.83 in),76 g (2.68 oz),,"128 x 160 pixels, 11 lines",No,,VGA,No,No,Removable Li-Ion 650 mAh battery,
Innostream INNO 55,INNOSTREAM,268976,8,"2004, Q2",85 x 42 x 21.6 mm (3.35 x 1.65 x 0.85 in),88 g (3.10 oz),,"128 x 160 pixels, 11 lines",No,,VGA,No,No,Removable Li-Ion 830 mAh battery,
Innostream INNO 70,INNOSTREAM,104058,8,"2004, Q1",90 x 52 x 22 mm (3.54 x 2.05 x 0.87 in),88 g (3.10 oz),,"128 x 160 pixels, 11 lines",No,4MB,"VGA, 180 deg. rotating lens",No,No,Removable Li-Ion battery,
Innostream INNO 99,INNOSTREAM,116064,8,"2004, Q1",87 x 46 x 24 mm (3.43 x 1.81 x 0.94 in),91 g (3.21 oz),,"128 x 160 pixels, 11 lines",No,,VGA,No,No,Removable Li-Ion 720 mAh battery,
Innostream INNO 90,INNOSTREAM,208278,9,"2004, Q1",87 x 46 x 26 mm (3.43 x 1.81 x 1.02 in),88 g (3.10 oz),,"128 x 160 pixels, 11 lines",No,4MB,VGA,No,No,Removable Li-Ion 680 mAh battery,
Innostream INNO 89,INNOSTREAM,119050,9,"2004, Q1",88 x 43 x 24 mm (3.46 x 1.69 x 0.94 in),98 g (3.46 oz),,"128 x 160 pixels, 11 lines",No,,CIF,No,No,Removable Li-Ion 720 mAh battery,
Innostream INNO 80,INNOSTREAM,111406,9,"2004, Q1",90 x 44 x 22 mm (3.54 x 1.73 x 0.87 in),97 g (3.42 oz),,"128 x 160 pixels, 11 lines",No,,CIF,No,No,Removable Li-Ion 720 mAh battery,
Innostream INNO 120,INNOSTREAM,89104,6,"2003, Q4",80 x 44 x 23.3 mm (3.15 x 1.73 x 0.92 in),81 g (2.86 oz),,"128 x 144 pixels, 10 lines",No,,No,,No,Removable Li-Ion 740 mAh battery,
Innostream INNO 110,INNOSTREAM,83734,6,"2003, Q4",80 x 43 x 20 mm (3.15 x 1.69 x 0.79 in),80 g (2.82 oz),,"128 x 144 pixels, 10 lines",No,,No,,No,Removable Li-Ion 740 mAh battery,
Innostream INNO 100,INNOSTREAM,94443,6,"2003, Q4",80 x 43 x 20 mm (3.15 x 1.69 x 0.79 in),80 g (2.82 oz),,"128 x 144 pixels, 10 lines",No,,No,,No,Removable Li-Ion 740 mAh battery,
