Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Lenovo Legion Y70,LENOVO,220510,102,"2022, August 18",163.6 x 77 x 8 mm (6.44 x 3.03 x 0.31 in),209 g (7.37 oz),"6.67 inches, 107.4 cm2 (~85.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",No,"128GB 8GB RAM, 256GB 12GB RAM, 512GB 16GB RAM","50 MP, (wide), 1/1.55"", 1.0µm, PDAF, OIS
13 MP, 120˚ (ultrawide), 1.12µm, AF
2 MP, f/2.4, (depth)",16 MP,"5.2, A2DP, LE","Li-Po 5100 mAh, non-removable",About 440 EUR
Lenovo Legion Y90,LENOVO,409256,171,"2022, March 01",177 x 78.4 x 10.1 mm (6.97 x 3.09 x 0.40 in),252 g (8.89 oz),"6.92 inches, 113.7 cm2 (~81.9% screen-to-body ratio)",1080 x 2460 pixels (~388 ppi density),No,"256GB 12GB RAM, 256GB 16GB RAM, 640GB 18GB RAM","64 MP, f/1.9, 25mm (wide), 1/1.32"", 1.0µm, PDAF
13 MP, 120˚ (ultrawide)",16 MP,"5.2, A2DP, LE","Li-Po 5600 mAh, non-removable",About 570 EUR
Lenovo K14 Plus,LENOVO,5878,1,"2022, February 15",165.1 x 75.7 x 9.1 mm (6.5 x 2.98 x 0.36 in),198 g (6.98 oz),"6.5 inches, 102.0 cm2 (~81.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),64GB 4GB RAM,"48 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","8 MP, f/2.0","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 200 EUR
Lenovo K13 Pro,LENOVO,150621,15,"2021, September",-,200 g (7.05 oz),"6.51 inches, 102.3 cm2","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","64 MP, f/1.7, 26mm (wide), 1/1.97"", 0.7µm, PDAF
8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","13 MP, f/2.2, (wide), 1/3.1"", 1.12µm","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 150 EUR
Lenovo K13,LENOVO,110301,10,"2021, August 30",165.1 x 75.9 x 9.2 mm (6.5 x 2.99 x 0.36 in),200 g (7.05 oz),"6.52 inches, 102.6 cm2 (~81.9% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (uses shared SIM slot),32GB 2GB RAM,"13 MP, f/2.0, 26mm (wide), 1/3.1"", 1.12µm, PDAF
2 MP, f/2.4, (macro)","5 MP, f/2.2, 27mm (wide), 1.12µm","4.2, A2DP, LE","Li-Ion 5000 mAh, non-removable",About 90 EUR
Lenovo K13 Note,LENOVO,158683,20,"2021, June 22",165.2 x 75.7 x 9.1 mm (6.50 x 2.98 x 0.36 in),200 g (7.05 oz),"6.5 inches, 102.0 cm2 (~81.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (uses shared SIM slot),128GB 4GB RAM,"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","8 MP, f/2.2, (wide), 1/4.0"", 1.12µm","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 120 EUR
Lenovo Legion 2 Pro,LENOVO,586957,189,"2021, April 08",176 x 78.5 x 9.9 mm (6.93 x 3.09 x 0.39 in),259 g (9.14 oz),"6.92 inches, 113.7 cm2 (~82.3% screen-to-body ratio)",1080 x 2460 pixels (~388 ppi density),No,"128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 512GB 16GB RAM, 512GB 18GB RAM","64 MP, f/1.9, 25mm (wide), 1/1.32"", 1.0µm, PDAF
16 MP, f/2.2, 123˚, 16mm (ultrawide), 1.0µm","Motorized pop-up 44 MP, f/2.0, 24mm (wide), 1/2.65"", 1.0µm, AF","5.2, A2DP, LE","Li-Po 5500 mAh, non-removable",About 880 EUR
Lenovo Legion Duel 2,LENOVO,410103,114,"2021, April 08",176 x 78.5 x 9.9 mm (6.93 x 3.09 x 0.39 in),259 g (9.14 oz),"6.92 inches, 113.7 cm2 (~82.3% screen-to-body ratio)",1080 x 2460 pixels (~388 ppi density),No,"256GB 12GB RAM, 512GB 16GB RAM","64 MP, f/1.9, 25mm (wide), 1/1.32"", 1.0µm, PDAF
16 MP, f/2.2, 123˚, 16mm (ultrawide), 1.0µm","Motorized pop-up 44 MP, f/2.0, 24mm (wide), 1/2.65"", 1.0µm, AF","5.2, A2DP, LE","Li-Po 5500 mAh, non-removable",About 800 EUR
Lenovo K12 Pro,LENOVO,352684,35,"2020, December 09",172.1 x 76.8 x 9.7 mm (6.78 x 3.02 x 0.38 in),221 g (7.80 oz),"6.8 inches, 109.8 cm2 (~83.1% screen-to-body ratio)",720 x 1640 pixels (~263 ppi density),microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","16 MP, f/2.2, 1.0µm","5.0, A2DP, LE","Li-Po 6000 mAh, non-removable",About 130 EUR
Lenovo K12 (China),LENOVO,100017,8,"2020, December 09",165.2 x 75.7 x 9.2 mm (6.50 x 2.98 x 0.36 in),200 g (7.05 oz),"6.5 inches, 102.0 cm2 (~81.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (uses shared SIM slot),64GB 4GB RAM,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF
2 MP, (depth)","8 MP, f/2.2, 26mm (wide), 1/4"", 1.12µm","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 100 EUR
