Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Orange Neva jet 5G,ORANGE,157001,25,"2019, November",159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in),171 g (6.03 oz),"6.47 inches, 102.8 cm2 (~87.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)",microSDXC (uses shared SIM slot),128GB 6GB RAM,"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF, OIS
8 MP, f/2.4, (telephoto), PDAF, OIS, 3x optical zoom
20 MP, f/2.2, 11mm (ultrawide)","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm","5.0, A2DP, LE","Li-Ion 4000 mAh, non-removable",About 900 EUR
Orange Rono,ORANGE,234283,4,2014. Released 2014,142.3 x 70.4 x 7.8 mm (5.60 x 2.77 x 0.31 in),131.8 g (4.66 oz),"5.0 inches, 68.9 cm2 (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC (dedicated slot),16GB 1GB RAM,"8 MP, AF",Yes,"4.0, A2DP","Li-Po 2300 mAh, removable",
Orange Gova,ORANGE,184411,2,"2014, February. Released 2014, April",7.9 mm thickness,-,"4.5 inches, 55.8 cm2","540 x 960 pixels, 16:9 ratio (~245 ppi density)",microSDHC (dedicated slot),8GB 1GB RAM,"5 MP, AF",,2.0,"Li-Ion 2000 mAh, removable",
Orange Reyo,ORANGE,171332,7,"2014, February. Released 2014, February",143 x 72 x 9.1 mm (5.63 x 2.83 x 0.36 in),130 g (4.59 oz),"5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC (dedicated slot),4GB 1GB RAM,"5 MP, AF",VGA,"4.0, A2DP","Li-Ion 2000 mAh, removable",
Orange Hiro,ORANGE,298418,13,"2013, Q3. Released 2013, Q3",127.1 x 62 x 8 mm (5.00 x 2.44 x 0.31 in),96 g (3.39 oz),"4.3 inches, 51.0 cm2 (~64.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~228 ppi density)",microSDHC (dedicated slot),4GB 512MB RAM,"5 MP, AF",Yes,Yes,"Li-Ion 1700 mAh, removable",
Orange San Diego,ORANGE,242433,15,"2012, February. Released 2012, June",123 x 63 x 10 mm (4.84 x 2.48 x 0.39 in),117 g (4.13 oz),"4.0 inches, 45.0 cm2 (~58.1% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~297 ppi density)",No,"16GB (12GB user available), 1GB RAM","8 MP, AF",Yes,"2.1, A2DP",Removable Li-Ion battery,About 190 EUR
Orange Monte Carlo,ORANGE,183346,6,2011,125.9 x 67.8 x 10.4 mm (4.96 x 2.67 x 0.41 in),120 g (4.23 oz),"4.3 inches, 52.6 cm2 (~61.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~217 ppi density)",microSDHC (dedicated slot),512MB RAM,"5 MP, AF",No,"2.1, A2DP, EDR",Removable Li-Ion 1400 mAh battery,
Orange San Francisco II,ORANGE,244233,4,"2011, November. Released 2011, November",117 x 58.5 x 10.6 mm (4.61 x 2.30 x 0.42 in),120 g (4.23 oz),"3.5 inches, 34.9 cm2 (~50.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~267 ppi density)",microSDHC (dedicated slot),512MB RAM,"5 MP, AF",Yes,"2.1, A2DP, EDR",Removable Li-Ion battery,About 120 EUR
Orange Sydney,ORANGE,138582,6,2011. Released 2011,102 x 50 x 12.5 mm (4.02 x 1.97 x 0.49 in),100 g (3.53 oz),"3.2 inches, 29.1 cm2 (~57.1% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)",microSD (dedicated slot),34MB,3.15 MP,No,"2.0, A2DP, EDR",Removable Li-Ion battery,
Orange Miami,ORANGE,84525,5,2011,105 x 50 x 12.5 mm (4.13 x 1.97 x 0.49 in),100 g (3.53 oz),"2.8 inches, 22.3 cm2 (~42.5% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~167 ppi density)",microSDHC (dedicated slot),10MB,2 MP,No,"2.0, A2DP",Removable Li-Ion 800 mAh battery,
Orange Malibu,ORANGE,64446,5,2011,106 x 46 x 13 mm (4.17 x 1.81 x 0.51 in),90 g (3.17 oz),"2.0 inches, 12.4 cm2 (~25.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",microSDHC (dedicated slot),10MB,2 MP,No,2.0,Removable Li-Ion 1000 mAh battery,
Orange Dallas,ORANGE,81933,6,2011,109 x 46 x 12.4 mm (4.29 x 1.81 x 0.49 in),80 g (2.82 oz),"2.4 inches, 17.8 cm2 (~35.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC (dedicated slot),1.4MB,VGA,No,2.0,Removable Li-Ion battery,
Orange San Francisco,ORANGE,212030,7,"2011, Q2. Released 2011, Q2",116 x 56.5 x 11.8 mm (4.57 x 2.22 x 0.46 in),130 g (4.59 oz),"3.5 inches, 34.9 cm2 (~53.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~267 ppi density)",microSDHC (dedicated slot),"512MB RAM, 512MB","3.15 MP, AF",No,"2.1, A2DP, EDR",Removable Li-Ion 1250 mAh battery,
Orange Stockholm,ORANGE,148750,4,"2011, Q2. Released 2011, Q2",104 x 56 x 13 mm (4.09 x 2.20 x 0.51 in),130 g (4.59 oz),"2.8 inches, 24.3 cm2 (~41.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSDHC (dedicated slot),120MB,"3.15 MP, AF",No,"2.1, A2DP",Removable Li-Ion battery,
