Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Palm Palm,PALM,496941,90,"2018, October",96.6 x 50.6 x 7.4 mm (3.80 x 1.99 x 0.29 in),62.5 g (2.22 oz),"3.3 inches, 30.0 cm2 (~61.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~445 ppi density)",No,32GB 3GB RAM,"12 MP, AF",8 MP,"4.2, A2DP, LE","Li-Ion 800 mAh, non-removable",About 400 EUR
Palm Pre 2,PALM,524721,25,"2010, October. Released 2010, November",100.7 x 59.6 x 16.9 mm (3.96 x 2.35 x 0.67 in),145 g (5.11 oz),"3.1 inches, 28.6 cm2 (~47.7% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~186 ppi density)",No,16GB 512MB RAM,5 MP,No,"2.1, A2DP, EDR",Removable Li-Ion battery,About 260 EUR
Palm Pre 2 CDMA,PALM,135623,9,"2010, October. Released 2010, October",100.7 x 59.6 x 16.9 mm (3.96 x 2.35 x 0.67 in),145 g (5.11 oz),"3.1 inches, 28.6 cm2 (~47.7% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~186 ppi density)",No,16GB 512MB RAM,5 MP,No,"2.1, A2DP",Removable Li-Ion battery,About 210 EUR
Palm Pixi Plus,PALM,535903,14,"2010, March. Released 2010, June",111 x 55 x 10.9 mm (4.37 x 2.17 x 0.43 in),92.5 g (3.25 oz),"2.63 inches, 21.8 cm2 (~35.7% screen-to-body ratio)",320 x 400 pixels (~195 ppi density),No,8GB,2 MP,No,"2.1, A2DP",Removable Li-Ion 1150 mAh battery,About 210 EUR
Palm Pre Plus,PALM,417337,21,"2010, March. Released 2010, May",100.5 x 59.5 x 16.9 mm (3.96 x 2.34 x 0.67 in),138 g (4.87 oz),"3.1 inches, 28.6 cm2 (~47.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~186 ppi density)",No,16GB 512MB RAM,3.15 MP,No,"2.1, A2DP",Removable Li-Ion 1150 mAh battery,About 170 EUR
Palm Pixi,PALM,395108,13,"2009, September. Released 2009, Q4",111 x 55 x 10.9 mm (4.37 x 2.17 x 0.43 in),99.5 g (3.53 oz),"2.63 inches, 21.8 cm2 (~35.7% screen-to-body ratio)",320 x 400 pixels (~195 ppi density),No,8GB,2 MP,No,"2.1, A2DP",Removable Li-Ion 1150 mAh battery,About 120 EUR
Palm Pre,PALM,1012614,36,"2009, Februray. Released 2009, October",100.5 x 59.5 x 16.9 mm (3.96 x 2.34 x 0.67 in),133 g (4.69 oz),"3.1 inches, 28.6 cm2 (~47.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~186 ppi density)",No,8GB 256MB RAM,3.15 MP,No,"2.1, A2DP (headset support only)",Removable Li-Ion 1150 mAh battery,About 180 EUR
Palm Treo Pro,PALM,665028,20,"2008, August. Released 2008, October",114 x 60 x 13.4 mm (4.49 x 2.36 x 0.53 in),133 g (4.69 oz),"2.5 inches, 20.2 cm2 (~29.5% screen-to-body ratio)","320 x 320 pixels, 1:1 ratio (~181 ppi density)",microSDHC (dedicated slot),100MB 128MB RAM,2 MP,No,"2.0, A2DP",Removable Li-Ion 1500 mAh battery,About 70 EUR
Palm Centro,PALM,575674,26,"2008, February. Released 2008, March",107.2 x 53.5 x 18.6 mm (4.22 x 2.11 x 0.73 in),124 g (4.37 oz),"2.25 inches, 16.3 cm2 (~28.5% screen-to-body ratio)","320 x 320 pixels, 1:1 ratio (~201 ppi density)",microSDHC (dedicated slot),64MB,1.3 MP,No,"1.2, A2DP",Removable Li-Ion 1150 mAh battery,About 70 EUR
Palm Treo 500v,PALM,456837,11,"2007, September. Released 2008, February",110 x 61.5 x 16.5 mm (4.33 x 2.42 x 0.65 in),120 g (4.23 oz),"2.4 inches, 17.8 cm2 (~26.4% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",microSD (dedicated slot),150MB,2 MP,No,"2.0, A2DP",Removable Li-Ion 1200 mAh battery,About 90 EUR
