Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Panasonic Eluga I7 (2019),PANASONIC,353677,12,"2019, June",148.8 x 70.9 x 9.3 mm (5.86 x 2.79 x 0.37 in),168 g (5.93 oz),"5.45 inches, 76.7 cm2 (~72.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, f/2.0, 1.12 µm, AF","8 MP, f/2.0, 1/4"", 1.12µm","4.2, A2DP, LE","Li-Ion 4000 mAh, non-removable",About 9990 INR
Panasonic Eluga Ray 800,PANASONIC,139264,8,"2019, March",152.8 x 75.3 x 8.6 mm (6.02 x 2.96 x 0.34 in),162 g (5.71 oz),"5.5 inches, 83.4 cm2 (~72.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDXC (dedicated slot),64GB 4GB RAM,"13 MP, f/2.0, PDAF",8 MP,"4.2, A2DP, LE","Li-Ion 4000 mAh, non-removable",About 10000 INR
Panasonic P85 Nxt,PANASONIC,102290,1,"2018, October",141.7 x 70.8 x 9.3 mm (5.58 x 2.79 x 0.37 in),173.8 g (6.14 oz),"5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,16GB 2GB RAM,"8 MP, AF","5 MP, AF","4.0, A2DP","Li-Ion 4000 mAh, non-removable",About 7000 INR
Panasonic Eluga Z1 Pro,PANASONIC,203141,16,"2018, October",157.2 x 76.3 x 8.1 mm (6.19 x 3.00 x 0.32 in),169 g (5.96 oz),"6.19 inches, 96.4 cm2 (~80.4% screen-to-body ratio)",720 x 1500 pixels (~269 ppi density),microSDXC (uses shared SIM slot),"32GB 3GB RAM, 64GB 4GB RAM","13 MP, f/2.0, 27mm (wide), 1/3.1"", 1.12µm, PDAF
2 MP, f/2.8, (depth)","8 MP, f/2.2","5.0, A2DP, LE","Li-Po 4000 mAh, non-removable",About 200 EUR
Panasonic Eluga Ray 530,PANASONIC,94023,3,"2018, October",152.4 x 72.2 x 8.3 mm (6.00 x 2.84 x 0.33 in),141 g (4.97 oz),"5.7 inches, 83.8 cm2 (~76.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, AF",5 MP,"4.1, A2DP, LE","Li-Ion 3000 mAh, non-removable",About 9000 INR
Panasonic Eluga Ray 600,PANASONIC,86068,3,"2018, October",158.5 x 75.5 x 7.9 mm (6.24 x 2.97 x 0.31 in),158 g (5.57 oz),"5.99 inches, 92.6 cm2 (~77.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~269 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, AF",8 MP,"4.1, A2DP, LE","Li-Ion 4000 mAh, non-removable",About 8000 INR
Panasonic Eluga X1 Pro,PANASONIC,255082,22,"2018, October",155 x 75.5 x 7.9 mm (6.10 x 2.97 x 0.31 in),195 g (6.88 oz),"6.18 inches, 96.2 cm2 (~82.2% screen-to-body ratio)","1080 x 2246 pixels, 18.7:9 ratio (~403 ppi density)",microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 6GB RAM","16 MP, PDAF
5 MP, f/2.4, (depth)","16 MP, f/2.2, 1/3.06"", 1.0µm","4.2, A2DP, LE","Li-Ion 3000 mAh, non-removable",About 350 EUR
Panasonic P90,PANASONIC,119917,3,"2018, June",143 x 71.8 x 9.3 mm (5.63 x 2.83 x 0.37 in),151.7 g (5.36 oz),"5.0 inches, 68.9 cm2 (~67.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,16GB 1GB RAM,"5 MP, AF",5 MP,"4.0, A2DP, LE",Li-Ion 2400 mAh battery,About 6000 INR
Panasonic P95,PANASONIC,125156,3,"2018, May",141 x 70.5 x 8 mm (5.55 x 2.78 x 0.31 in),164 g (5.78 oz),"5.0 inches, 68.9 cm2 (~69.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (dedicated slot),16GB 1GB RAM,"8 MP, AF",5 MP,"4.1, A2DP, LE",Li-Ion 2300 mAh battery,About 5000 INR
Panasonic Eluga I7,PANASONIC,128977,3,"2018, April",148.8 x 70.9 x 9.3 mm (5.86 x 2.79 x 0.37 in),168 g (5.93 oz),"5.45 inches, 76.7 cm2 (~72.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, f/2.0, 1.12 µm, AF","8 MP, f/2.0, 1/4"", 1.12µm","4.1, A2DP, LE","Li-Ion 4000 mAh, non-removable",About 6500 INR
Panasonic Eluga Ray 550,PANASONIC,131309,5,"2018, April",152.5 x 73.3 x 8.5 mm (6.00 x 2.89 x 0.33 in),152 g (5.36 oz),"5.7 inches, 83.8 cm2 (~75.0% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, AF",8 MP,"4.1, A2DP","Li-Ion 3250 mAh, non-removable",About 9000 INR
Panasonic P101,PANASONIC,90158,1,"2018, April",148.8 x 72 x 9.1 mm (5.86 x 2.83 x 0.36 in),145 g (5.11 oz),"5.45 inches, 76.7 cm2 (~71.5% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~197 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, AF",5 MP,"4.1, A2DP","Li-Ion 2500 mAh, non-removable",About 7000 INR
Panasonic P100,PANASONIC,169248,7,"2018, February",145 x 73 x 9.9 mm (5.71 x 2.87 x 0.39 in),174.8 g (6.17 oz),"5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,"16GB 1GB RAM, 16GB 2GB RAM",8 MP,5 MP,"4.0, A2DP","Li-Ion 2200 mAh, non-removable",About 5300 INR
Panasonic Eluga I9,PANASONIC,117579,5,"2017, December",142.5 x 70.5 x 7.8 mm (5.61 x 2.78 x 0.31 in),143 g (5.04 oz),"5.0 inches, 68.9 cm2 (~68.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (uses shared SIM slot),32GB 3GB RAM,"13 MP, f/2.2, AF","5 MP, f/2.4","4.0, A2DP","Li-Ion 2500 mAh, non-removable",About 100 EUR
Panasonic Eluga C,PANASONIC,216596,14,"2017, November",141 x 73.5 x 8.7 mm (5.55 x 2.89 x 0.34 in),-,"5.5 inches, 83.4 cm2 (~80.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDXC,64GB 4GB RAM,"13 MP, f/2.2, AF
5 MP, f/2.4, (depth)",5 MP,"4.0, A2DP","Li-Ion 3000 mAh, non-removable",About 200 EUR
Panasonic P91,PANASONIC,150678,3,"2017, November",144.7 x 72.4 x 10.1 mm (5.70 x 2.85 x 0.40 in),161 g (5.68 oz),"5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDXC (dedicated slot),16GB 1GB RAM,"8 MP, AF",5 MP,"4.0, A2DP","Li-Ion 2500 mAh, non-removable",About 6500 INR
Panasonic Eluga I5,PANASONIC,126725,3,"2017, November",143 x 71 x 7.5 mm (5.63 x 2.80 x 0.30 in),145.5 g (5.15 oz),"5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (uses shared SIM slot),16GB 2GB RAM,"13 MP, f/2.2, AF","5 MP, f/2.2","4.0, A2DP","Li-Ion 2500 mAh, non-removable",About 6500 INR
Panasonic Eluga A4,PANASONIC,156464,6,"2017, November",149.5 x 74 x 9 mm (5.89 x 2.91 x 0.35 in),162 g (5.71 oz),"5.2 inches, 74.5 cm2 (~67.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",microSDXC,32GB 3GB RAM,"13 MP, PDAF",5 MP,"4.0, A2DP","Li-Po 5000 mAh, non-removable",About 12500 INR
Panasonic P99,PANASONIC,102709,1,"2017, September",144.6 x 71.8 x 8.6 mm (5.69 x 2.83 x 0.34 in),145 g (5.11 oz),"5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,16GB 2GB RAM,"8 MP, AF",5 MP,"4.0, A2DP","Li-Ion 2000 mAh, non-removable",About 7450 INR
Panasonic Eluga I4,PANASONIC,100728,1,"2017, September",146.7 x 71.3 x 8.3 mm (5.78 x 2.81 x 0.33 in),150.7 g (5.33 oz),"5.0 inches, 68.9 cm2 (~65.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, AF",5 MP,"4.0, A2DP","Li-Ion 3000 mAh, non-removable",About 8300 INR
Panasonic Eluga Ray 500,PANASONIC,180757,5,"2017, September",144.3 x 71.3 x 9.2 mm (5.68 x 2.81 x 0.36 in),163 g (5.75 oz),"5.0 inches, 68.9 cm2 (~67.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (uses shared SIM slot),32GB 3GB RAM,"13 MP, f/2.0, AF
8 MP, f/2.4","5 MP, f/2.4","4.0, A2DP","Li-Ion 4000 mAh, non-removable",About 110 EUR
Panasonic Eluga Ray 700,PANASONIC,356806,20,"2017, September",153.8 x 75.4 x 8.9 mm (6.06 x 2.97 x 0.35 in),182 g (6.42 oz),"5.5 inches, 83.4 cm2 (~71.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, f/2.0, PDAF","13 MP, f/2.2","4.0, A2DP","Li-Ion 5000 mAh, non-removable",About 130 EUR
