Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Pantech Breeze IV,PANTECH,150716,8,"2013, November. Released 2013, November",106.4 x 53.1 x 17.5 mm (4.19 x 2.09 x 0.69 in),102 g (3.60 oz),"3.0 inches, 25.6 cm2 (~45.3% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",microSDHC (dedicated slot),256MB 128MB RAM,"3.15 MP, AF",No,"2.1, A2DP, EDR","Li-Ion 1030 mAh, removable",About 160 EUR
Pantech Vega No 6,PANTECH,1345511,65,"2013, January. Released 2013, February",158.6 x 83.2 x 9.9 mm (6.24 x 3.28 x 0.39 in),210.5 g (7.41 oz),"5.9 inches, 96.0 cm2 (~72.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~373 ppi density)",microSDXC (dedicated slot),32GB 2GB RAM,"13 MP, AF",2 MP,"4.0, A2DP, EDR, LE","Li-Ion 3140 mAh, removable",
Pantech Discover,PANTECH,453616,23,"2013, January. Released 2013, January",134.2 x 68.6 x 9.1 mm (5.28 x 2.70 x 0.36 in),135 g (4.76 oz),"4.8 inches, 63.5 cm2 (~69.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~306 ppi density)",microSDHC (dedicated slot),"16GB (13GB user available), 1GB RAM","12.6 MP, AF",2 MP,"4.0, A2DP","Li-Ion 2100 mAh, removable",About 370 EUR
Pantech Vega R3 IM-A850L,PANTECH,1159976,49,"2012, October. Released 2012, October",144.7 x 74.3 x 10 mm (5.70 x 2.93 x 0.39 in),168.5 g (5.93 oz),"5.3 inches, 77.4 cm2 (~72.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~277 ppi density)",microSDHC (dedicated slot),16GB 2GB RAM,"13 MP, AF",2 MP,"4.0, A2DP","Li-Ion 2600 mAh, removable",About 550 EUR
Pantech Flex P8010,PANTECH,391423,20,"2012, September. Released 2012, September",129.8 x 67.1 x 7.9 mm (5.11 x 2.64 x 0.31 in),132 g (4.66 oz),"4.3 inches, 51.0 cm2 (~58.5% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)","microSDHC (dedicated slot), 8 GB included",8GB 1GB RAM,"8 MP, AF",2 MP,"4.0, A2DP","Li-Ion 1830 mAh, removable",About 230 EUR
Pantech Renue,PANTECH,157650,8,"2012, July. Released 2012, July",99 x 63 x 12 mm (3.90 x 2.48 x 0.47 in),128 g (4.52 oz),"3.2 inches, 31.7 cm2 (~50.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~125 ppi density)",microSDHC (dedicated slot),185MB 256MB RAM,3.15 MP,No,"2.1, A2DP, EDR",Removable Li-Ion 1000 mAh battery,
Pantech Marauder,PANTECH,182816,10,"2012, July. Released 2012, August",129 x 65 x 12 mm (5.08 x 2.56 x 0.47 in),173 g (6.10 oz),"3.8 inches, 41.1 cm2 (~49.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~246 ppi density)",microSDHC (dedicated slot),4GB 1GB RAM,"5 MP, AF",Yes,"4.0, A2DP",Removable Li-Ion 1680 mAh battery,
Pantech Vega Racer 2 IM-A830L,PANTECH,676242,23,"2012, May. Released 2012, May",132.4 x 68.9 x 9.4 mm (5.21 x 2.71 x 0.37 in),134.1 g (4.73 oz),"4.8 inches, 63.5 cm2 (~69.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~306 ppi density)",microSDHC (dedicated slot),16GB 1GB RAM,"8 MP, AF",2 MP,"4.0, A2DP",Removable Li-Ion 2020 mAh battery,About 340 EUR
Pantech Vega LTE EX IM-A820L,PANTECH,833776,28,"2012, January. Released 2012, January",134.5 x 69.8 x 9.7 mm (5.30 x 2.75 x 0.38 in),136.2 g (4.80 oz),"4.5 inches, 58.7 cm2 (~62.5% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~335 ppi density)",microSDHC (dedicated slot),16GB 1GB RAM,"8 MP, AF",Yes,"3.0, A2DP",Removable Li-Ion 1830 mAh battery,About 230 EUR
Pantech Burst,PANTECH,702348,38,"2012, January. Released 2012, January",126.5 x 62.5 x 11.4 mm (4.98 x 2.46 x 0.45 in),122.5 g (4.30 oz),"4.0 inches, 45.5 cm2 (~57.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC (dedicated slot),16GB 1GB RAM,"5 MP, AF",VGA,"3.0, A2DP",Removable Li-Ion 1650 mAh battery,About 270 EUR
Pantech Hotshot,PANTECH,150212,5,"2011, October. Released 2011, October",119 x 60 x 9 mm (4.69 x 2.36 x 0.35 in),91 g (3.21 oz),"3.2 inches, 29.1 cm2 (~40.8% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)","microSDHC (dedicated slot), 2 GB included",,3.15 MP,No,"3.0, A2DP",Removable Li-Ion 1000 mAh battery,
Pantech Link II,PANTECH,140351,6,"2011, October. Released 2011, October",114 x 61 x 10 mm (4.49 x 2.40 x 0.39 in),94 g (3.32 oz),"2.4 inches, 17.8 cm2 (~25.7% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",microSDHC (dedicated slot),200MB,2 MP,No,"2.1, A2DP",Removable Li-Ion 1000 mAh battery,
Pantech Pocket P9060,PANTECH,353793,17,"2011, October. Released 2011, December",114.7 x 78 x 11.3 mm (4.52 x 3.07 x 0.44 in),132.1 g (4.66 oz),"4.0 inches, 49.5 cm2 (~55.4% screen-to-body ratio)","600 x 800 pixels, 4:3 ratio (~250 ppi density)","microSDHC (dedicated slot), 2 GB included",600MB,"5 MP, AF",No,"2.1, A2DP, EDR",Removable Li-Ion 1650 mAh battery,About 280 EUR
Pantech Jest II,PANTECH,127530,7,"2011, October. Released 2011, October",94 x 66 x 15 mm (3.70 x 2.60 x 0.59 in),116 g (4.09 oz),"2.4 inches, 17.8 cm2 (~28.8% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",microSDHC (dedicated slot),,2 MP,No,"3.0, A2DP",Removable Li-Ion 950 mAh battery,
Pantech Pursuit II,PANTECH,172485,8,"2011, July. Released 2011, July",101 x 61 x 15 mm (3.98 x 2.40 x 0.59 in),127 g (4.48 oz),"2.8 inches, 24.3 cm2 (~39.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSDHC (dedicated slot),217MB,2 MP,No,"2.0, A2DP, EDR",Removable Li-Ion 1000 mAh battery,About 200 EUR
