Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Qtek 9600,QTEK,736803,16,"2006, June",113 x 58 x 22 mm (4.45 x 2.28 x 0.87 in),176 g (6.21 oz),"2.8 inches, 42 x 57 mm, 24.3 cm2 (~37.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,QCIF videocall camera,2.0,Removable Li-Po 1350 mAh battery,
Qtek 8600,QTEK,196489,8,"2006, June",112.4 x 46 x 14.8 mm (4.43 x 1.81 x 0.58 in),120 g (4.23 oz),"2.2 inches, 34 x 45 mm, 15.0 cm2 (~29.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",microSD (dedicated slot),"64MB RAM, 128MB ROM",1.3 MP,Yes,Yes,Removable Li-Po 1190 mAh battery,
Qtek A9100,QTEK,132992,10,"2006, March",108 x 58 x 23.7 mm (4.25 x 2.28 x 0.93 in),168 g (5.93 oz),"2.8 inches, 24.3 cm2 (~38.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",miniSD,"64MB RAM, 128MB ROM",1.3 MP,No,1.2,Removable Li-Po 1250 mAh battery,
Qtek 8500,QTEK,300352,10,"2006, February",98.5 x 51.4 x 15.8 mm (3.88 x 2.02 x 0.62 in),99 g (3.49 oz),"2.2 inches, 34 x 45 mm, 15.0 cm2 (~29.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",microSD (dedicated slot),"64MB RAM, 64MB ROM",1.3 MP,No,1.2,Removable Li-Ion 750 mAh battery,About 190 EUR
Qtek S200,QTEK,662327,14,"2005, Q4",108.8 x 59.3 x 18.4 mm (4.28 x 2.33 x 0.72 in),150 g (5.29 oz),"2.8 inches, 42 x 57 mm, 24.3 cm2 (~37.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",SD/MMC,"64MB RAM, 128MB ROM",2 MP,No,2.0,Removable Li-Ion 1200 mAh battery,About 250 EUR
Qtek 9000,QTEK,734616,15,"2005, August",131 x 79 x 21 mm (5.16 x 3.11 x 0.83 in),285 g (10.05 oz),"3.6 inches, 73 x 55 mm, 40.1 cm2 (~38.8% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~222 ppi density)",SDIO/MMC,64MB RAM,1.3 MP,VGA videocall camera,Yes,Removable Li-Po 1620 mAh battery,About 560 EUR
Qtek 8310,QTEK,400890,11,"2005, August",107.5 x 46 x 17.5 mm (4.23 x 1.81 x 0.69 in),106 g (3.74 oz),"2.2 inches, 34 x 45 mm, 15.0 cm2 (~30.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",MiniSD,"64MB RAM, 64/128MB ROM",1.3 MP,No,Yes,Removable Li-Ion 1150 mAh battery,
Qtek 8300,QTEK,197424,10,"2005, August",107.5 x 46 x 17.5 mm (4.23 x 1.81 x 0.69 in),106 g (3.74 oz),"2.2 inches, 34 x 45 mm, 15.0 cm2 (~30.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",MiniSD,"32MB RAM, 64MB ROM",1.3 MP,No,Yes,Removable Li-Ion 1150 mAh battery,
Qtek 9100,QTEK,860648,17,"2005, Q3",109 x 58 x 23 mm (4.29 x 2.28 x 0.91 in),160 g (5.64 oz),"2.8 inches, 42 x 57 mm, 24.3 cm2 (~38.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",miniSD,"64MB RAM, 128MB ROM",1.3 MP,No,2.0,Removable Li-Po 1250 mAh battery,
Qtek 8100,QTEK,226606,8,"2005, Q1",107 x 47 x 19 mm (4.21 x 1.85 x 0.75 in),106 g (3.74 oz),"2.2 inches, 35 x 44 mm, 15.2 cm2 (~30.3% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),MiniSD,32MB RAM,VGA,No,Yes,Removable Li-Ion 1050 mAh battery,
Qtek S110,QTEK,263458,9,"2005, Q2",108 x 58 x 18 mm (4.25 x 2.28 x 0.71 in),150 g (5.29 oz),"2.8 inches, 42 x 57 mm, 24.3 cm2 (~38.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",SDIO/MMC,128MB RAM,1.3 MP,No,1.2,Removable Li-Po 1200 mAh battery,
Qtek S100,QTEK,375310,12,"2004, Q4",108 x 58 x 18 mm (4.25 x 2.28 x 0.71 in),150 g (5.29 oz),"2.8 inches, 42 x 57 mm, 24.3 cm2 (~38.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",SDIO/MMC,64MB RAM,1.3 MP,No,Yes,Removable Li-Po 1200 mAh battery,
Qtek 9090,QTEK,494702,15,"2004, Q3",125 x 71 x 18 mm (4.92 x 2.80 x 0.71 in),210 g (7.41 oz),"3.5 inches, 53 x 71 mm, 37.9 cm2 (~42.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~114 ppi density)",SDIO/MMC,128MB RAM,VGA,No,Yes,Removable Li-Po 1490 mAh battery,
Qtek 8020,QTEK,194511,8,"2004, Q3",107 x 44 x 18 mm (4.21 x 1.73 x 0.71 in),102 g (3.60 oz),"2.2 inches, 35 x 44 mm, 15.2 cm2 (~32.4% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),MiniSD,32MB RAM,VGA,No,Yes,Removable Li-Ion 1050 mAh battery,
Qtek 8010,QTEK,169138,11,"2004, Q2",107 x 46 x 17.5 mm (4.21 x 1.81 x 0.69 in),106 g (3.74 oz),"2.2 inches, 35 x 44 mm, 15.2 cm2 (~30.9% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),MiniSD,32MB RAM,VGA,No,Yes,Removable Li-Ion 1050 mAh battery,
Qtek 2020i,QTEK,306672,9,"2004, Q2","130 x 70 x 18 mm, 105 cc (5.12 x 2.76 x 0.71 in)",190 g (6.70 oz),"3.5 inches, 53 x 71 mm, 37.9 cm2 (~41.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~114 ppi density)",SDIO/MMC,"128MB RAM, 128MB ROM",1.3 MP,No,Yes,Removable Li-Ion 1300 mAh battery,
Qtek 2020,QTEK,290489,13,"2004, Q2","130 x 70 x 18 mm, 105 cc (5.12 x 2.76 x 0.71 in)",190 g (6.70 oz),"3.5 inches, 53 x 71 mm, 37.9 cm2 (~41.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~114 ppi density)",SDIO/MMC,64MB RAM (128MB optional),VGA,No,Yes,Removable Li-Ion 1200 mAh battery,
Qtek 8080,QTEK,256847,8,"2004, Q1","120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in)",130 g (4.59 oz),"2.2 inches, 35 x 44 mm, 15.2 cm2 (~25.4% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),SDIO/MMC,"32MB RAM, 64MB ROM",VGA,No,Yes,Removable Li-Ion 1000 mAh battery,
Qtek 8060,QTEK,107578,6,"2004, Q1","120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in)",130 g (4.59 oz),"2.2 inches, 35 x 44 mm, 15.2 cm2 (~25.4% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),SDIO/MMC,"32MB RAM, 64MB ROM",VGA,No,Yes,Removable Li-Ion 1000 mAh battery,
Qtek 1010,QTEK,204985,7,2003,129 x 73 x 18 mm (5.08 x 2.87 x 0.71 in),201 g (7.09 oz),"3.5 inches, 53 x 71 mm, 37.9 cm2 (~40.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~114 ppi density)",MMC/SD,"64MB RAM, 32MB ROM",No,,No,Removable Li-Ion 1500 mAh battery,
Qtek 7070,QTEK,130012,7,"2004, Q1","120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in)",120 g (4.23 oz),"2.2 inches, 35 x 44 mm, 15.2 cm2 (~25.4% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),MMC/SD,"16MB RAM, 32MB ROM",No,,No,Removable Li-Ion 1000 mAh battery,
