Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Realme 10s,REALME,67791,19,"2022, December 16",164.4 x 75.1 x 8.1 mm (6.47 x 2.96 x 0.32 in),191 g (6.74 oz),"6.6 inches, 104.9 cm2 (~85.0% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), PDAF
0.3 MP, f/2.8, (depth)","8 MP, f/2.0, 27mm (wide)","5.2, A2DP, LE","Li-Po 5000 mAh, non-removable",About 150 EUR
Realme V20,REALME,15998,1,"2022, June 13",164.4 x 75.1 x 8.1 mm (6.47 x 2.96 x 0.32 in),184 g (6.49 oz),"6.5 inches, 102.0 cm2 (~82.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM","13 MP, (wide), PDAF
0.3 MP, f/2.8, (depth)","5 MP, f/2.2, 27mm (wide), 1/5.0"", 1.12µm",Yes,"Li-Po 5000 mAh, non-removable",About 160 EUR
Realme 10 Pro+,REALME,811143,134,"2022, November 17",161.5 x 73.9 x 7.8 mm or 8 mm,173 g / 175 g (6.10 oz),"6.7 inches, 108.0 cm2 (~90.5% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","108 MP, f/1.8, 24mm (wide), 1/1.67"", 0.64µm, PDAF
8 MP, f/2.2, 16mm, 112˚ (ultrawide)
2 MP, f/2.4, (macro)","16 MP, f/2.5, 25mm (wide)","5.2, A2DP, LE, aptX HD","Li-Po 5000 mAh, non-removable",$ 269.00
Realme 10 Pro,REALME,419607,48,"2022, November 17",163.7 x 74.2 x 8.1 mm or 8.3 mm,190 g / 192 g (6.70 oz),"6.72 inches, 109.0 cm2 (~89.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","108 MP, f/1.8, 24mm (wide), 1/1.67"", 0.64µm, PDAF
2 MP, f/2.4, (depth)","16 MP, f/2.5, 25mm (wide)","5.1, A2DP, LE","Li-Po 5000 mAh, non-removable","$ 249.00 / ₹ 21,999"
Realme 10 5G,REALME,160519,14,"2022, November 11",164.4 x 75.1 x 8.1 mm (6.47 x 2.96 x 0.32 in),191 g (6.74 oz),"6.6 inches, 104.9 cm2 (~85.0% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF
Unspecified MP, f/2.8, 46mm (telephoto)
2 MP, f/2.4, (macro)","8 MP, f/2.0, 27mm (wide)","5.2, A2DP, LE","Li-Po 5000 mAh, non-removable",About 180 EUR
Realme 10,REALME,443525,43,"2022, November 09",159.9 x 73.3 x 8 mm (6.30 x 2.89 x 0.31 in),178 g (6.28 oz),"6.4 inches, 98.9 cm2 (~84.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~411 ppi density)",microSDXC (dedicated),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 27mm (wide), 1/2.76"", PDAF
2 MP, f/2.4, (depth)","16 MP, f/2.5, 27mm (wide)","5.3, A2DP, LE, aptX HD, aptX Adaptive","Li-Po 5000 mAh, non-removable",About 230 EUR
Realme C30s,REALME,134787,8,"2022, September 14",164.2 x 75.7 x 8.5 mm (6.46 x 2.98 x 0.33 in),186 g (6.56 oz),"6.5 inches, 102.0 cm2 (~82.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),"32GB 2GB RAM, 32GB 3GB RAM, 64GB 4GB RAM","8 MP, (wide), 1/4.0"", 1.12µm","5 MP, (wide), 1/5.0"", 1.12µm","4.2, A2DP","Li-Po 5000 mAh, non-removable",About 100 EUR
Realme C33,REALME,252292,17,"2022, September 06",164.2 x 75.7 x 8.3 mm (6.46 x 2.98 x 0.33 in),187 g (6.60 oz),"6.5 inches, 102.0 cm2 (~82.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated),"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","50 MP, (wide), PDAF
0.3 MP, f/2.8, (depth)","5 MP, f/2.2, 27mm (wide), 1/5.0"", 1.12µm","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable","₹ 8,980"
Realme 9i 5G,REALME,307009,18,"2022, August 18",164.4 x 75.1 x 8.1 mm (6.47 x 2.96 x 0.32 in),187 g (6.60 oz),"6.6 inches, 104.9 cm2 (~85.0% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, 26mm (wide), 1/2.76"", 0.64µm, PDAF
Unspecified MP, 46mm (telephoto)
2 MP, f/2.4, (macro)","8 MP, f/2.0, 27mm (wide)","5.2, A2DP, LE","Li-Po 5000 mAh, non-removable","₹ 14,998"
Realme GT2 Explorer Master,REALME,383576,128,"2022, July 12",161.3 x 74.3 x 8.2 mm (6.35 x 2.93 x 0.32 in),195 g (6.88 oz),"6.7 inches, 108.4 cm2 (~90.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",No,"256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS
50 MP, f/2.2, 150˚ (ultrawide)
3 MP, f/3.3, 20mm (microscope), AF, 40x magnification","16MP, f/2.5, 25mm (wide)",Yes,"Li-Po 5000 mAh, non-removable",$ 508.94
