Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Sagem Puma Phone,SAGEM,492982,23,"2010, February. Released 2010, August",102 x 56 x 13 mm (4.02 x 2.20 x 0.51 in),115 g (4.06 oz),"2.8 inches, 24.3 cm2 (~42.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","microSDHC (dedicated slot), 2 GB included",,3.15 MP,VGA,"2.1, A2DP",Removable Li-Ion 880 mAh battery,About 400 EUR
Sagem my421z,SAGEM,205157,9,"2008, September. Released 2008, October",97 x 46 x 14 mm (3.82 x 1.81 x 0.55 in),95 g (3.35 oz),"2.0 inches, 12.6 cm2 (~28.2% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),microSD (dedicated slot),,1.3 MP,No,Yes,Removable Li-Ion battery,
Sagem Roland Garros,SAGEM,220446,10,"2008, February. Released 2008, April",106.9 x 46.3 x 10.9 mm (4.21 x 1.82 x 0.43 in),81 g (2.86 oz),,"120 x 160 pixels, 4:3 ratio",microSD (dedicated slot),13MB,1.3 MP,No,Yes,Removable Li-Ion battery,
Sagem myMobileTV 2,SAGEM,300562,12,"2008, February. Released 2008, April",-,-,,"240 x 320 pixels, 4:3 ratio",microSD (dedicated slot),25MB,2 MP,No,"1.1, A2DP",Removable Li-Ion battery,
Sagem my411C Oxbow,SAGEM,169993,9,"2008, February. Released 2008",91 x 46 x 16.5 mm (3.58 x 1.81 x 0.65 in),87 g (3.07 oz),,128 x 160 pixels,microSD (dedicated slot),10MB,VGA,No,Yes,Removable Li-Ion battery,
Sagem my855c,SAGEM,142619,8,"2008, February. Released 2008",96 x 49 x 16 mm (3.78 x 1.93 x 0.63 in),95 g (3.35 oz),"2.0 inches, 12.4 cm2 (~26.3% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~200 ppi density)",microSD (dedicated slot),,2 MP,VGA videocall camera,"2.0, A2DP",Removable Li-Ion battery,
Sagem my810x,SAGEM,134197,7,"2007, October",104 x 48 x 16 mm (4.09 x 1.89 x 0.63 in),105 g (3.70 oz),,176 x 220 pixels,microSDHC (dedicated slot),,1.3 MP,VGA videocall camera,1.2,Removable Li-Ion battery,
Sagem my750x,SAGEM,258744,9,"2008, February. Released 2008",108 x 48 x 11 mm (4.25 x 1.89 x 0.43 in),95 g (3.35 oz),"2.4 inches, 17.8 cm2 (~34.4% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",microSD (dedicated slot),,3.15 MP,VGA videocall camera,Yes,Removable Li-Ion battery,
Sagem my721x,SAGEM,174692,8,"2008, February. Released 2008, May",112 x 48 x 9.8 mm (4.41 x 1.89 x 0.39 in),90 g (3.17 oz),"2.0 inches, 12.6 cm2 (~23.4% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),microSD (dedicated slot),,3.15 MP,No,Yes,Removable Li-Ion battery,
Sagem my721z,SAGEM,131281,8,"2008, February. Released 2008",106 x 52 x 12 mm (4.17 x 2.05 x 0.47 in),125 g (4.41 oz),"2.2 inches, 15.2 cm2 (~27.6% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),microSD (dedicated slot),,3.15 MP,No,Yes,Removable Li-Ion battery,
