Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Samsung Galaxy M04,SAMSUNG,85697,12,"2022, December 10",164.2 x 75.9 x 9.1 mm (6.46 x 2.99 x 0.36 in),188 g (6.63 oz),"6.5 inches, 102.0 cm2 (~81.8% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","13 MP, f/2.2, (wide), AF
2 MP, f/2.4, (depth)","5 MP, f/2.2","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable","₹ 9,499"
Samsung Galaxy A04e,SAMSUNG,311115,18,"2022, October 21",164.2 x 75.9 x 9.1 mm (6.46 x 2.99 x 0.36 in),188 g (6.63 oz),"6.5 inches, 102.0 cm2 (~81.8% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),"32GB 3GB RAM, 32GB 4GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","13 MP, f/2.2, (wide), AF
2 MP, f/2.4, (depth)","5 MP, f/2.2","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable","$ 118.97 / £ 134.99 / ₹ 9,299"
Samsung Galaxy A04s,SAMSUNG,764603,43,"2022, August 31",164.7 x 76.7 x 9.1 mm (6.48 x 3.02 x 0.36 in),195 g (6.88 oz),"6.5 inches, 102.0 cm2 (~80.7% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated),"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","5 MP, f/2.2, (wide)","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable","$ 132.00 / € 133.00 / £ 129.00 / ₹ 13,499"
Samsung Galaxy A04,SAMSUNG,512160,31,"2022, August 24",164.4 x 76.3 x 9.1 mm (6.47 x 3.00 x 0.36 in),192 g (6.77 oz),"6.5 inches, 102.0 cm2 (~81.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 8GB RAM","50 MP, f/1.8, (wide), AF
2 MP, f/2.4, (depth)","5 MP, f/2.2","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable","$ 124.00 / ₹ 11,998"
Samsung Galaxy Z Fold4,SAMSUNG,1185346,214,"2022, August 10","Unfolded: 155.1 x 130.1 x 6.3 mm
Folded: 155.1 x 67.1 x 14.2-15.8 mm",263 g (9.28 oz),"7.6 inches, 183.2 cm2 (~90.9% screen-to-body ratio)",1812 x 2176 pixels (~373 ppi density),No,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM","50 MP, f/1.8, 23mm (wide), 1.0µm, Dual Pixel PDAF, OIS
10 MP, f/2.4, 66mm (telephoto), 1.0µm, PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 123˚, 12mm (ultrawide), 1.12µm","4 MP, f/1.8, 26mm (wide), 2.0µm, under display
Cover camera:
10 MP, f/2.2, 24mm (wide), 1/3"", 1.22µm","5.2, A2DP, LE, aptX HD","Li-Po 4400 mAh, non-removable","$ 949.99 / € 1,307.90 / £ 1,349.99 / ₹ 125,980 / C$ 1,969.95"
Samsung Galaxy Z Flip4,SAMSUNG,997541,182,"2022, August 10","Unfolded: 165.2 x 71.9 x 6.9 mm
Folded: 84.9 x 71.9 x 15.9-17.1 mm",187 g (6.60 oz),"6.7 inches, 101.5 cm2 (~85.4% screen-to-body ratio)",1080 x 2640 pixels (~426 ppi density),No,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","12 MP, f/1.8, 24mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
12 MP, f/2.2, 123˚ (ultrawide), 1.12µm","10 MP, f/2.4, 26mm (wide), 1.22µm","5.2, A2DP, LE","Li-Po 3700 mAh, non-removable","$ 594.95 / € 787.00 / £ 704.99 / ₹ 73,999 / C$ 847.99"
Samsung Galaxy A23 5G,SAMSUNG,867548,76,"2022, August 05",165.4 x 76.9 x 8.4 mm (6.51 x 3.03 x 0.33 in),197 g (6.95 oz),"6.6 inches, 104.9 cm2 (~82.5% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",microSDXC (dedicated slot),"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","50 MP, f/1.8, (wide), PDAF, OIS
5 MP, f/2.2, 123˚ (ultrawide), 1/5"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide) - USA
8 MP, f/2.2, (wide) - International","5.1, A2DP, LE","Li-Po 5000 mAh, non-removable",$ 299.99 / € 245.95 / £ 224.00
Samsung Galaxy M13 5G,SAMSUNG,433031,24,"2022, July 14",164.5 x 76.5 x 8.8 mm (6.48 x 3.01 x 0.35 in),195 g (6.88 oz),"6.5 inches, 102.0 cm2 (~81.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated),"64GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","5 MP, f/2.0, (wide)","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable","₹ 13,999"
Samsung Galaxy M13 (India),SAMSUNG,253063,18,"2022, July 14",165.4 x 76.9 x 9.3 mm (6.51 x 3.03 x 0.37 in),207 g (7.30 oz),"6.6 inches, 104.9 cm2 (~82.5% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",microSDXC (dedicated),"64GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, (wide), PDAF
5 MP, f/2.2, 123˚ (ultrawide)
2 MP, f/2.4, (depth)","8 MP, f/2.2, (wide)","5.0, A2DP, LE","Li-Po 6000 mAh, non-removable","₹ 11,999"
Samsung Galaxy A13 (SM-A137),SAMSUNG,361803,25,"2022, June",165.1 x 76.4 x 8.8 mm (6.5 x 3.01 x 0.35 in),195 g (6.88 oz),"6.6 inches, 104.9 cm2 (~83.2% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",microSDXC (dedicated slot),"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","50 MP, f/1.8, (wide), PDAF
5 MP, f/2.2, 123˚ (ultrawide), 1/5"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","8 MP, f/2.2, (wide)","5.2, A2DP, LE","Li-Po 5000 mAh, non-removable",$ 154.00 / € 169.27
