Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Sonim XP5plus,SONIM,12694,1,"2022, July 15",148.7 x 65.9 x 21 mm (5.85 x 2.59 x 0.83 in),275 g (9.70 oz),"2.8 inches, 24.3 cm2 (~24.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSDXC,16GB 2GB RAM,8 MP,,"5.0, A2DP, LE","Li-Ion 3500 mAh, removable",About 300 EUR
Sonim XP3plus,SONIM,10774,2,"2021, September",116 x 60 x 28 mm (4.57 x 2.36 x 1.10 in),220 g (7.76 oz),"2.8 inches, 24.3 cm2 (~34.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,8 MP,,"5.0, A2DP, LE","Li-Ion 2300 mAh, removable",About 240 EUR
Sonim XP3,SONIM,5921,2,"2019, March",112 x 58 x 27 mm (4.41 x 2.28 x 1.06 in),195 g (6.88 oz),"2.6 inches, 20.9 cm2 (~32.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)",microSDXC (dedicated slot),8GB 1GB RAM,5 MP,,"4.2, A2DP, LE","Li-Ion 1500 mAh, removable",About 190 EUR
Sonim XP5s,SONIM,7457,1,"2018, December 21",141 x 64 x 23 mm (5.55 x 2.52 x 0.91 in),260 g (9.17 oz),"2.64 inches, 21.5 cm2 (~23.8% screen-to-body ratio)","320 x 432 pixels, 4:3 ratio (~204 ppi density)",microSDXC,16GB 2GB RAM,5 MP,,"4.2, A2DP, EDR, LE","Li-Ion 3180 mAh, removable",About 340 EUR
Sonim XP8,SONIM,330355,26,"2018, April",152 x 79.5 x 18 mm (5.98 x 3.13 x 0.71 in),335 g (11.82 oz),"5.0 inches, 68.9 cm2 (~57.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",microSDXC,64GB 4GB RAM,"12 MP, PDAF",8 MP,"5.0, A2DP, EDR, LE","Li-Ion 4900 mAh, removable",About 700 EUR
Sonim XP7,SONIM,462523,19,"2014, November. Released 2015, April",137 x 72.1 x 20.8 mm (5.39 x 2.84 x 0.82 in),290 g (10.23 oz),"4.0 inches, 45.5 cm2 (~46.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",No,16GB 1GB RAM,"8 MP, AF",1 MP,"4.0, A2DP, LE","Li-Ion 4800 mAh, non-removable",About 700 EUR
Sonim XP6,SONIM,195733,7,"2014, November. Released 2014, December",137 x 64.5 x 20.5 mm (5.39 x 2.54 x 0.81 in),270 g (9.52 oz),"2.63 inches, 21.3 cm2 (~24.2% screen-to-body ratio)","320 x 432 pixels, 4:3 ratio (~204 ppi density)",No,8GB 1GB RAM,5 MP,No,"4.0, A2DP, LE","Li-Ion 4800 mAh, non-removable",About 490 EUR
Sonim XP3400 Armor,SONIM,249514,8,"2011, Q3. Released 2012, Q1",126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in),185 g (6.53 oz),"2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",microSDHC (dedicated slot),,2 MP,No,"2.1, A2DP, EDR",Removable Li-Ion 1750 mAh battery,
Sonim XP5300 Force 3G,SONIM,190131,9,"2011, August",126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in),185 g (6.53 oz),"2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",microSDHC (dedicated slot),,2 MP,No,"2.1, A2DP, EDR",Removable Li-Ion 1950 mAh battery,
Sonim XP3340 Sentinel,SONIM,103577,9,"2011, August",126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in),185 g (6.53 oz),"2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",microSDHC (dedicated slot),,2 MP,No,"2.1, A2DP",Removable Li-Ion 1750 mAh battery,
Sonim XP3300 Force,SONIM,272560,12,"2011, February. Released 2011, March",126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in),185 g (6.53 oz),"2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",microSDHC (dedicated slot),,2 MP,No,"2.1, A2DP",Removable Li-Ion 1750 mAh battery,About 370 EUR
Sonim XP1300 Core,SONIM,178218,8,"2010, October. Released 2010, November",126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in),185 g (6.53 oz),"2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",microSDHC (dedicated slot),,No,,"2.1, A2DP",Removable Li-Ion 1750 mAh battery,About 290 EUR
Sonim XP3 Sentinel,SONIM,141138,8,"2010, July. Released 2010, July",119 x 56 x 25 mm (4.69 x 2.20 x 0.98 in),170 g (6.00 oz),,176 x 220 pixels,microSD (dedicated slot),,2 MP,No,2.0,Removable Li-Ion 1850 mAh battery,
Sonim XP2.10 Spirit,SONIM,186797,8,"2010, February. Released 2010, March",130.7 x 59.7 x 21.7 mm (5.15 x 2.35 x 0.85 in),180 g (6.35 oz),"2.0 inches, 12.4 cm2 (~15.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",microSDHC (dedicated slot),40MB,3.15 MP,No,"1.2, A2DP",Removable Li-Ion 1300 mAh battery,
Sonim XP3.20 Quest Pro,SONIM,146524,9,"2010, January. Released 2010, Q2",119 x 56 x 25 mm (4.69 x 2.20 x 0.98 in),170 g (6.00 oz),"1.77 inches, 9.9 cm2 (~14.8% screen-to-body ratio)",176 x 220 pixels (~159 ppi density),microSD (dedicated slot),,2 MP,No,2.0,Removable Li-Ion 1850 mAh battery,
Sonim XP3.20 Quest,SONIM,210101,7,"2009, July. Released 2009, July",119 x 56 x 25 mm (4.69 x 2.20 x 0.98 in),170 g (6.00 oz),"1.77 inches, 9.9 cm2 (~14.8% screen-to-body ratio)",176 x 220 pixels (~159 ppi density),microSD (dedicated slot),,2 MP,No,2.0,Removable Li-Ion 1850 mAh battery,About 430 EUR
Sonim XP3 Enduro,SONIM,271511,9,"2008, November. Released 2008, November",118.8 x 56.3 x 24.6 mm (4.68 x 2.22 x 0.97 in),140 g (4.94 oz),"1.77 inches, 9.9 cm2 (~14.7% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),No,,No,,1.2,Removable Li-Ion 1180 mAh battery,About 380 EUR
Sonim XP1,SONIM,295912,7,"2007, December. Released 2007, December",114 x 50 x 22 mm (4.49 x 1.97 x 0.87 in),130.3 g (4.59 oz),"1.77 inches, 28 x 35 mm, 9.9 cm2 (~17.3% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),No,10MB,No,,1.2,Removable Li-Ion 1000 mAh battery,
