Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Sony Ericsson Xperia Arc S,SONY ERICSSON,16992114,379,"2011, August. Released 2011, September",125 x 63 x 8.7 mm (4.92 x 2.48 x 0.34 in),117 g (4.13 oz),"4.2 inches, 48.6 cm2 (~61.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~233 ppi density)","microSDHC (dedicated slot), 8 GB included","1GB (320MB user available), 512MB RAM","8 MP, AF",No,"2.1, A2DP, EDR",Removable Li-Po 1500 mAh battery,About 210 EUR
Sony Ericsson Xperia neo V,SONY ERICSSON,9014165,162,"2011, August. Released 2011, October",116 x 57 x 13 mm (4.57 x 2.24 x 0.51 in),126 g (4.44 oz),"3.7 inches, 37.7 cm2 (~57.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~265 ppi density)","microSDHC (dedicated slot), 2 GB included","1GB (320MB user available), 512MB RAM","5 MP, AF",VGA,"2.1, A2DP, EDR",Removable Li-Po 1500 mAh battery,About 150 EUR
Sony Ericsson Live with Walkman,SONY ERICSSON,7696657,209,"2011, August. Released 2011, October",106 x 56.5 x 14.2 mm (4.17 x 2.22 x 0.56 in),115 g (4.06 oz),"3.2 inches, 30.5 cm2 (~50.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)","microSDHC (dedicated slot), 2 GB included",320MB 512MB RAM,"5 MP, AF",VGA,"2.1, A2DP, EDR",Removable Li-Ion 1200 mAh battery,About 120 EUR
Sony Ericsson Xperia ray,SONY ERICSSON,11045158,241,"2011, June. Released 2011, August",111 x 53 x 9.4 mm (4.37 x 2.09 x 0.37 in),100 g (3.53 oz),"3.3 inches, 30.0 cm2 (~51.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~297 ppi density)","microSDHC (dedicated slot), 4 GB included","1GB (300MB user available), 512MB RAM","8 MP, AF",VGA,"2.1, A2DP, EDR",Removable Li-Ion 1500 mAh battery,About 170 EUR
Sony Ericsson Xperia active,SONY ERICSSON,3579821,89,"2011, June. Released 2011, October",92 x 55 x 16.5 mm (3.62 x 2.17 x 0.65 in),110.8 g (3.88 oz),"3.0 inches, 26.8 cm2 (~53.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~192 ppi density)","microSDHC (dedicated slot), 2 GB included","1GB (320MB user available), 512MB RAM","5 MP, AF",No,"2.1, A2DP, EDR",Removable Li-Ion 1200 mAh battery,About 170 EUR
Sony Ericsson txt,SONY ERICSSON,1504239,50,"2011, June. Released 2011, October",106 x 60 x 14.5 mm (4.17 x 2.36 x 0.57 in),95 g (3.35 oz),"2.55 inches, 20.1 cm2 (~31.7% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~157 ppi density)",microSDHC (dedicated slot),"120MB (100MB user available), 64MB RAM",3.15 MP,No,"2.1, A2DP, EDR",Removable Li-Ion 1000 mAh battery,About 60 EUR
Sony Ericsson Mix Walkman,SONY ERICSSON,3427934,56,"2011, June. Released 2011, August",95.8 x 52.8 x 14.3 mm (3.77 x 2.08 x 0.56 in),88 g (3.10 oz),"3.0 inches, 25.6 cm2 (~50.6% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",microSDHC (dedicated slot),256MB (100MB user available),3.15 MP,No,"2.1, A2DP",Removable Li-Ion 1000 mAh battery,About 70 EUR
Sony Ericsson txt pro,SONY ERICSSON,2674240,50,"2011, June. Released 2011, July",93 x 52 x 18 mm (3.66 x 2.05 x 0.71 in),100 g (3.53 oz),"3.0 inches, 25.6 cm2 (~53.0% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",microSDHC (dedicated slot),100MB 64MB RAM,3.15 MP,No,"2.1, A2DP",Removable Li-Ion 1000 mAh battery,About 80 EUR
Sony Ericsson Xperia mini,SONY ERICSSON,7621005,141,"2011, May. Released 2011, August",88 x 52 x 16 mm (3.46 x 2.05 x 0.63 in),99 g (3.49 oz),"3.0 inches, 26.8 cm2 (~58.6% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~192 ppi density)","microSDHC (dedicated slot), 2 GB included","512MB RAM, 320MB","5 MP, AF",No,"2.1, A2DP",Removable Li-Ion 1200 mAh battery,About 120 EUR
Sony Ericsson Xperia mini pro,SONY ERICSSON,6226423,152,"2011, May. Released 2011, August",92 x 53 x 18 mm (3.62 x 2.09 x 0.71 in),136 g (4.80 oz),"3.0 inches, 26.8 cm2 (~55.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~192 ppi density)","microSDHC (dedicated slot), 2 GB included","512MB RAM, 400MB","5 MP, AF",VGA,"2.1, A2DP",Removable Li-Ion 1200 mAh battery,About 140 EUR
