Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Sony Xperia 5 IV,SONY,866698,293,"2022, September 01",156 x 67 x 8.2 mm (6.14 x 2.64 x 0.32 in),172 g (6.07 oz),"6.1 inches, 86.9 cm2 (~83.2% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~449 ppi density)",microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","12 MP, f/1.7, 24mm (wide), 1/1.7"", 1.8µm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 60mm (telephoto), 1/3.5"", Dual Pixel PDAF, OIS
12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.5"", Dual Pixel PDAF","12 MP, f/2.0, 24mm (wide), 1/2.9"", 1.25µm","5.2, A2DP, aptX HD, LE","Li-Po 5000 mAh, non-removable",$ 798.00 / £ 799.00
Sony Xperia 1 IV,SONY,1517206,484,"2022, May 11",165 x 71 x 8.2 mm (6.50 x 2.80 x 0.32 in),185 g (6.53 oz),"6.5 inches, 98.6 cm2 (~84.2% screen-to-body ratio)","1644 x 3840 pixels, 21:9 ratio (~643 ppi density)",microSDXC (uses shared SIM slot),"256GB 12GB RAM, 512GB 12GB RAM","12 MP, f/1.7, 24mm (wide), 1/1.7"", 1.8µm, Dual Pixel PDAF, OIS
12 MP, f/2.3, 85mm (telephoto), f/2.8, 125mm (telephoto), 1/3.5"", Dual Pixel PDAF, 3.5x-5.2x continuous optical zoom, OIS
12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.5"", Dual Pixel PDAF
0.3 MP, TOF 3D, (depth)","12 MP, f/2.0, 24mm (wide), 1/2.9"", 1.25µm","5.2, A2DP, LE Audio, aptX HD, aptX Adaptive","Li-Po 5000 mAh, non-removable",$ 839.99 / € 952.76 / £ 850.17
Sony Xperia 10 IV,SONY,854781,204,"2022, May 11",153 x 67 x 8.3 mm (6.02 x 2.64 x 0.33 in),161 g (5.68 oz),"6.0 inches, 84.1 cm2 (~82.0% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~457 ppi density)",microSDXC (uses shared SIM slot),128GB 6GB RAM,"12 MP, f/1.8, 27mm (wide), 1/2.8"", PDAF, OIS
8 MP, f/2.2, 54mm (telephoto), 1/4.4"", PDAF, 2x optical zoom
8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0""","8 MP, f/2.0, 27mm (wide), 1/4.0""","5.1, A2DP, LE, aptX HD, aptX Adaptive","Li-Po 5000 mAh, non-removable",$ 352.81 / € 369.94 / £ 317.63
Sony Xperia Pro-I,SONY,1815491,478,"2021, October 26",166 x 72 x 8.9 mm (6.54 x 2.83 x 0.35 in),211 g (7.44 oz),"6.5 inches, 98.6 cm2 (~82.5% screen-to-body ratio)","1644 x 3840 pixels, 21:9 ratio (~643 ppi density)",microSDXC (uses shared SIM slot),512GB 12GB RAM,"12 MP, f/2.0-4.0, 24mm (wide), 1.0""-type, 2.4µm, PDAF, OIS (315 PDAF points, 90% frame coverage)
12 MP, f/2.4, 50mm (telephoto), 1/2.9"", PDAF, 2x optical zoom, OIS
12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.55"", Dual Pixel PDAF
0.3 MP, TOF 3D, (depth)","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm","5.2, A2DP, aptX HD, LE","Li-Po 4500 mAh, non-removable","$ 989.00 / € 1,242.73 / £ 1,099.00"
Sony Xperia 10 III Lite,SONY,696599,117,"2021, August 20",154 x 68 x 8.3 mm (6.06 x 2.68 x 0.33 in),169 g (5.96 oz),"6.0 inches, 84.1 cm2 (~80.3% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~457 ppi density)",microSDXC (uses shared SIM slot),64GB 6GB RAM,"12 MP, f/1.8, 27mm (wide), 1/2.8"", PDAF
8 MP, f/2.4, 54mm (telephoto), 1/4.0"", PDAF, 2x optical zoom
8 MP, f/2.2, 16mm, 120˚ (ultrawide), 1/4.0""","8 MP, f/2.0, 24mm (wide), 1/4.0""","5.1, A2DP, LE, aptX HD","Li-Po 4500 mAh, non-removable",About 370 EUR
Sony Xperia 1 III,SONY,3173830,935,"2021, April 14",165 x 71 x 8.2 mm (6.50 x 2.80 x 0.32 in),186 g / 187.1 g (mmWave) (6.56 oz),"6.5 inches, 98.6 cm2 (~84.2% screen-to-body ratio)","1644 x 3840 pixels, 21:9 ratio (~643 ppi density)",microSDXC (uses shared SIM slot),"256GB 12GB RAM, 512GB 12GB RAM","12 MP, f/1.7, 24mm (wide), 1/1.7"", 1.8µm, Dual Pixel PDAF, OIS
12 MP, f/2.3, 70mm (telephoto), f/2.8, 105mm (telephoto), 1/2.9"", Dual Pixel PDAF, 3x/4.4x optical zoom, OIS
12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.6"", Dual Pixel PDAF
0.3 MP, TOF 3D, (depth)","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm","5.2, A2DP, LE, aptX HD","Li-Po 4500 mAh, non-removable",$ 641.55 / € 743.83 / £ 659.34
Sony Xperia 5 III,SONY,1904411,541,"2021, April 14",157 x 68 x 8.2 mm (6.18 x 2.68 x 0.32 in),168 g (5.93 oz),"6.1 inches, 86.9 cm2 (~81.4% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~449 ppi density)",microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","12 MP, f/1.7, 24mm (wide), 1/1.7"", 1.8µm, Dual Pixel PDAF, OIS
12 MP, f/2.3, 70mm (telephoto), f/2.8, 105mm (telephoto), 1/2.9"", Dual Pixel PDAF, 3x/4.4x optical zoom, OIS
12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.6"", Dual Pixel PDAF","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm","5.2, A2DP, aptX HD, LE","Li-Po 4500 mAh, non-removable",$ 573.30 / € 649.00 / £ 599.00
Sony Xperia 10 III,SONY,1547811,338,"2021, April 14",154 x 68 x 8.3 mm (6.06 x 2.68 x 0.33 in),169 g (5.96 oz),"6.0 inches, 84.1 cm2 (~80.3% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~457 ppi density)",microSDXC (uses shared SIM slot),"128GB 6GB RAM, 256GB 6GB RAM","12 MP, f/1.8, 27mm (wide), 1/2.8"", PDAF
8 MP, f/2.4, 54mm (telephoto), 1/4.0"", PDAF, 2x optical zoom
8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0""","8 MP, f/2.0, 27mm (wide), 1/4.0""","5.1, A2DP, LE, aptX HD","Li-Po 4500 mAh, non-removable",$ 746.00 / € 449.99 / £ 454.50
Sony Xperia Pro,SONY,1377709,314,"2020, February 24",170.2 x 76.2 x 10.2 mm (6.70 x 3.00 x 0.40 in),225.1 g (7.94 oz),"6.5 inches, 98.6 cm2 (~76.0% screen-to-body ratio)","1644 x 3840 pixels, 21:9 ratio (~643 ppi density)",microSDXC (uses shared SIM slot),512GB 12GB RAM,"12 MP, f/1.7, 24mm (wide), 1/1.7"", 1.8µm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 70mm (telephoto), 1/3.4"", 1.0µm, PDAF, 3x optical zoom, OIS
12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.55"", Dual Pixel PDAF
0.3 MP, TOF 3D, (depth)","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm","5.1, A2DP, aptX HD, LE","Li-Po 4000 mAh, non-removable","$ 1,998.00"
Sony Xperia 5 II,SONY,2488549,689,"2020, September 17",158 x 68 x 8 mm (6.22 x 2.68 x 0.31 in),163 g (5.75 oz),"6.1 inches, 86.9 cm2 (~80.9% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~449 ppi density)",microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","12 MP, f/1.7, 24mm (wide), 1/1.7"", 1.8µm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 70mm (telephoto), 1/3.4"", 1.0µm, PDAF, 3x optical zoom, OIS
12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.55"", Dual Pixel PDAF","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm","5.1, A2DP, aptX HD, LE","Li-Ion 4000 mAh, non-removable",$ 375.29 / € 699.90 / £ 429.00
