Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Spice Fire One (Mi-FX-1),SPICE,102622,10,"2014, August. Released 2014, August",115.6 x 62 x 11.2 mm (4.55 x 2.44 x 0.44 in),65 g (2.29 oz),"3.5 inches, 36.5 cm2 (~50.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC (dedicated slot),256MB 128MB RAM,1.3 MP,VGA,"2.1, A2DP",Li-Ion 1400 mAh battery,
Spice N-300,SPICE,104780,2,"2014, August. Released 2014, August",150.4 x 74.8 x 9.8 mm (5.92 x 2.94 x 0.39 in),180 g (6.35 oz),"5.0 inches, 68.9 cm2 (~61.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,4GB 512MB RAM,"8 MP, AF",2 MP,"4.0, A2DP",Li-Ion 2000 mAh battery,
Spice Smart Flo 508 (Mi-508),SPICE,142772,2,"2014, August. Released 2014, August",150.4 x 74.8 x 9.8 mm (5.92 x 2.94 x 0.39 in),180 g (6.35 oz),"5.0 inches, 68.9 cm2 (~61.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,4GB 512MB RAM,"8 MP, AF",2 MP,"4.0, A2DP",Li-Ion 2000 mAh battery,
Spice Smart Flo 503 (Mi-503),SPICE,90251,1,"2014, August. Released 2014, August",150.4 x 74.8 x 9.8 mm (5.92 x 2.94 x 0.39 in),180 g (6.35 oz),"5.0 inches, 68.9 cm2 (~61.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,4GB 512MB RAM,"8 MP, AF",2 MP,"4.0, A2DP, EDR",Li-Ion 2000 mAh battery,
Spice Smart Flo 359 (Mi-359),SPICE,143486,0,"2014, August. Released 2014, August",117.5 x 62.9 x 12 mm (4.63 x 2.48 x 0.47 in),130 g (4.59 oz),"3.5 inches, 36.5 cm2 (~49.4% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC,512MB 256MB RAM,2 MP,1.3 MP,"3.0, A2DP, EDR",Li-Ion 1400 mAh battery,
Spice Smart Flo 358 (Mi-358),SPICE,65835,0,"2014, October. Released 2014, October",118 x 60.4 x 10.8 mm (4.65 x 2.38 x 0.43 in),130 g (4.59 oz),"3.5 inches, 36.5 cm2 (~51.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC,512MB 256MB RAM,2 MP,1.3 MP,"3.0, A2DP, EDR",Li-Ion 1450 mAh battery,
Spice Stellar 439 (Mi-439),SPICE,118225,1,"2014, August. Released 2014, August",125 x 63 x 10 mm (4.92 x 2.48 x 0.39 in),113.8 g (4.02 oz),"4.0 inches, 45.5 cm2 (~57.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,4GB 512MB RAM,3.15 MP,1.3 MP,"3.0, A2DP",Li-Ion 1400 mAh battery,
Spice Stellar 361 (Mi-361),SPICE,72681,2,"2014, July. Released 2014, July",115.3 x 60.6 x 11.9 mm (4.54 x 2.39 x 0.47 in),102 g (3.60 oz),"3.5 inches, 36.5 cm2 (~52.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC,512MB 256MB RAM,2 MP,1.3 MP,"2.0, A2DP",Li-Ion 1400 mAh battery,
Spice Stellar 507 (Mi-507),SPICE,85754,1,"2014, August. Released 2014, August",145.2 x 72.7 x 10.7 mm (5.72 x 2.86 x 0.42 in),184 g (6.49 oz),"5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,4GB 512MB RAM,"8 MP, AF",1.3 MP,"4.0, A2DP, EDR",Li-Ion 1800 mAh battery,
Spice Stellar 509 (Mi-509),SPICE,125666,0,"2014, May. Released 2014, May",145 x 79 x 9.5 mm (5.71 x 3.11 x 0.37 in),120 g (4.23 oz),"5.0 inches, 68.9 cm2 (~60.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC (dedicated slot),4GB 1GB RAM,"8 MP, AF",2 MP,"3.0, A2DP",Li-Ion 2000 mAh battery,
Spice Stellar 600 (Mi-600),SPICE,132596,3,"2014, July. Released 2014, July",,189 g (6.67 oz),"6.0 inches, 99.2 cm2","540 x 960 pixels, 16:9 ratio (~184 ppi density)",microSDHC,4GB 1GB RAM,"8 MP, AF",3.15 MP,"3.0, A2DP",Li-Po 2500 mAh battery,
Spice Stellar 526 (Mi-526),SPICE,120142,1,"2014, July. Released 2014, July",143.6 x 71.7 x 8.3 mm (5.65 x 2.82 x 0.33 in),210 g (7.41 oz),"5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",3.15 MP,"4.0, A2DP, EDR",Li-Po 2500 mAh battery,
Spice Stellar 520 (Mi-520),SPICE,110684,0,"2014, July. Released 2014, July",145 x 72.8 x 8.5 mm (5.71 x 2.87 x 0.33 in),156 g (5.50 oz),"5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC (dedicated slot),4GB 1GB RAM,"8 MP, AF",2 MP,"3.0, A2DP, EDR",Li-Ion 2000 mAh battery,
Spice Stellar 520n (Mi-520n),SPICE,108097,4,"2014, December. Released 2014, December",145 x 72.8 x 8.5 mm (5.71 x 2.87 x 0.33 in),156 g (5.50 oz),"5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC (dedicated slot),8GB 1GB RAM,"8 MP, AF",2 MP,"3.0, A2DP, EDR",Li-Ion 2000 mAh battery,
Spice Stellar 440 (Mi-440),SPICE,81997,0,"2014, December. Released 2014, December",127.6 x 63.8 x 11.5 mm (5.02 x 2.51 x 0.45 in),119 g (4.20 oz),"4.0 inches, 45.5 cm2 (~55.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC (dedicated slot),4GB 512MB RAM,3.15 MP,1.3 MP,"2.0, A2DP",Li-Ion 1400 mAh battery,
Spice Stellar 470 (Mi-470),SPICE,72709,0,"2014, October. Released 2014, October",137.8 x 68.6 x 7.9 mm (5.43 x 2.70 x 0.31 in),140 g (4.94 oz),"4.7 inches, 60.9 cm2 (~64.4% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~234 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",3.2 MP,"4.0, A2DP, EDR",Li-Ion 1500 mAh battery,
Spice Mi-449 3G,SPICE,143962,2,2014. Released 2014,134.5 x 69.5 x 8.7 mm (5.30 x 2.74 x 0.34 in),156 g (5.50 oz),", -","480 x 854 pixels, 16:9 ratio",microSDHC,,3.15 MP,1.3 MP,2.0,Li-Ion 1450 mAh battery,
Spice Mi-451 3G,SPICE,99510,0,2014. Released 2014,134.5 x 69.5 x 8.7 mm (5.30 x 2.74 x 0.34 in),156 g (5.50 oz),", -","480 x 854 pixels, 16:9 ratio",microSDHC,,3.15 MP,1.3 MP,2.0,Li-Ion 1450 mAh battery,
Spice Mi-498 Dream Uno,SPICE,673611,30,"2014, September. Released 2014, September",132 x 67 x 9.2 mm (5.20 x 2.64 x 0.36 in),107 g (3.77 oz),"4.5 inches, 55.8 cm2 (~63.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",microSDHC,4GB 1GB RAM,"5 MP, AF",2 MP,2.1,"Li-Ion 1700 mAh, removable",About 90 EUR
Spice Mi-506 Stellar Mettle Icon,SPICE,1168051,7,"2014, March. Released 2014, March",145 x 72.9 x 9.6 mm (5.71 x 2.87 x 0.38 in),177 g (6.24 oz),"5.0 inches, 68.9 cm2 (~65.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,,8 MP,1.3 MP,"4.0, A2DP","Li-Ion 1800 mAh, removable",About 80 EUR
Spice Mi-356 Smart Flo Mettle 3.5X,SPICE,127305,0,"2014, January. Released 2014, January",119.9 x 63 x 11.5 mm (4.72 x 2.48 x 0.45 in),112 g (3.95 oz),"3.5 inches, 36.5 cm2 (~48.3% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC,,2 MP,1.3 MP,2.0,Li-Ion 1500 mAh battery,About 40 EUR
Spice Mi-426 Smart Flo Mettle 4.0X,SPICE,121807,0,"2014, January. Released 2014, January",119.9 x 58 x 10.8 mm (4.72 x 2.28 x 0.43 in),122 g (4.30 oz),"4.0 inches, 45.5 cm2 (~65.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,,2 MP,1.3 MP,2.0,Li-Ion 1400 mAh battery,About 50 EUR
Spice Mi-438 Stellar Glide,SPICE,129812,1,"2014, April. Released 2014, June",145 x 79 x 9.5 mm (5.71 x 3.11 x 0.37 in),155 g (5.47 oz),"4.0 inches, 45.5 cm2 (~39.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,,2 MP,1.3 MP,"4.0, A2DP",Li-Ion 1350 mAh battery,About 60 EUR
Spice Mi-504 Smart Flo Mettle 5X,SPICE,251535,0,"2014, February. Released 2014, February",148.5 x 78.9 x 10.4 mm (5.85 x 3.11 x 0.41 in),190 g (6.70 oz),"5.0 inches, 68.9 cm2 (~58.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,,8 MP,1.3 MP,2.0,"Li-Ion 1800 mAh, removable",About 80 EUR
Spice Mi-451 Smartflo Poise,SPICE,199436,2,"2014, February. Released 2014, June",134.5 x 69.5 x 8.7 mm (5.30 x 2.74 x 0.34 in),156 g (5.50 oz),"4.5 inches, 55.8 cm2 (~59.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",microSDHC,,3.15 MP,1.3 MP,"4.0, A2DP","Li-Ion 1450 mAh, removable",About 60 EUR
Spice Mi-496 Spice Coolpad 2,SPICE,378907,7,"2013, November. Released 2013, November",-,-,"4.5 inches, 55.8 cm2","540 x 960 pixels, 16:9 ratio (~245 ppi density)",microSDHC (dedicated slot),4GB 1GB RAM,"5 MP, AF",No,Yes,Li-Ion 1700 mAh battery,About 110 EUR
