Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
T-Mobile REVVL 6 Pro,T-MOBILE,18917,6,"2022, July 28",173.9 x 77.8 x 9 mm (6.85 x 3.06 x 0.35 in),214 g (7.55 oz),"6.82 inches, 110.5 cm2 (~81.6% screen-to-body ratio)",720 x 1640 pixels (~263 ppi density),microSDXC,128GB 6GB RAM,"50 MP, (wide), PDAF
5 MP, (ultrawide)
2 MP, (depth)
2 MP, (macro)",16 MP,"5.1, A2DP, LE","Li-Ion 5000 mAh, non-removable",About 220 EUR
T-Mobile REVVL 6,T-MOBILE,9357,2,"2022, July 28",166.6 x 76.4 x 8.8 mm (6.56 x 3.01 x 0.35 in),194 g (6.84 oz),"6.52 inches, 102.6 cm2 (~80.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC,64GB 4GB RAM,"13 MP, (wide), AF
2 MP, (depth)
2 MP, (macro)",5 MP,"5.1, A2DP, LE","Li-Ion 4500 mAh, non-removable",About 170 EUR
T-Mobile REVVL V+ 5G,T-MOBILE,181406,31,"2021, July 01",173.7 x 77.5 x 7.1 mm (6.84 x 3.05 x 0.28 in),-,"6.82 inches, 112.3 cm2 (~83.4% screen-to-body ratio)","720 x 1640 pixels, 20:9 ratio (~257 ppi density)",Unspecified,64GB 4GB RAM,"16 MP, (wide), AF
5 MP, (ultrawide)
2 MP",16 MP,Yes,"Li-Po 5000 mAh, non-removable",About 170 EUR
T-Mobile REVVL 5G,T-MOBILE,154031,19,"2020, August 27",165.4 x 76.2 x 9.4 mm (6.51 x 3.00 x 0.37 in),215 g (7.58 oz),"6.53 inches, 104.7 cm2 (~83.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",microSDXC,128GB 6GB RAM,"48 MP, (wide), 1/2.0"", 0.8µm, PDAF
8 MP, (ultrawide)
5 MP, (macro)",16 MP,"5.0, A2DP, LE","Li-Ion 4500 mAh, non-removable",About 340 EUR
T-Mobile REVVL 4+,T-MOBILE,86200,7,"2020, August 27",165.4 x 75.2 x 8.1 mm (6.51 x 2.96 x 0.32 in),180 g (6.35 oz),"6.52 inches, 109.7 cm2 (~88.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~247 ppi density)",microSDXC,64GB 4GB RAM,"16 MP, PDAF
5 MP",16 MP,"5.0, A2DP, LE","Li-Ion 4000 mAh, non-removable",About 160 EUR
T-Mobile REVVL 4,T-MOBILE,84101,3,"2020, August 27",159 x 76 x 8.1 mm (6.26 x 2.99 x 0.32 in),158.5 (5.61 oz),"6.22 inches, 96.6 cm2 (~79.9% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",microSDXC,32GB 2GB RAM,"13 MP, PDAF",5 MP,"5.0, A2DP, LE","Li-Ion 3500 mAh, non-removable",About 100 EUR
T-Mobile Revvlry+,T-MOBILE,125335,15,"2019, July",158.5 x 75.2 x 8.6 mm (6.24 x 2.96 x 0.34 in),-,"6.24 inches, 97.5 cm2 (~81.8% screen-to-body ratio)","1080 x 2270 pixels, 19:9 ratio (~403 ppi density)",microSDXC (dedicated slot),64GB 4GB RAM,"16 MP, f/1.7, 1.22µm, PDAF, OIS
5 MP, f/2.4, (depth)","12 MP, (wide), 1/2.8"", 1.25µm","5.0, A2DP, LE","Li-Ion 3000 mAh, non-removable",About 310 EUR
T-Mobile Revvlry,T-MOBILE,89016,5,"2019, July",148.6 x 71.4 x 8.1 mm (5.85 x 2.81 x 0.32 in),-,"5.7 inches, 81.1 cm2 (~76.4% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF","8 MP, f/2.2, 1/4"", 1.12µm","4.2, A2DP, LE","Li-Ion 3000 mAh, non-removable",About 180 EUR
T-Mobile Revvl,T-MOBILE,192735,7,"2017, August. Released 2017, August",151.9 x 77 x 8.4 mm (5.98 x 3.03 x 0.33 in),157.9 g (5.64 oz),"5.5 inches, 83.4 cm2 (~71.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDXC (dedicated slot),32GB 2GB RAM,"13 MP, AF",5 MP,"4.2, A2DP","Li-Ion 3000 mAh, non-removable",About 110 EUR
T-Mobile Prism II,T-MOBILE,257697,8,"2013, June. Released 2013, June",117 x 62 x 12.4 mm (4.61 x 2.44 x 0.49 in),100 g (3.53 oz),"3.5 inches, 36.5 cm2 (~50.3% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC (dedicated slot),4GB 512MB RAM,3.15 MP,No,"4.0, A2DP","Li-Ion 1750 mAh, removable",About 90 EUR
T-Mobile Concord,T-MOBILE,254631,9,"2012, August. Released 2012, August",117 x 62 x 11.4 mm (4.61 x 2.44 x 0.45 in),100 g (3.53 oz),"3.5 inches, 36.5 cm2 (~50.3% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)","microSDHC (dedicated slot), 2 GB included",512MB 512MB RAM,2 MP,No,"3.0, A2DP",Removable Li-Ion 1500 mAh battery,About 80 EUR
T-Mobile myTouch Q 2,T-MOBILE,180384,10,"2012, August. Released 2012, August",124.8 x 63.9 x 14.3 mm (4.91 x 2.52 x 0.56 in),185 g (6.53 oz),"4.0 inches, 45.5 cm2 (~57.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC (dedicated slot),4GB 1GB RAM,"5 MP, AF",VGA,Yes,Removable Li-Ion 1500 mAh battery,About 290 EUR
T-Mobile myTouch 2,T-MOBILE,172956,9,"2012, August. Released 2012, August",114 x 62 x 10 mm (4.49 x 2.44 x 0.39 in),140 g (4.94 oz),"4.0 inches, 45.5 cm2 (~64.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC (dedicated slot),4GB 1GB RAM,"5 MP, AF",VGA,Yes,Removable Li-Ion 1500 mAh battery,About 290 EUR
T-Mobile Prism,T-MOBILE,302053,9,"2012, May. Released 2012, May",116.3 x 60.2 x 12.2 mm (4.58 x 2.37 x 0.48 in),125 g (4.41 oz),"3.5 inches, 36.5 cm2 (~52.1% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC (dedicated slot),512MB,3.15 MP,No,"2.1, A2DP, EDR",Removable Li-Ion 1400 mAh battery,About 170 EUR
T-Mobile Move Balance,T-MOBILE,361764,17,"2011, December. Released 2011, December",118.5 x 59.5 x 10.5 mm (4.67 x 2.34 x 0.41 in),142 g (5.01 oz),"3.7 inches, 39.0 cm2 (~55.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~252 ppi density)","microSDHC (dedicated slot), 4 GB included",4GB 512MB RAM,"5 MP, AF",No,"2.1, A2DP",Removable Li-Ion 2000 mAh battery,About 100 EUR
T-Mobile Arizona,T-MOBILE,140777,11,"2011, Q4. Released 2011, December",104 x 55 x 12.9 mm (4.09 x 2.17 x 0.51 in),100 g (3.53 oz),"2.8 inches, 24.3 cm2 (~42.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","microSDHC (dedicated slot), 2 GB included",100MB,2 MP,No,"2.1, A2DP, EDR",Removable Li-Ion 1100 mAh battery,
T-Mobile Vivacity,T-MOBILE,240329,8,"2011, November. Released 2011, November",115 x 58 x 10.5 mm (4.53 x 2.28 x 0.41 in),118 g (4.16 oz),"3.5 inches, 34.9 cm2 (~52.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~267 ppi density)","microSDHC (dedicated slot), 2 GB included",512MB,5 MP,Yes,Yes,Removable Li-Ion 1500 mAh battery,About 170 EUR
T-Mobile myTouch 4G Slide,T-MOBILE,507327,17,"2011, June. Released 2011, July",122 x 66 x 14 mm (4.80 x 2.60 x 0.55 in),184 g (6.49 oz),"3.7 inches, 39.0 cm2 (~48.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~252 ppi density)","microSDHC (dedicated slot), 8 GB included",4GB 768MB RAM,"8 MP, AF",Yes,"3.0, A2DP, EDR",Removable Li-Ion 1520 mAh battery,About 350 EUR
T-Mobile Energy,T-MOBILE,229444,8,2011. Released 2011,116.5 x 60 x 12 mm (4.59 x 2.36 x 0.47 in),121 g (4.27 oz),"3.5 inches, 36.5 cm2 (~52.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)","microSD (dedicated slot), 2 GB included",,3.15 MP,No,Yes,Removable Li-Ion battery,
T-Mobile myTouch Q,T-MOBILE,272589,9,"2011, October. Released 2011, November",121 x 64 x 13 mm (4.76 x 2.52 x 0.51 in),160 g (5.64 oz),"3.5 inches, 36.5 cm2 (~47.1% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)","microSDHC (dedicated slot), 2 GB included",2GB 512MB RAM,"5 MP, AF",No,"3.0, A2DP, EDR",Removable Li-Ion 1500 mAh battery,About 190 EUR
T-Mobile myTouch,T-MOBILE,289173,12,"2011, October. Released 2011, November",122 x 64 x 10 mm (4.80 x 2.52 x 0.39 in),108 g (5.64 oz),"3.8 inches, 41.1 cm2 (~52.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~246 ppi density)","microSDHC (dedicated slot), 2 GB included",2GB 512MB RAM,"5 MP, AF",Yes,"3.0, A2DP, EDR",Removable Li-Ion 1500 mAh battery,About 190 EUR
T-Mobile Move,T-MOBILE,231183,10,"2011, June. Released 2011, Q2",110 x 57.4 x 12.5 mm (4.33 x 2.26 x 0.49 in),120 g (4.23 oz),"2.8 inches, 24.3 cm2 (~38.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSDHC (dedicated slot),150MB 512MB RAM,2 MP,No,"3.0, A2DP",Removable Li-Ion 1300 mAh battery,
T-Mobile G2x,T-MOBILE,978989,19,"2011, March. Released 2011, April",124.5 x 63.5 x 10.2 mm (4.90 x 2.5 x 0.40 in),141.8 g (4.97 oz),"4.0 inches, 45.5 cm2 (~57.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC (dedicated slot),8GB 512MB RAM,"8 MP, AF",1.3 MP,"2.1, A2DP",Removable Li-Ion 1500 mAh battery,About 350 EUR
T-Mobile Sidekick 4G,T-MOBILE,689186,29,"2011, March. Released 2011, April 20",127 x 61 x 15 mm (5.0 x 2.40 x 0.59 in),162 g (5.71 oz),"3.5 inches, 34.9 cm2 (~45.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~267 ppi density)","microSDHC (dedicated slot), 2 GB included",1GB 512MB RAM,"3.15 MP, AF",VGA,"3.0, A2DP",Removable Li-Ion 1500 mAh battery,About 310 EUR
T-Mobile Vairy Text II,T-MOBILE,120562,10,2011,118.5 x 59 x 12.2 mm (4.67 x 2.32 x 0.48 in),105 g (3.70 oz),"2.4 inches, 17.8 cm2 (~25.5% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",microSDHC (dedicated slot),70MB,2 MP,No,"2.0, A2DP",Removable Li-Ion 850 mAh battery,
T-Mobile Vibe E200,T-MOBILE,165633,8,"2010, November. Released 2010, November",109 x 53 x 15 mm (4.29 x 2.09 x 0.59 in),95 g (3.35 oz),"2.8 inches, 22.3 cm2 (~38.6% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~167 ppi density)","microSD (dedicated slot), 2 GB included",,2 MP,No,"2.0, A2DP",Removable Li-Ion battery,About 50 EUR
T-Mobile Comet,T-MOBILE,288872,8,"2010, November. Released 2010, November",104.1 x 55.9 x 12.7 mm (4.10 x 2.20 x 0.5 in),102.1 g (3.60 oz),"2.8 inches, 24.3 cm2 (~41.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","microSDHC (dedicated slot), 2 GB included",,3.15 MP,No,"2.0, A2DP",Removable Li-Ion 1200 mAh battery,About 150 EUR
T-Mobile myTouch 4G,T-MOBILE,1409938,16,"2010, October. Released 2010, November",121.9 x 61 x 10.2 mm (4.80 x 2.40 x 0.40 in),153.1 g (5.40 oz),"3.8 inches, 41.1 cm2 (~55.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~246 ppi density)","microSDHC (dedicated slot), 8 GB included",4GB 768MB RAM,"5 MP, AF",VGA videocall camera,"2.1, A2DP",Removable Li-Ion 1400 mAh battery,About 280 EUR
T-Mobile G2,T-MOBILE,857821,21,"2010, September. Released 2010, October",119.4 x 61 x 15.2 mm (4.70 x 2.40 x 0.60 in),184.3 g (6.49 oz),"3.7 inches, 39.0 cm2 (~53.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~252 ppi density)","microSDHC (dedicated slot), 8 GB included",4GB 512MB RAM,"5 MP, AF",No,"2.1, A2DP",Removable Li-Ion 1300 mAh battery,About 420 EUR
T-Mobile myTouch 3G Slide,T-MOBILE,517186,11,"2010, April. Released 2010, June",114 x 58 x 15 mm (4.49 x 2.28 x 0.59 in),167 (5.89 oz),"3.4 inches, 34.4 cm2 (~52.1% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~170 ppi density)","microSDHC (dedicated slot), 8 GB included","512MB RAM, 512MB","5 MP, AF",No,"2.1, A2DP, EDR",Removable Li-Ion 1300 mAh battery,About 330 EUR
T-Mobile Garminfone,T-MOBILE,243453,8,"2010, February. Released 2010, June",116 x 62.2 x 12 mm (4.57 x 2.45 x 0.47 in),136 g (4.80 oz),"3.5 inches, 36.5 cm2 (~50.6% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC (dedicated slot),4GB 256MB RAM,"3.15 MP, AF",No,"2.0, A2DP, EDR",Removable Li-Ion 1150 mAh battery,About 340 EUR
T-Mobile Pulse Mini,T-MOBILE,248756,9,"2010, February. Released 2010, May",106 x 57 x 14 mm (4.17 x 2.24 x 0.55 in),110 g (3.88 oz),"2.8 inches, 24.3 cm2 (~40.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSDHC (dedicated slot),300MB,3.15 MP,No,"2.0, A2DP",Removable Li-Ion 1150 mAh battery,
T-Mobile myTouch 3G Fender Edition,T-MOBILE,223892,9,"2009, October. Released 2010, January",113 x 56 x 14.7 mm (4.45 x 2.20 x 0.58 in),116 g (4.09 oz),"3.2 inches, 30.5 cm2 (~48.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)","microSDHC (dedicated slot), 16 GB included","192MB RAM, 512MB","3.15 MP, AF",No,"2.0, A2DP (headset support only)",Removable Li-Ion 1340 mAh battery,About 300 EUR
T-Mobile HD2,T-MOBILE,536202,14,"2010, January. Released 2010, March",122 x 67 x 11 mm (4.80 x 2.64 x 0.43 in),157 g (5.54 oz),"4.3 inches, 52.6 cm2 (~64.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~217 ppi density)","microSDHC (dedicated slot), 16 GB included","576MB RAM, 1GB ROM","5 MP, AF",No,"2.1, A2DP",Removable Li-Ion 1230 mAh battery,About 230 EUR
T-Mobile Tap,T-MOBILE,216042,8,"2009, October. Released 2009, November",106.7 x 55.9 x 12.7 mm (4.20 x 2.20 x 0.5 in),104.9 g (3.67 oz),"2.8 inches, 24.3 cm2 (~40.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSD (dedicated slot),,2 MP,No,"2.0, A2DP",Removable Li-Ion 1150 mAh battery,About 80 EUR
T-Mobile Pulse,T-MOBILE,385855,11,"2009, August. Released 2009, October",116 x 63 x 13.5 mm (4.57 x 2.48 x 0.53 in),130 g (4.59 oz),"3.5 inches, 36.5 cm2 (~49.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC (dedicated slot),192MB,"3.15 MP, AF",VGA,"2.0, A2DP",Removable Li-Ion 1500 mAh battery,About 250 EUR
T-Mobile Vairy Text,T-MOBILE,157436,8,"2009, September. Released 2009, October",111 x 58 x 13.9 mm (4.37 x 2.28 x 0.55 in),103 g (3.63 oz),"2.4 inches, 17.8 cm2 (~27.7% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)","microSDHC (dedicated slot), 2 GB included",20MB,2 MP,No,"2.0, A2DP",Removable Li-Ion 850 mAh battery,
T-Mobile Vairy Touch II,T-MOBILE,317786,6,"2010, Feburary. Released 2010, February",102 x 50 x 12.5 mm (4.02 x 1.97 x 0.49 in),83 g (2.93 oz),"2.8 inches, 22.3 cm2 (~43.8% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~167 ppi density)",microSDHC (dedicated slot),,2 MP,No,"2.0, A2DP",Removable Li-Ion 800 mAh battery,About 70 EUR
T-Mobile G2 Touch,T-MOBILE,467962,13,"2009, July. Released 2009, July",112 x 56.2 x 14.4 mm (4.41 x 2.21 x 0.57 in),135 g (4.76 oz),"3.2 inches, 30.5 cm2 (~48.4% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)",microSD (dedicated slot),"288MB RAM, 512MB","5 MP, AF",No,"2.0, A2DP",Removable Li-Ion 1350 mAh battery,About 260 EUR
T-Mobile Dash 3G,T-MOBILE,219527,12,"2009, March. Released 2009, June",116.5 x 61.5 x 12 mm (4.59 x 2.42 x 0.47 in),120 g (4.23 oz),"2.4 inches, 17.8 cm2 (~24.9% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",microSDHC (dedicated slot),"192MB RAM, 256MB ROM",2 MP,No,"2.0, A2DP",Removable Li-Ion 1500 mAh battery,About 180 EUR
T-Mobile myTouch 3G 1.2,T-MOBILE,101057,6,2011. Released 2011,113 x 56 x 14.7 mm (4.45 x 2.20 x 0.58 in),116 g (4.09 oz),"3.2 inches, 30.5 cm2 (~48.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)",microSD (dedicated slot),"256MB RAM, 512MB","3.15 MP, AF",No,"2.0, A2DP (headset support only)",Removable Li-Ion battery,
T-Mobile myTouch 3G,T-MOBILE,757295,16,"2009, June. Released 2009, April",113 x 56 x 14.7 mm (4.45 x 2.20 x 0.58 in),116 g (4.09 oz),"3.2 inches, 30.5 cm2 (~48.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)","microSDHC (dedicated slot), 4 GB included","192MB RAM, 512MB","3.15 MP, AF",No,"2.0, A2DP, EDR",Removable Li-Ion 1340 mAh battery,About 250 EUR
T-Mobile MDA Vario V,T-MOBILE,241170,9,"2009, February. Released 2009, June",116 x 59.2 x 17.3 mm (4.57 x 2.33 x 0.68 in),178.5 g (6.28 oz),"3.6 inches, 36.9 cm2 (~53.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~259 ppi density)",microSD (dedicated slot),"288MB RAM, 512MB ROM","3.15 MP, AF",VGA videocall camera,"2.0, A2DP",Removable Li-Ion 1500 mAh battery,
T-Mobile MDA Compact V,T-MOBILE,250368,10,"2009, February. Released 2009, June",107.9 x 53.1 x 13.7 mm (4.25 x 2.09 x 0.54 in),117 g (4.13 oz),"3.2 inches, 29.1 cm2 (~50.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~292 ppi density)",microSD (dedicated slot),"288MB RAM, 512MB ROM","5 MP, AF",VGA videocall camera,"2.0, A2DP",Removable Li-Ion 1100 mAh battery,
T-Mobile Sidekick LX 2009,T-MOBILE,674280,15,"2009, April",132 x 61 x 16.3 mm (5.20 x 2.40 x 0.64 in),165 g (5.82 oz),"3.2 inches, 28.2 cm2 (~35.0% screen-to-body ratio)","854 x 480 pixels, 16:9 ratio (~306 ppi density)","microSDHC (dedicated slot), 1 GB included",,"3.15 MP, AF",No,"2.0, A2DP",Removable Li-Ion 1250 mAh battery,About 220 EUR
T-Mobile Shadow 2,T-MOBILE,161307,10,"2009, January",104.1 x 53.3 x 15.2 mm (4.10 x 2.10 x 0.60 in),150.3 g (5.29 oz),,"240 x 320 pixels, 4:3 ratio",microSDHC (dedicated slot),,2 MP,No,2.0,Removable Li-Ion 1100 mAh battery,About 150 EUR
T-Mobile Vairy Touch,T-MOBILE,202714,9,"2009, March",93 x 52 x 16 mm (3.66 x 2.05 x 0.63 in),84 g (2.96 oz),"2.4 inches, 17.8 cm2 (~36.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC (dedicated slot),,1.3 MP,No,2.0,Removable Li-Ion battery,
T-Mobile MDA Basic,T-MOBILE,147725,6,"2009, January",105 x 59 x 16 mm (4.13 x 2.32 x 0.63 in),110 g (3.88 oz),"2.8 inches, 24.3 cm2 (~39.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSD (dedicated slot),"128MB RAM, 256MB ROM",2 MP,No,"2.0, A2DP",Removable Li-Ion 1100 mAh battery,
T-Mobile G1,T-MOBILE,2049396,51,"2008, September. Released 2008, October",117 x 55.7 x 17.1 mm (4.61 x 2.19 x 0.67 in),158 g (5.57 oz),"3.2 inches, 30.5 cm2 (~46.8% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)",microSD (dedicated slot),"192MB RAM, 256MB","3.15 MP, AF",No,"2.0, A2DP (headset support only)",Removable Li-Ion 1150 mAh battery,About 290 EUR
T-Mobile MDA Vario IV,T-MOBILE,195417,11,"2008, June. Released 2008",102 x 51 x 18.1 mm (4.02 x 2.01 x 0.71 in),165 g (5.82 oz),"2.8 inches, 24.3 cm2 (~46.7% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",microSD (dedicated slot),"256MB RAM, 512MB ROM","3.15 MP, AF",VGA videocall camera,"2.0, A2DP",Removable Li-Ion 1340 mAh battery,
T-Mobile Shadow,T-MOBILE,182881,11,"2007, October",103 x 53 x 15 mm (4.06 x 2.09 x 0.59 in),150 g (5.29 oz),", 53 x 40 mm","240 x 320 pixels, 4:3 ratio",microSD (dedicated slot),"128MB RAM, 256MB ROM",2 MP,No,2.0,Removable Li-Ion 920 mAh battery,About 260 EUR
T-Mobile MDA Compact IV,T-MOBILE,179206,10,"2008, May. Released 2009, Q1",110 x 52 x 12 mm (4.33 x 2.05 x 0.47 in),98 g (3.46 oz),"2.8 inches, 24.3 cm2 (~42.4% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",No,4GB 128MB RAM,"3.15 MP, AF",VGA videocall camera,"2.0, A2DP",Removable Li-Ion 900 mAh battery,
T-Mobile Sidekick,T-MOBILE,239680,11,"2008, July",119 x 58 x 18 mm (4.69 x 2.28 x 0.71 in),128 g (4.52 oz),"2.6 inches, 19.2 cm2 (~27.9% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~179 ppi density)",microSD (dedicated slot),"128MB RAM, 64MB ROM",1.3 MP,No,"2.0, A2DP",Removable Li-Ion 1030 mAh battery,
T-Mobile Sidekick Slide,T-MOBILE,623561,12,"2007, September. Released 2007, November",119.4 x 61 x 17.8 mm (4.70 x 2.40 x 0.70 in),150 g (5.29 oz),"2.5 inches, 50.8 x 38 mm, 19.4 cm2 (~26.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~160 ppi density)",microSDHC (dedicated slot),128MB,1.3 MP,No,2.0,Removable Li-Ion 1130 mAh battery,About 100 EUR
T-Mobile Sidekick LX,T-MOBILE,229995,8,"2007, September",129.5 x 60 x 22 mm (5.10 x 2.36 x 0.87 in),162 g (5.71 oz),"3.0 inches, 25.6 cm2 (~33.0% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",microSD (dedicated slot),"64MB RAM, 64MB ROM",1.3 MP,No,2.0,Removable Li-Ion 1540 mAh battery,About 160 EUR
T-Mobile Sidekick 3,T-MOBILE,227472,17,"2006, June",130 x 59 x 22 mm (5.12 x 2.32 x 0.87 in),190 g (6.70 oz),"2.6 inches, 20.1 cm2 (~26.2% screen-to-body ratio)","160 x 240 pixels, 3:2 ratio (~111 ppi density)",miniSD,64MB RAM,1.3 MP,No,1.2,Removable Li-Ion 1500 mAh battery,
T-Mobile Wing,T-MOBILE,173985,13,"2006, November",109 x 58.5 x 18.7 mm (4.29 x 2.30 x 0.74 in),168 g (5.93 oz),"2.8 inches, 24.3 cm2 (~38.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,No,"2.0, A2DP",Removable Li-Ion 1130 mAh battery,
T-Mobile Dash,T-MOBILE,154442,10,"2006, September",111.5 x 62.5 x 12.8 mm (4.39 x 2.46 x 0.50 in),119 g (4.20 oz),"2.4 inches, 17.8 cm2 (~25.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSD (dedicated slot),"64MB RAM, 128MB ROM",1.3 MP,No,"2.0, A2DP",Removable Li-Ion 960 mAh battery,
