Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Tecno Phantom X2 Pro,TECNO,164421,60,"2022, December 07",164.6 x 72.7 x 9 mm (6.48 x 2.86 x 0.35 in),201 g (7.09 oz),"6.8 inches, 111.6 cm2 (~93.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~387 ppi density)",No,"64GB 4GB RAM, 128GB 4GB RAM, 256GB 12GB RAM","50 MP, f/1.9, (wide), 1/1.3"", 1.2µm, PDAF
50 MP, f/1.5, 65mm (telephoto), 1/2.7"", 0.64µm, PDAF, 2.5x optical zoom, retractable lens
13 MP, f/2.2, (ultrawide), 1/1.3"", 1.12µm, AF","32 MP, f/2.5, (wide), 1/2.8"", 0.8µm","5.3, A2DP, LE","Li-Po 5160 mAh, non-removable",
Tecno Phantom X2,TECNO,89621,22,"2022, December 07",164.6 x 72.7 x 8.9 mm (6.48 x 2.86 x 0.35 in),203 g (7.16 oz),"6.8 inches, 111.6 cm2 (~93.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~387 ppi density)",No,"64GB 4GB RAM, 128GB 4GB RAM, 256GB 8GB RAM","64 MP, f/1.7, (wide), PDAF, OIS
13 MP, f/2.2, (ultrawide), 1/1.3"", 1.12µm, AF
2 MP","32 MP, f/2.5, (wide)","5.3, A2DP, LE","Li-Po 5160 mAh, non-removable",
Tecno Pova 4,TECNO,232896,22,"2022, October 10",170.6 x 77.5 x 8.7 mm (6.72 x 3.05 x 0.34 in),-,"6.82 inches, 112.3 cm2 (~84.9% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~257 ppi density)",Unspecified,128GB 8GB RAM,"50 MP, (wide), PDAF
other unspecified camera",8 MP,Yes,"Li-Po 6000 mAh, non-removable",
Tecno Pova 4 Pro,TECNO,284472,36,"2022, October 10",164.8 x 77 x 9.2 mm (6.49 x 3.03 x 0.36 in),-,"6.66 inches, 105.3 cm2 (~83.0% screen-to-body ratio)",1080 x 2460 pixels (~403 ppi density),No,256GB 8GB RAM,"50 MP, (wide), PDAF
other unspecified camera",8 MP,Yes,"Li-Po 6000 mAh, non-removable",
Tecno Pova Neo 2,TECNO,104067,11,"2022, September 26",170.9 x 77.8 x 9.6 mm (6.73 x 3.06 x 0.38 in),-,"6.82 inches, 110.5 cm2 (~83.1% screen-to-body ratio)",720 x 1640 pixels (~263 ppi density),microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","16 MP, (wide), AF
Secondary unknown camera",8 MP,Yes,"Li-Po 7000 mAh, non-removable",About 240 EUR
Tecno Pova Neo 5G,TECNO,86509,17,"2022, September 23",170.8 x 77.9 x 9.5 mm (6.72 x 3.07 x 0.37 in),-,"6.8 inches, 109.8 cm2 (~82.5% screen-to-body ratio)",1080 x 2460 pixels (~395 ppi density),microSDXC (dedicated slot),128GB 4GB RAM,"50 MP, (wide), AF
QVGA",8 MP,"5.0, A2DP, LE","Li-Po 6000 mAh, non-removable","₹ 15,499"
Tecno Pop 6 Pro,TECNO,76967,6,"2022, September 17",164.9 x 76.3 x 8.8 mm (6.49 x 3.00 x 0.35 in),195 g (6.88 oz),"6.56 inches, 103.4 cm2 (~82.2% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",microSDXC,32GB 2GB RAM,"8 MP, f/2.0
QVGA",5 MP,Yes,"Li-Po 5000 mAh, non-removable","₹ 6,099"
Tecno Spark 9T (India),TECNO,46107,5,"2022, July 28",164.5 x 76.1 x 8.9 mm (6.48 x 3.00 x 0.35 in),-,"6.6 inches, 104.9 cm2 (~83.8% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",microSDXC,64GB 4GB RAM,"50 MP, f/1.6, 27mm (wide), AF
2 MP, f/2.4, (depth)
QVGA, f/2.0","8 MP, (wide)",Yes,"Li-Po 5000 mAh, non-removable",About 120 EUR
Tecno Spark 9,TECNO,225191,7,"2022, July 18",164.6 x 76 x 9 mm (6.48 x 2.99 x 0.35 in),-,"6.6 inches, 105.2 cm2 (~84.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",microSDXC (dedicated),"64GB 3GB RAM, 64GB 4GB RAM, 128GB 6GB RAM","13 MP, f/1.9, 27mm (wide), AF
Unspecified secondary camera","8 MP, (wide)",Yes,"Li-Po 5000 mAh, non-removable","₹ 7,999"
Tecno Spark 9T,TECNO,255103,11,"2022, June 20",164.3 x 75.6 x 8.7 mm (6.47 x 2.98 x 0.34 in),-,"6.6 inches, 105.2 cm2 (~84.7% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",microSDXC,"64GB 4GB RAM, 128GB 4GB RAM","13 MP, f/1.9, 27mm (wide), AF
2 MP, f/2.4, (depth)
QVGA, f/2.0","32 MP, (wide)",Yes,"Li-Po 5000 mAh, non-removable","₹ 9,799"
Tecno Camon 19 Pro 5G,TECNO,311477,30,"2022, June 15",166.7 x 74.3 x 8.6 mm (6.56 x 2.93 x 0.34 in),-,"6.8 inches, 109.8 cm2 (~88.7% screen-to-body ratio)",1080 x 2460 pixels (~395 ppi density),Unspecified,"128GB 8GB RAM, 256GB 8GB RAM","64 MP, f/1.6, 26mm (wide), 1/1.7"", 0.8µm, PDAF, OIS
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","16 MP, f/2.0, (wide)",Yes,"Li-Po 5000 mAh, non-removable",
