Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Vertu Signature Touch (2015),VERTU,838599,77,"2015, September. Released 2015, October",155 x 74 x 10.8 mm (6.10 x 2.91 x 0.43 in),225-236 g (8.32 oz),"5.2 inches, 74.5 cm2 (~65.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",microSDXC (dedicated slot),64GB 4GB RAM,"21 MP, PDAF",2.1 MP,"4.0, A2DP, LE, aptX","Li-Ion 3160 mAh, non-removable",About 9000 EUR
Vertu Aster,VERTU,465302,38,"2014, October. Released 2014, December",143.4 x 69 x 11.2 mm (5.65 x 2.72 x 0.44 in),193 g (6.81 oz),"4.7 inches, 59.9 cm2 (~60.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~473 ppi density)",No,64GB 2GB RAM,"13 MP, Hasselblad certified, AF",2.1 MP,"4.0, A2DP, aptX, LE","Li-Ion 2275 mAh, non-removable",About 5440 EUR
Vertu Signature Touch,VERTU,659355,31,"2014, June. Released 2014, June",145 x 69 x 10.7 mm (5.71 x 2.72 x 0.42 in),192 g (6.77 oz),"4.7 inches, 60.9 cm2 (~60.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~469 ppi density)",No,64GB 2GB RAM,"13 MP, Hasselblad certified, AF",2.1 MP,"4.0, A2DP, LE","Li-Ion 2275 mAh, non-removable",About 8290 EUR
Vertu Constellation 2013,VERTU,334246,16,"2013, October. Released 2013, October",142.2 x 70.4 x 11.2 mm (5.60 x 2.77 x 0.44 in),179 g (6.31 oz),"4.3 inches, 51.0 cm2 (~50.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~342 ppi density)",No,32GB,"13 MP, AF",1.3 MP,"4.0, A2DP, LE","Li-Ion 1800 mAh, non-removable",About 5000 EUR
Vertu Ti,VERTU,708607,50,"2013, February. Released 2013, February",-,-,"3.7 inches, 39.0 cm2","480 x 800 pixels, 5:3 ratio (~252 ppi density)",microSDHC (dedicated slot),64GB 1GB RAM,"8 MP, AF",1.3 MP,"4.0, A2DP","Li-Ion, non-removable",About 7900 EUR
Vertu Constellation,VERTU,781253,34,"2011, October. Released 2011, October",118.2 x 54.5 x 12.2 mm (4.65 x 2.15 x 0.48 in),164g - 199g (7.02 oz),"3.5 inches, 33.8 cm2 (~52.4% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~210 ppi density)",microSDHC (dedicated slot),,8 MP,No,"3.0, A2DP",Non-removable Li-Ion 1200 mAh battery (BL-5K),About 2330 EUR
Vertu Ascent Ferrari GT,VERTU,629364,20,"2011, January. Released 2011, Q2",118 x 45 x 18 mm (4.65 x 1.77 x 0.71 in),187 g (6.60 oz),"2.0 inches, 12.4 cm2 (~23.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",No,32GB,"5 MP, AF",No,"2.1, A2DP",Removable Li-Ion battery,
Vertu Constellation Quest,VERTU,650304,25,"2010, October. Released 2010, December","116.2 x 60.8 x 12.7 mm, 87 cc (4.57 x 2.39 x 0.5 in)",165-185 g (6.53 oz),"2.46 inches, 18.7 cm2 (~26.5% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~325 ppi density)","microSDHC (dedicated slot), 32 GB included",8GB,"5 MP, AF",No,"2.1, A2DP",Non-removable Li-Po 1500 mAh battery,About 6140 EUR
Vertu Ascent 2010,VERTU,371982,12,"2010, April. Released 2010, April","117 x 46 x 19 mm, 82 cc (4.61 x 1.81 x 0.75 in)",170 g (6.00 oz),"2.0 inches, 12.4 cm2 (~23.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",No,"8GB (Aluminium), 32GB (Titanium)","5 MP, AF",No,"2.0, A2DP",Non-removable Li-Ion battery,
Vertu Constellation Ayxta,VERTU,401248,12,"2009, September. Released 2009, October","100 x 48 x 18 mm, 74 cc (3.94 x 1.89 x 0.71 in)",175 g (6.17 oz),"2.4 inches, 16.4 cm2 (~34.2% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~194 ppi density)",microSDHC (dedicated slot),100MB,"3.15 MP, AF",No,2.0,Non-removable Li-Ion 1000 mAh battery (BL-4UV),About 5020 EUR
