Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
verykool s5702 Royale Quattro,VERYKOOL,164169,8,"2018, February",157 x 74.2 x 9.8 mm (6.18 x 2.92 x 0.39 in),196 g (6.91 oz),"5.7 inches, 83.8 cm2 (~72.0% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",microSDXC,16GB 2GB RAM,"13 MP, AF
2 MP, (depth)","5 MP
2 MP, depth sensor","4.0, A2DP, LE","Li-Po 3200 mAh, non-removable",
verykool s5037 Apollo Quattro,VERYKOOL,58507,1,"2018, February",144.5 x 73 x 10.4 mm (5.69 x 2.87 x 0.41 in),163 g (5.75 oz),"5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDXC,8GB 1GB RAM,"13 MP, AF
2 MP, (depth)","5 MP
2 MP, depth sensor","4.0, A2DP, LE","Li-Po 2000 mAh, non-removable",
verykool s5036 Apollo,VERYKOOL,50248,0,"2018, February",144.5 x 73 x 10.4 mm (5.69 x 2.87 x 0.41 in),163 g (5.75 oz),"5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDXC,8GB 1GB RAM,"8 MP, AF
2 MP, (depth)",5 MP,"4.0, A2DP, LE","Li-Po 2000 mAh, removable",
verykool s5200 Orion,VERYKOOL,47297,0,"2017, December",148.6 x 74.3 x 9.6 mm (5.85 x 2.93 x 0.38 in),164 g (5.78 oz),"5.2 inches, 74.5 cm2 (~67.5% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~188 ppi density)",microSDXC,16GB 1GB RAM,"8 MP, AF",5 MP,"4.0, A2DP, LE","Li-Ion 2000 mAh, removable",
verykool s5031 Bolt Turbo,VERYKOOL,49288,2,"2017, November. Released 2017, November",145 x 72 x 9.5 mm (5.71 x 2.83 x 0.37 in),145 g (5.11 oz),"5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,16GB 2GB RAM,"8 MP, AF",8 MP,"4.0, A2DP, LE",Li-Ion 2000 mAh battery,
verykool sl5029 Bolt Pro LTE,VERYKOOL,49497,1,"2017, November. Released 2017, November",144.8 x 72 x 9.6 mm (5.70 x 2.83 x 0.38 in),142 g (5.01 oz),"5.0 inches, 68.9 cm2 (~66.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDXC,8GB 1GB RAM,"8 MP, AF",5 MP,"4.0, A2DP, LE",Li-Ion 2000 mAh battery,
verykool s5029 Bolt Pro,VERYKOOL,42954,0,"2017, November. Released 2017, November",145 x 72 x 9.5 mm (5.71 x 2.83 x 0.37 in),145 g (5.11 oz),"5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDXC,8GB 1GB RAM,8 MP,5 MP,"4.0, A2DP, LE",Li-Ion 2000 mAh battery,
verykool s5205 Orion Pro,VERYKOOL,44552,0,"2017, November. Released 2017, November",148.6 x 74.3 x 9.6 mm (5.85 x 2.93 x 0.38 in),164 g (5.78 oz),"5.2 inches, 74.5 cm2 (~67.5% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~188 ppi density)",microSDXC,16GB 1GB RAM,"8 MP, AF",8 MP,"4.0, A2DP, LE",Li-Ion 2000 mAh battery,
verykool s6005X Cyprus Pro,VERYKOOL,48675,0,"2017, November. Released 2017, November",166 x 85.3 x 9 mm (6.54 x 3.36 x 0.35 in),165 g (5.82 oz),"6.0 inches, 99.2 cm2 (~70.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",microSDXC,16GB 1GB RAM,"13 MP, f/2.2, AF","8 MP, f/2.8","4.0, A2DP, LE",Li-Ion 3000 mAh battery,
verykool s5527 Alpha Pro,VERYKOOL,57673,1,"2017, August. Released 2017, August",152.9 x 76.8 x 8.2 mm (6.02 x 3.02 x 0.32 in),148 g (5.22 oz),"5.5 inches, 83.4 cm2 (~71.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDXC,16GB 1GB RAM,"13 MP, f/2.2, AF","8 MP, f/2.8","4.0, A2DP, LE","Li-Po 2800 mAh, removable",
verykool s5528 Cosmo,VERYKOOL,51384,0,"2017, August. Released 2017, August",154.8 x 78.2 x 8.8 mm (6.09 x 3.08 x 0.35 in),169 g (5.96 oz),"5.5 inches, 83.4 cm2 (~68.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDXC,16GB 1GB RAM,"8 MP, f/2.4, AF","5 MP, f/2.8","4.0, A2DP, LE",Li-Po 3000 mAh battery,
verykool SL5565 Rocket,VERYKOOL,51269,1,"2017, August. Released 2017, August",156.4 x 79.2 x 8.8 mm (6.16 x 3.12 x 0.35 in),172 g (6.07 oz),"5.5 inches, 83.4 cm2 (~67.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDXC,16GB 2GB RAM,"13 MP, f/2.2, AF","8 MP, f/2.8","4.0, A2DP, LE","Li-Po 2700 mAh, non-removable",
verykool s4009 Crystal,VERYKOOL,51431,1,"2017, June. Released 2017, June",127 x 66 x 10.7 mm (5.0 x 2.60 x 0.42 in),-,"4.0 inches, 45.5 cm2 (~54.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDXC,8GB 512MB RAM,"5 MP, f/2.4",2 MP,"4.0, A2DP, LE","Li-Ion 1200 mAh, removable",
verykool s5526 Alpha,VERYKOOL,52339,0,"2017, May. Released 2017, May",152.9 x 76.8 x 8.2 mm (6.02 x 3.02 x 0.32 in),148 g (5.22 oz),"5.5 inches, 83.4 cm2 (~71.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDXC,8GB 1GB RAM,"8 MP, f/2.4, AF","5 MP, f/2.8","4.0, A2DP, LE",Li-Po 2800 mAh battery,
verykool s5034 Spear Jr.,VERYKOOL,45335,0,"2017, May. Released 2017, May",146.5 x 72 x 7.9 mm (5.77 x 2.83 x 0.31 in),145 g (5.11 oz),"5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,8GB 1GB RAM,"8 MP, f/2.4, AF","5 MP, f/2.8","4.0, A2DP",Li-Ion 2050 mAh battery,
verykool s5035 Spear,VERYKOOL,51840,0,"2017, April. Released 2017, April",146.5 x 72 x 7.9 mm (5.77 x 2.83 x 0.31 in),145 g (5.11 oz),"5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,8GB 1GB RAM,"8 MP, f/2.8, AF","8 MP, f/2.8","4.0, A2DP",Li-Po 2000 mAh battery,
verykool s5028 Bolt,VERYKOOL,54480,0,"2017, April. Released 2017, April",144.8 x 72.8 x 10 mm (5.70 x 2.87 x 0.39 in),154 g (5.43 oz),"5.0 inches, 68.9 cm2 (~65.4% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, f/2.4, AF","2 MP, f/2.8","2.1, A2DP",Li-Ion 2000 mAh battery,
verykool s5027 Bolt Pro,VERYKOOL,52036,1,"2017, April. Released 2017, April",144.8 x 72.8 x 10 mm (5.70 x 2.87 x 0.39 in),154 g (5.43 oz),"5.0 inches, 68.9 cm2 (~65.4% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, f/2.4, AF","8 MP, f/2.4","2.1, A2DP","Li-Ion 2000 mAh, removable",
verykool s5007 Lotus Plus,VERYKOOL,47997,0,"2017, April. Released 2017, April",144.8 x 72.8 x 9.8 mm (5.70 x 2.87 x 0.39 in),148 g (5.22 oz),"5.0 inches, 68.9 cm2 (~65.4% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, f/2.8, AF","5 MP, f/2.8","2.1, A2DP",Li-Ion 2000 mAh battery,
verykool s4513 Luna II,VERYKOOL,65282,1,"2017, March. Released 2017, March",133 x 72 x 10.2 mm (5.24 x 2.83 x 0.40 in),135 g (4.76 oz),"4.5 inches, 55.8 cm2 (~58.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",microSDHC (dedicated slot),4GB 512MB RAM,"5 MP, f/2.4","2 MP, f/2.8","2.1, A2DP",Li-Ion 1700 mAh battery,
verykool SL5560 Maverick Pro,VERYKOOL,61709,0,"2017, February. Released 2017, February",153.5 x 78 x 10 mm (6.04 x 3.07 x 0.39 in),179 g (6.31 oz),"5.5 inches, 83.4 cm2 (~69.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDXC,16GB 1GB RAM,"13 MP, f/2.4, AF","8 MP, f/2.8","4.0, A2DP, LE","Li-Po 3000 mAh, removable",
verykool s5021 Wave Pro,VERYKOOL,66818,0,"2017, February. Released 2017, February",145.8 x 73 x 9.7 mm (5.74 x 2.87 x 0.38 in),168 g (5.93 oz),"5.0 inches, 68.9 cm2 (~64.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,4GB 512MB RAM,"8 MP, f/2.4","5 MP, f/2.8","2.1, A2DP","Li-Po 2000 mAh, removable",
