Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
vivo S16 Pro,VIVO,82618,35,"2022, December 22",164.1 x 74.8 x 7.4 mm (6.46 x 2.94 x 0.29 in),182 g (6.42 oz),"6.78 inches, 111.0 cm2 (~90.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.2, (ultrawide)
2 MP, f/2.4, (macro)","50 MP, f/2.5, (wide), AF","5.3, A2DP, LE, aptX HD","Li-Po 4600 mAh, non-removable",About 400 EUR
vivo S16,VIVO,44268,24,"2022, December 22",164.1 x 74.8 x 7.4 mm (6.46 x 2.94 x 0.29 in),182 g (6.42 oz),"6.78 inches, 111.0 cm2 (~90.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","64 MP, f/1.9, (wide), PDAF, OIS
8 MP, f/2.2, (ultrawide)
2 MP, f/2.4, (macro)","50 MP, f/2.5, (wide), AF","5.2, A2DP, LE, aptX HD, aptX Adaptive","Li-Po 4600 mAh, non-removable",About 340 EUR
vivo S16e,VIVO,25877,11,"2022, December 22",162.5 x 75.8 x 7.7 mm or 7.8 mm,187.7 g or 189 g (6.63 oz),"6.62 inches, 105.8 cm2 (~85.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~398 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), PDAF, OIS
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","16 MP, f/2.0, (wide)","5.2, A2DP, LE, aptX HD","Li-Po 4600 mAh, non-removable",About 280 EUR
vivo Y35 5G,VIVO,40985,5,"2022, December 09",164.1 x 75.6 x 8.2 mm (6.46 x 2.98 x 0.32 in),186 g (6.56 oz),"6.51 inches, 102.3 cm2 (~82.5% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","13 MP, f/2.2, (wide), AF
2 MP, f/2.4, (macro)","5 MP, f/1.8, (wide)","5.2, A2DP, LE","Li-Po 5000 mAh, non-removable",About 160 EUR
vivo iQOO 11 Pro,VIVO,225531,116,"2022, December 08",164.8 x 75.3 x 8.9 mm or 9.1 mm,210.5 g or 213 g (7.44 oz),"6.78 inches, 111.0 cm2 (~89.4% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~518 ppi density)",No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 16GB RAM","50 MP, f/1.8, (wide), 1/1.49"", 1.0µm, PDAF, OIS
13 MP, f/2.5, 50mm (telephoto), PDAF, optical zoom
50 MP, f/2.3, 15mm, 150˚ (ultrawide), 1/2.76"", 0.64µm, AF","16 MP, f/2.5, (wide)","5.3, A2DP, LE, aptX HD, aptX Adaptive","Li-Po 4700 mAh, non-removable",About 700 EUR
vivo iQOO 11,VIVO,176217,67,"2022, December 08",164.9 x 77.1 x 8.4 mm or 8.7 mm,205 g or 208 g (7.23 oz),"6.78 inches, 111.0 cm2 (~87.3% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~518 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM","50 MP, f/1.9, 23mm (wide), 1/1.57"", 1.0µm, PDAF, OIS
13 MP, f/2.5, 50mm (telephoto), PDAF, optical zoom
8 MP, f/2.2, 16mm (ultrawide)","16 MP, f/2.5, (wide)","5.3, A2DP, LE, aptX HD","Li-Po 5000 mAh, non-removable",About 520 EUR
vivo iQOO Neo7 SE,VIVO,73154,27,"2022, December 08",164.8 x 76.9 x 8.6 mm (6.49 x 3.03 x 0.34 in),193 g (6.81 oz),"6.78 inches, 111.0 cm2 (~87.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM","64 MP, f/1.8, (wide), PDAF, OIS
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","16 MP, f/2.5, (wide)","5.3, A2DP, LE, aptX HD","Li-Po 5000 mAh, non-removable",About 300 EUR
vivo Y02,VIVO,52622,7,"2022, November 29",164 x 75.6 x 8.5 mm (6.46 x 2.98 x 0.33 in),186 g (6.56 oz),"6.51 inches, 102.3 cm2 (~82.5% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"8 MP, f/2.0","5 MP, f/2.2","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable","₹ 8,999"
vivo X90 Pro+,VIVO,454078,189,"2022, November 22",164.4 x 75.3 x 9.7 mm (6.47 x 2.96 x 0.38 in),221 g (7.80 oz),"6.78 inches, 111.4 cm2 (~90.0% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~517 ppi density)",No,"256GB 12GB RAM, 512GB 12GB RAM","50.3 MP, f/1.8, 23mm (wide), 1.0""-type, 1.6µm, Dual Pixel PDAF, Laser AF, OIS
64 MP, f/3.5, 90mm (periscope telephoto), 1/2.0"", 0.7µm, PDAF, OIS, 3.5x optical zoom
50 MP, f/1.6, 50mm (telephoto), 1/2.4"", 0.7µm, no AF, 2x optical zoom, OIS
48 MP, f/2.2, 14mm, 114˚ (ultrawide), 1/2.0"", 0.8µm, AF","32 MP, f/2.5, 24mm (wide), 1/2.8"", 0.8µm","5.3, A2DP, LE, aptX HD","Li-Po 4700 mAh, non-removable","$ 1,054.35"
vivo X90 Pro,VIVO,125439,46,"2022, November 22",164.1 x 74.5 x 9.3 mm (6.46 x 2.93 x 0.37 in),214.9 g (7.58 oz),"6.78 inches, 111.0 cm2 (~90.8% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)",No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50.3 MP, f/1.8, 23mm (wide), 1.0""-type, 1.6µm, Dual Pixel PDAF, Laser AF, OIS
50 MP, f/1.6, 50mm (telephoto), 1/2.4"", 0.7µm, no AF, 2x optical zoom, OIS
12 MP, f/2.0, 108˚ (ultrawide), AF","32 MP, f/2.5, 24mm (wide), 1/2.8"", 0.8µm","5.3, A2DP, LE, aptX HD","Li-Po 4870 mAh, non-removable",$ 799.00
