Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
VK Mobile VK2030,VK MOBILE,121550,7,"2007, December. Released 2008, September",107 x 48 x 11.7 mm (4.21 x 1.89 x 0.46 in),,"1.8 inches, 10.2 cm2 (~19.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSD (dedicated slot),256MB,1.3 MP,No,1.2,Removable Li-Ion 710 mAh battery,About 70 EUR
VK Mobile VK2200,VK MOBILE,299549,12,"2006, March",97.8 x 49.5 x 12.5 mm (3.85 x 1.95 x 0.49 in),74 g (2.61 oz),"1.66 inches, 8.7 cm2 (~17.9% screen-to-body ratio)",176 x 220 pixels (~170 ppi density),No,128MB,4 MP,No,Yes,Removable Li-Ion battery,
VK Mobile VK7000,VK MOBILE,150017,8,"2006, March",105 x 48 x 9.9 mm (4.13 x 1.89 x 0.39 in),,"1.8 inches, 28 x 35 mm, 10.2 cm2 (~20.2% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),microMMC,,1.3 MP,VGA videocall camera,Yes,Removable Li-Ion battery,
VK Mobile VK5000,VK MOBILE,121109,8,"2006, March",91.8 x 50 x 9.9 mm (3.61 x 1.97 x 0.39 in),,"1.5 inches, 24 x 29 mm, 7.1 cm2 (~15.4% screen-to-body ratio)",128 x 160 pixels (~137 ppi density),No,128MB,1.3 MP,No,Yes,Removable Li-Ion battery,
VK Mobile VK300,VK MOBILE,72622,5,"2005, July",79.5 x 42.5 x 21.5 mm (3.13 x 1.67 x 0.85 in),75 g (2.65 oz),"1.8 inches, 10.2 cm2 (~30.2% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,,No,,No,Removable Li-Ion 720 mAh battery,
VK Mobile VK4000,VK MOBILE,146286,7,"2006, March",85 x 43 x 21 mm (3.35 x 1.69 x 0.83 in),79 g (2.79 oz),"1.8 inches, 29 x 35 mm, 10.2 cm2 (~27.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),Yes,128MB,VGA,No,Yes,Removable Li-Ion battery,About 60 EUR
VK Mobile VK4100,VK MOBILE,216055,10,"2006, March",104 x 52 x 25.9 mm (4.09 x 2.05 x 1.02 in),,"1.8 inches, 10.2 cm2 (~18.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),Yes,128MB,VGA,No,Yes,Removable Li-Ion battery,
VK Mobile VK2020,VK MOBILE,224881,7,"2006, February",95 x 47 x 8.8 mm (3.74 x 1.85 x 0.35 in),53 g (1.87 oz),,128 x 160 pixels,No,64MB,No,,Yes,Removable Li-Ion battery,About 50 EUR
VK Mobile VK200,VK MOBILE,184234,7,"2006, February",105 x 48 x 11 mm (4.13 x 1.89 x 0.43 in),,,"128 x 128 pixels, 1:1 ratio",microSD (dedicated slot),20MB,VGA,No,No,Removable Li-Ion battery,
VK Mobile VK4500,VK MOBILE,206171,10,"2005, Q4",98 x 49 x 16.9 mm (3.86 x 1.93 x 0.67 in),86 g (3.03 oz),"2.0 inches, 31 x 39 mm, 12.6 cm2 (~26.2% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),No,100MB,1.3 MP,No,Yes,Removable Li-Ion 620 mAh battery,
