Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Vodafone Smart V10,VODAFONE,365912,19,"2019, May",151.3 x 69.9 x 8.2 mm (5.96 x 2.75 x 0.32 in),145 g (5.11 oz),"5.9 inches, 85.5 cm2 (~80.8% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~291 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, AF
5 MP",8 MP,"4.2, A2DP, LE","Li-Ion 3400 mAh, non-removable",About 180 EUR
Vodafone Smart N10,VODAFONE,157324,7,"2019, May",148.8 x 69.9 x 8.4 mm (5.86 x 2.75 x 0.33 in),160 g (5.64 oz),"5.67 inches, 80.9 cm2 (~77.8% screen-to-body ratio)",720 x 1500 pixels (~293 ppi density),microSDXC (dedicated slot),16GB 2GB RAM,"13 MP, AF",8 MP,"4.2, A2DP, LE","Li-Ion 2920 mAh, non-removable",About 150 EUR
Vodafone Smart E9,VODAFONE,151722,1,"2018, December",137.6 x 65.7 x 9.8 mm (5.42 x 2.59 x 0.39 in),134 g (4.73 oz),"5.0 inches, 64.5 cm2 (~71.4% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~215 ppi density)",microSDHC,8GB 1GB RAM,5 MP,2 MP,"4.2, A2DP, LE","Li-Ion 2000 mAh, non-removable",About 70 EUR
Vodafone Smart X9,VODAFONE,202305,19,"2018, December",148.2 x 71.3 x 8 mm (5.83 x 2.81 x 0.31 in),153 g (5.40 oz),"5.7 inches, 82.7 cm2 (~78.2% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~427 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"16 MP, AF
5 MP, f/2.4, (depth)",8 MP,"4.2, A2DP, LE","Li-Ion 3100 mAh, non-removable",About 110 EUR
Vodafone Smart N9,VODAFONE,260651,6,"2018, June",147.1 x 68.8 x 8.7 mm (5.79 x 2.71 x 0.34 in),145 g (5.11 oz),"5.5 inches, 78.1 cm2 (~77.1% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",microSDHC,16GB 2GB RAM,"13 MP, AF",8 MP,"4.0, A2DP","Li-Ion 2900 mAh, non-removable",About 120 EUR
Vodafone Smart N9 lite,VODAFONE,136561,3,"2018, June",148.2 x 68.9 x 9.4 mm (5.83 x 2.71 x 0.37 in),155 g (5.47 oz),"5.34 inches, 73.6 cm2 (~72.1% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~201 ppi density)",microSDHC,16GB 1GB RAM,"8 MP, AF",5 MP,"4.0, A2DP",Li-Ion 2460 mAh battery,About 100 EUR
Vodafone Smart E8,VODAFONE,255182,3,"2017, June. Released 2017, July",145.6 x 72.1 x 9.2 mm (5.73 x 2.84 x 0.36 in),169 g (5.96 oz),"5.0 inches, 68.9 cm2 (~65.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDXC (dedicated slot),8GB 1GB RAM,5 MP,2 MP,"4.0, A2DP","Li-Ion 2200 mAh, removable",About 80 EUR
Vodafone Smart V8,VODAFONE,303409,13,"2017, June. Released 2017, June",155 x 76 x 7.9 mm (6.10 x 2.99 x 0.31 in),166 g (5.86 oz),"5.5 inches, 83.4 cm2 (~70.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"16 MP, AF",8 MP,"4.0, A2DP","Li-Ion 3000 mAh, non-removable",About 230 EUR
Vodafone Smart N8,VODAFONE,236382,5,"2017, June. Released 2017, June",144.5 x 71.9 x 8.6 mm (5.69 x 2.83 x 0.34 in),151 g (5.33 oz),"5.0 inches, 68.9 cm2 (~66.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,16GB 1.5GB RAM,"13 MP, AF",5 MP,"4.0, A2DP","Li-Ion 2400 mAh, non-removable",About 100 EUR
Vodafone Smart Turbo 7,VODAFONE,368813,1,"2016, August. Released 2016, August",140.6 x 72.4 x 9.5 mm (5.54 x 2.85 x 0.37 in),167.9 g (5.93 oz),"5.0 inches, 68.9 cm2 (~67.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,8GB 1GB RAM,5 MP,2 MP,"4.0, A2DP","Li-Ion 2000 mAh, non-removable",About 60 EUR
