Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Wiko 10,WIKO,10662,4,"2022, September 22",168.3 x 77.6 x 9 mm (6.63 x 3.06 x 0.35 in),199 g (7.02 oz),"6.75 inches, 110.0 cm2 (~84.2% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",microSDXC,"128GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, 28mm (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (depth), AF
2 MP, f/2.4, (macro), AF","8 MP, f/2.0, (wide)","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 140 EUR
Wiko T50,WIKO,46656,5,"2022, May 26",160.7 x 73.3 x 8.4 mm (6.33 x 2.89 x 0.33 in),179 g (6.31 oz),"6.6 inches, 105.2 cm2 (~89.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~399 ppi density)",No,"128GB 4GB RAM, 128GB 6GB RAM","64 MP, AF
8 MP
2 MP",16 MP,"5.1, A2DP, LE","Li-Ion 4000 mAh, non-removable",
Wiko T10,WIKO,29551,1,"2022, May 26",163.9 x 75.8 x 9 mm (6.45 x 2.98 x 0.35 in),192 g (6.77 oz),"6.5 inches, 102.0 cm2 (~82.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC,64GB 2GB RAM,"13 MP, AF",5 MP,"5.0, A2DP, LE","Li-Ion 5000 mAh, non-removable",
Wiko T3,WIKO,24549,2,"2021, December",165.3 x 76 x 9.2 mm (6.51 x 2.99 x 0.36 in),188 g (6.63 oz),"6.6 inches, 105.2 cm2 (~83.7% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",microSDXC,128GB 4GB RAM,"48 MP, AF
5 MP
2 MP",8 MP,"5.0, A2DP, LE","Li-Ion 5000 mAh, non-removable",
Wiko Y62 Plus,WIKO,6276,0,"2021, Q3",157 x 75.8 x 9.1 mm (6.18 x 2.98 x 0.36 in),172 g (6.07 oz),"6.1 inches, 91.3 cm2 (~76.8% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",microSDXC,32GB 2GB RAM,"8 MP, AF",5 MP,"4.2, A2DP",Li-Ion 3000 mAh,About 70 EUR
Wiko Y82,WIKO,11580,0,"2021, Q3",155.5 x 73.3 x 9.3 mm (6.12 x 2.89 x 0.37 in),-,"6.1 inches, 91.3 cm2 (~80.1% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",microSDXC,32GB 3GB RAM,"13 MP, AF",5 MP,"4.2, A2DP, LE","Li-Ion 3600 mAh, removable",About 90 EUR
Wiko Power U30,WIKO,8597,1,"2021, June",173.8 x 78.6 x 9.5 mm (6.84 x 3.09 x 0.37 in),214 g (7.55 oz),"6.82 inches, 110.5 cm2 (~80.9% screen-to-body ratio)",720 x 1640 pixels (~263 ppi density),microSDXC,128GB 4GB RAM,"13 MP, AF
2 MP
QVGA",8 MP,"4.2, A2DP","Li-Ion 6000 mAh, non-removable",About 150 EUR
Wiko Y52,WIKO,6089,0,"2021, November",143.2 x 73.5 x 10.2 mm (5.64 x 2.89 x 0.40 in),153 g (5.40 oz),"5.0 inches, 68.9 cm2 (~65.5% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDXC,16GB 1GB RAM,5 MP,5 MP,"4.2, A2DP","Li-Ion 2020 mAh, removable",About 50 EUR
Wiko Power U20,WIKO,7805,0,"2021, June",173.8 x 78.6 x 9.5 mm (6.84 x 3.09 x 0.37 in),210 g (7.41 oz),"6.82 inches, 104.8 cm2 (~76.7% screen-to-body ratio)",720 x 1640 pixels (~270 ppi density),microSDXC,"32GB 3GB RAM, 64GB 3GB RAM","13 MP, AF
2 MP
QVGA",5 MP,"4.2, A2DP","Li-Ion 6000 mAh, non-removable",About 120 EUR
Wiko Power U10,WIKO,6961,0,"2021, June",173.8 x 78.6 x 9.5 mm (6.84 x 3.09 x 0.37 in),206 g (7.27 oz),"6.82 inches, 110.5 cm2 (~80.9% screen-to-body ratio)",720 x 1640 pixels (~263 ppi density),microSDXC,"32GB 2GB RAM, 32GB 3GB RAM","13 MP, AF",5 MP,"4.2, A2DP","Li-Ion 5000 mAh, non-removable",About 100 EUR
