Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Xiaomi Redmi Note 12 Pro Speed,XIAOMI,74031,39,"2022, December 27",162.9 x 76 x 7.9 mm (6.41 x 2.99 x 0.31 in),181 g (6.38 oz),"6.67 inches, 107.4 cm2 (~86.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",No,"128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","108 MP, f/1.9, (wide), 1/1.52"", 0.7µm, PDAF
8 MP, 119˚ (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, (macro)","16 MP, (wide), 1/3.06"", 1.0µm","5.2, A2DP, LE","Li-Po 5000 mAh, non-removable",About 230 EUR
Xiaomi Redmi K60 Pro,XIAOMI,88803,59,"2022, December 27",162.8 x 75.4 x 8.6 mm or 8.9 mm,201 g or 205 g (7.09 oz),"6.67 inches, 107.4 cm2 (~87.5% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~526 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM","54 MP, f/1.9, (wide), 1/1.49"", 1.0µm, PDAF, OIS
8 MP, 118˚ (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, (macro)","16 MP, (wide), 1/3.06"", 1.0µm","5.3, A2DP, LE","Li-Po 5000 mAh, non-removable",About 460 EUR
Xiaomi Redmi K60E,XIAOMI,37433,22,"2022, December 27",163.1 x 76.2 x 8.5 mm (6.42 x 3.00 x 0.33 in),202 g (7.13 oz),"6.67 inches, 107.4 cm2 (~86.4% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~526 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","48 MP, (wide), 1/2"", 0.8µm, PDAF, OIS
8 MP, 120˚ (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, (macro)","20 MP, (wide), 1/2.0"", 0.8µm","5.3, A2DP, LE","Li-Po 5500 mAh, non-removable",About 300 EUR
Xiaomi Redmi K60,XIAOMI,118839,50,"2022, December 27",162.8 x 75.4 x 8.6 mm or 8.8 mm,199 g or 204 g (7.02 oz),"6.67 inches, 107.4 cm2 (~87.5% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~526 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM","64 MP, f/1.8, (wide), 1/2"", 0.7µm, PDAF, OIS
8 MP, 120˚ (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, (macro)","16 MP, (wide), 1/3.06"", 1.0µm","5.3, A2DP, LE","Li-Po 5500 mAh, non-removable",About 350 EUR
Xiaomi 13 Pro,XIAOMI,760858,244,"2022, December 11",162.9 x 74.6 x 8.4 mm or 8.7 mm,210 g or 229 g (7.41 oz),"6.73 inches, 108.9 cm2 (~89.6% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~522 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50.3 MP, f/1.9, 23mm (wide), 1.0""-type, 1.6µm, Dual Pixel PDAF, Laser AF, OIS
50 MP, f/2.0, 75mm (telephoto), PDAF (10cm - ∞), 3.2x optical zoom
50 MP, f/2.2, 14mm, 115˚ (ultrawide), AF","32 MP, (wide)","5.3, A2DP, LE","Li-Po 4820 mAh, non-removable",$ 899.00
Xiaomi 13,XIAOMI,522752,225,"2022, December 11",152.8 x 71.5 x 8.0 mm or 8.1 mm,185 g or 189 g (6.53 oz),"6.36 inches, 97.7 cm2 (~89.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~414 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, 23mm (wide), 1/1.49"", 1.0µm, PDAF, OIS
10 MP, f/2.0 75mm (telephoto), 1/3.75"", 1.0µm, PDAF, OIS, 3.2x optical zoom
12 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/3.06"", 1.12µm","32 MP, f/2.0, 22mm (wide), 0.7µm","5.3, A2DP, LE","Li-Po 4500 mAh, non-removable",About 550 EUR
Xiaomi Redmi Note 12 Discovery,XIAOMI,519370,108,"2022, October 27",162.9 x 76 x 9 mm (6.41 x 2.99 x 0.35 in),207.5 g (7.34 oz),"6.67 inches, 107.4 cm2 (~86.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",No,256GB 8GB RAM,"200 MP, f/1.7, 24mm (wide), 1/1.4"", 0.56µm, PDAF, OIS
8 MP, f/1.9, 119˚ (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, (macro)","16 MP, (wide), 1/3.06"", 1.0µm","5.2, A2DP, LE","Li-Po 4300 mAh, non-removable",$ 379.00
Xiaomi Redmi Note 12 Pro+,XIAOMI,1246365,232,"2022, October 27",162.9 x 76 x 9 mm (6.41 x 2.99 x 0.35 in),208.4 g (7.34 oz),"6.67 inches, 107.4 cm2 (~86.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",No,"256GB 8GB RAM, 256GB 12GB RAM","200 MP, f/1.7, 24mm (wide), 1/1.4"", 0.56µm, PDAF, OIS
8 MP, f/1.9, 119˚ (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, (macro)","16 MP, (wide), 1/3.06"", 1.0µm","5.2, A2DP, LE","Li-Po 5000 mAh, non-removable",$ 339.00
Xiaomi Redmi Note 12 Pro,XIAOMI,1061767,155,"2022, October 27",162.9 x 76 x 7.9 mm (6.41 x 2.99 x 0.31 in),187 g (6.60 oz),"6.67 inches, 107.4 cm2 (~86.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/1.9, 119˚ (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, (macro)","16 MP, (wide), 1/3.06"", 1.0µm","5.2, A2DP, LE","Li-Po 5000 mAh, non-removable",$ 269.00
Xiaomi Redmi Note 12,XIAOMI,663780,66,"2022, October 27",165.9 x 76.2 x 8 mm (6.53 x 3.00 x 0.31 in),188 g (6.63 oz),"6.67 inches, 107.4 cm2 (~85.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",No,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","48 MP, (wide), 0.8µm, PDAF
2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide), 1/4"", 1.12µm","5.1, A2DP, LE","Li-Po 5000 mAh, non-removable",$ 189.00
