Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
XOLO Era 2X,XOLO,298322,5,"2017, January. Released 2017, January",144 x 72.3 x 9.5 mm (5.67 x 2.85 x 0.37 in),-,"5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,"16GB 2GB RAM, 16GB 3GB RAM","8 MP, f/2.0, AF","5 MP, f/2.4","4.0, A2DP","Li-Ion 2500 mAh, removable",
XOLO Era 2,XOLO,244188,2,"2016, October. Released 2016, October",146.5 x 73 x 9.2 mm (5.77 x 2.87 x 0.36 in),-,"5.0 inches, 68.9 cm2 (~64.4% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,8GB 1GB RAM,"5 MP, f/2.0, 1.4µm, AF",5 MP,"4.0, A2DP","Li-Ion 2350 mAh, removable",
XOLO Era 1X,XOLO,331370,2,"2016, September. Released 2016, September",145.5 x 72 x 8.6 mm (5.73 x 2.83 x 0.34 in),-,"5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",5 MP,"4.0, A2DP","Li-Po 2500 mAh, removable",
XOLO Era X,XOLO,774367,13,"2016, February. Released 2016, February",145.5 x 72 x 8.5 mm (5.73 x 2.83 x 0.33 in),-,"5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,8GB 2GB RAM,"8 MP, AF",5 MP,"4.0, A2DP","Li-Po 2500 mAh, removable",
XOLO Era 4K,XOLO,710713,11,"2016, February. Released 2016, February",143 x 71.8 x 9.2 mm (5.63 x 2.83 x 0.36 in),-,"5.0 inches, 68.9 cm2 (~67.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,8GB 2GB RAM,"8 MP, f/2.0, AF","5 MP, f/2.2","4.0, A2DP","Li-Ion 4000 mAh, non-removable",
XOLO Era 4G,XOLO,943295,8,"2016, February. Released 2016, February",145.5 x 72 x 8.5 mm (5.73 x 2.83 x 0.33 in),-,"5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,8GB 1GB RAM,"5 MP, AF",2 MP,"4.0, A2DP","Li-Po 2500 mAh, removable",
XOLO One HD,XOLO,310743,6,"2015, December. Released 2016, January",143 x 72.6 x 9.5 mm (5.63 x 2.86 x 0.37 in),-,"5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,8GB 1GB RAM,"8 MP, f/2.2, AF",5 MP,"4.0, A2DP","Li-Po 2300 mAh, removable",
XOLO Black 3GB,XOLO,277623,8,"2015, December. Released 2015, December",155.5 x 76.6 x 7.3 mm (6.12 x 3.02 x 0.29 in),-,"5.5 inches, 83.4 cm2 (~70.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDHC,16GB 3GB RAM,"13 MP, f/2.0, AF
2 MP, f/2.4, (depth)",5 MP,"4.0, A2DP","Li-Po 3200 mAh, non-removable",
XOLO Black 1X,XOLO,1268336,26,"2015, October. Released 2015, October",144.6 x 72 x 7.6 mm (5.69 x 2.83 x 0.30 in),-,"5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",microSDXC (uses shared SIM slot),32GB 3GB RAM,"13 MP, PDAF",5 MP,"4.0, A2DP","Li-Po 2400 mAh, non-removable",About 140 EUR
XOLO Black,XOLO,1158211,42,"2015, July. Released 2015, July",155.5 x 76.6 x 7.3 mm (6.12 x 3.02 x 0.29 in),-,"5.5 inches, 82.6 cm2 (~69.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",microSDHC (uses shared SIM slot),16GB 2GB RAM,"13 MP, AF
2 MP, (depth)",5 MP,"4.0, A2DP","Li-Po 3200 mAh, non-removable",About 180 EUR
