Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Yezz C32,YEZZ,1379,0,"2022, August",121 x 50 x 12.8 mm (4.76 x 1.97 x 0.50 in),-,"1.77 inches, 9.9 cm2 (~16.3% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),microSDHC (dedicated slot),128MB 48MB RAM,0.08 MP,No,"5.1, A2DP","Li-Ion 1000 mAh, removable",
Yezz Art 3 Lite,YEZZ,3824,0,"2022, June",167.9 x 76.8 x 10.5 mm (6.61 x 3.02 x 0.41 in),154 g (5.43 oz),"6.52 inches, 102.6 cm2 (~79.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC,64GB 2GB RAM,"13 MP, AF
0.3 MP",8 MP,"4.2, A2DP, LE","Li-Po 5000 mAh, non-removable",About 120 EUR
Yezz Max 2 Ultra,YEZZ,7179,1,"2022, May",155.2 x 72.9 x 9.7 mm (6.11 x 2.87 x 0.38 in),175 g (6.17 oz),"6.1 inches, 92.3 cm2 (~81.5% screen-to-body ratio)",600 x 1280 pixels (~232 ppi density),microSDHC,32GB 2GB RAM,"13 MP, AF
0.3 MP",8 MP,"4.0, A2DP, LE","Li-Ion 3000 mAh, removable",
Yezz Max 2,YEZZ,12246,0,"2021, October",146.5 x 71.5 x 10.2 mm (5.77 x 2.81 x 0.40 in),170 g (6.00 oz),"5.45 inches, 76.7 cm2 (~73.2% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~197 ppi density)",microSDHC,32GB 1GB RAM,"8 MP, AF",5 MP,"4.0, A2DP, LE","Li-Ion 2500 mAh, removable",About 60 EUR
Yezz Liv 3 LTE,YEZZ,13361,0,"2021, August",144.6 x 73.4 x 10.7 mm (5.69 x 2.89 x 0.42 in),100 g (3.53 oz),"5.0 inches, 68.9 cm2 (~64.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDXC (dedicated slot),16GB 1GB RAM,"5 MP
VGA",2 MP,"4.2, A2DP, LE","Li-Ion 2000 mAh, removable",
Yezz GO 3,YEZZ,27956,2,"2021, April",125.7 x 63.5 x 9 mm (4.95 x 2.5 x 0.35 in),84.5 g (3.00 oz),"4.0 inches, 44.1 cm2 (~55.3% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~184 ppi density)",microSDXC (dedicated slot),8GB 1GB RAM,5 MP,2 MP,"4.2, A2DP, LE","Li-Ion 1350 mAh, removable",About 50 EUR
Yezz Art 2 Pro,YEZZ,28909,4,"2021, April",164.2 x 76.3 x 8.8 mm (6.46 x 3.00 x 0.35 in),188 g (6.63 oz),"6.53 inches, 102.9 cm2 (~82.2% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated slot),"64GB 3GB RAM, 128GB 4GB RAM","16 MP, f/2.0, 1/2.8"", AF
2 MP
2 MP","13 MP, f/2.0","4.2, A2DP, LE","Li-Ion 5000 mAh, non-removable",About 120 EUR
Yezz Max 2 Plus,YEZZ,19141,0,"2021, April",149.7 x 72.2 x 9.7 mm (5.89 x 2.84 x 0.38 in),150 g (5.29 oz),"5.5 inches, 78.1 cm2 (~72.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",microSDXC,32GB 2GB RAM,"13 MP, AF
0.3 MP",8 MP,"4.0, A2DP, LE","Li-Ion 2600 mAh, removable",About 70 EUR
Yezz Liv 1s,YEZZ,18590,2,"2020, November",141.2 x 66.7 x 10 mm (5.56 x 2.63 x 0.39 in),137 g (4.83 oz),"4.95 inches, 63.2 cm2 (~67.1% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~217 ppi density)",microSDXC (dedicated slot),16GB 1GB RAM,"5 MP, f/2.2, AF","2 MP, f/2.8","4.2, A2DP, LE","Li-Ion 2000 mAh, removable",About 50 EUR
Yezz Art 1 Pro,YEZZ,27994,3,"2020, August",163.9 x 77.9 x 8.9 mm (6.45 x 3.07 x 0.35 in),120 g (4.23 oz),"6.53 inches, 104.7 cm2 (~82.0% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~263 ppi density)",microSDXC (uses shared SIM slot),64GB 4GB RAM,"16 MP, f/2.8, 1/2.8"", AF
2 MP
2 MP","8 MP, f/2.4, 1/4""","4.2, A2DP, LE","Li-Ion 4000 mAh, non-removable",About 100 EUR
