Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
YU Ace,YU,230103,10,"2018, August",148 x 70.5 x 9.6 mm (5.83 x 2.78 x 0.38 in),159 g (5.61 oz),"5.45 inches, 76.7 cm2 (~73.5% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 3GB RAM","13 MP, AF",5 MP,"4.1, A2DP","Li-Po 4000 mAh, removable",About 6000 INR
YU Yureka 2,YU,215951,15,"2017, September. Released 2017, September",152.6 x 76.5 x 8.2 mm (6.01 x 3.01 x 0.32 in),-,"5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDXC (uses shared SIM slot),64GB 4GB RAM,"16 MP, AF",8 MP,"4.0, A2DP","Li-Ion 3930 mAh, non-removable",About 12000 INR
YU Yunique 2,YU,214809,12,"2017, July. Released 2017, July",145 x 72.7 x 9.2 mm (5.71 x 2.86 x 0.36 in),159 g (5.61 oz),"5.0 inches, 68.9 cm2 (~65.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"13 MP, f/2.0, AF",5 MP,"4.0, A2DP","Li-Po 2500 mAh, removable",About 6000 INR
YU Yureka Black,YU,397241,20,"2017, June. Released 2017, June",142 x 69.6 x 8.7 mm (5.59 x 2.74 x 0.34 in),152 g (5.36 oz),"5.0 inches, 68.9 cm2 (~69.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",microSDXC (uses shared SIM slot),32GB 4GB RAM,"13 MP, 1/3.1"", 1.12µm, PDAF",8 MP,"4.0, A2DP","Li-Po 3000 mAh, non-removable",About 9000 INR
YU Yunique Plus,YU,386022,11,"2016, August. Released 2016, August",8.3 mm thickness,128 g (4.52 oz),"4.7 inches, 60.9 cm2","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",microSDHC,8GB 2GB RAM,"8 MP, f/2.0, AF",2 MP,"4.0, A2DP, aptX","Li-Po 2000 mAh, non-removable",About 80 EUR
YU Yureka S,YU,317909,13,"2016, August. Released 2016, August",154.8 x 78 x 8.8 mm (6.09 x 3.07 x 0.35 in),172 g (6.07 oz),"5.2 inches, 74.5 cm2 (~61.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",microSDXC (uses shared SIM slot),16GB 3GB RAM,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF","5 MP, f/2.2","4.0, A2DP","Li-Ion 3000 mAh, non-removable",About 170 EUR
YU Yunicorn,YU,1640320,57,"2016, May. Released 2016, June",153.3 x 75.4 x 8.5 mm (6.04 x 2.97 x 0.33 in),172 g (6.07 oz),"5.5 inches, 83.4 cm2 (~72.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDXC (uses shared SIM slot),32GB 4GB RAM,"13 MP, f/2.2, PDAF","5 MP, f/2.0","4.1, A2DP","Li-Po 4000 mAh, non-removable",About 180 EUR
YU Yureka Note,YU,741104,34,"2016, April. Released 2016, May",159 x 84.1 x 7.9 mm (6.26 x 3.31 x 0.31 in),184 g (6.49 oz),"6.0 inches, 99.2 cm2 (~74.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",microSDXC (uses shared SIM slot),16GB 3GB RAM,"13 MP, PDAF",8 MP,"4.0, A2DP","Li-Po 4000 mAh, non-removable",About 180 EUR
YU Yutopia,YU,1238314,155,"2015, December. Released 2015, December",146.6 x 72.7 x 7.2 mm (5.77 x 2.86 x 0.28 in),159 g (5.61 oz),"5.2 inches, 74.5 cm2 (~69.9% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~565 ppi density)",microSDXC (uses shared SIM slot),32GB 4GB RAM,"21 MP, f/2.2, 27mm (wide), 1/2.4"", 1.12µm, PDAF, OIS","8 MP, f/2.2, 1/3.2"", 1.4µm","4.1, A2DP, LE","Li-Po 3000 mAh, non-removable",About 420 EUR
YU Yunique,YU,1910303,32,"2015, September. Released 2015, September",134.5 x 67.5 x 8.3 mm (5.30 x 2.66 x 0.33 in),128 g (4.52 oz),"4.7 inches, 60.9 cm2 (~67.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",microSDHC (dedicated slot),8GB 1GB RAM,"8 MP, f/2.0, AF",2 MP,"4.0, A2DP, aptX","Li-Po 2000 mAh, non-removable",About 70 EUR
YU Yureka Plus,YU,2917251,56,"2015, July. Released 2015, July",154.8 x 78 x 6 - 8.5 mm,-,"5.5 inches, 83.4 cm2 (~69.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDHC (dedicated slot),16GB 2GB RAM,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF",5 MP,"4.0, A2DP","Li-Po 2500 mAh, removable",About 130 EUR
YU Yuphoria,YU,7414973,136,"2015, May. Released 2015, May",142.4 x 73 x 8.2 - 9.35 mm,143 g; 104 g (w/o battery) (5.04 oz),"5.0 inches, 68.9 cm2 (~66.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC (dedicated slot),16GB 2GB RAM,"8 MP, f/2.2, AF",5 MP,"4.0, A2DP","Li-Ion 2230 mAh, removable",About 90 EUR
YU Yureka,YU,6784940,215,"2015, January. Released 2015, January",154.8 x 78 x 6 - 8.8 mm,155 g (5.47 oz),"5.5 inches, 83.4 cm2 (~69.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDHC (dedicated slot),16GB 2GB RAM,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF",5 MP,"4.0, A2DP","Li-Po 2500 mAh, removable",About 130 EUR
