Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
ZTE nubia Red Magic 8 Pro+,ZTE,42505,40,"2022, December 26",164 x 76.4 x 8.9 mm (6.46 x 3.01 x 0.35 in),230 g (8.11 oz),"6.8 inches, 111.6 cm2 (~89.1% screen-to-body ratio)","1116 x 2480 pixels, 20:9 ratio (~400 ppi density)",No,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.8, (wide), 1/1.57"", 1.0µm, PDAF
8 MP, f/2.2, 120˚, 13mm (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","16 MP, (wide), under display","5.3, A2DP, LE","Li-Po 5000 mAh, non-removable",About 700 EUR
ZTE nubia Red Magic 8 Pro,ZTE,117515,99,"2022, December 26",164 x 76.4 x 8.9 mm (6.46 x 3.01 x 0.35 in),228 g (8.04 oz),"6.8 inches, 111.6 cm2 (~89.1% screen-to-body ratio)","1116 x 2480 pixels, 20:9 ratio (~400 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), 1/1.57"", 1.0µm, PDAF
8 MP, f/2.2, 120˚, 13mm (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","16 MP, (wide), under display","5.3, A2DP, LE","Li-Po 6000 mAh, non-removable",About 550 EUR
ZTE nubia Z50,ZTE,60936,61,"2022, December 19",162.9 x 72.9 x 8.5 mm or 8.7 mm,197 g or 199 g (6.95 oz),"6.67 inches, 107.4 cm2 (~90.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM","64 MP, f/1.6, 35mm (standard), 1/1.7"", PDAF, OIS
50 MP, f/2.2, 14mm, 116˚ (ultrawide), AF","16 MP, (wide)","5.3, A2DP, LE","Li-Po 5000 mAh, non-removable",About 400 EUR
ZTE Blade V41 Vita,ZTE,24433,9,"2022, December 07",-,-,"6.6 inches, 104.9 cm2","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",microSDXC (dedicated slot),128GB 6GB RAM,"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","8 MP, (wide)","5.0, A2DP, LE","Li-Po 4500 mAh, non-removable",About 300 EUR
ZTE Voyage 40 Pro+,ZTE,50839,17,"2022, November 29",163.5 x 75.8 x 7.6 mm (6.44 x 2.98 x 0.30 in),192.5 g (6.81 oz),"6.67 inches, 107.4 cm2 (~86.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",microSDXC,256GB 8GB RAM,"64 MP, f/1.8, (wide), PDAF
5 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","16 MP, f/2.0, (wide)","5.1, A2DP, LE","Li-Po 4510 mAh, non-removable",About 300 EUR
ZTE Axon 40 Ultra Space Edition,ZTE,121329,91,"2022, November 29",163.3 x 73.6 x 8.4 mm (6.43 x 2.90 x 0.33 in),204 g (7.20 oz),"6.8 inches, 111.6 cm2 (~92.9% screen-to-body ratio)","1116 x 2480 pixels, 20:9 ratio (~400 ppi density)",No,"512GB 12GB RAM, 1TB 18GB RAM","64 MP, f/1.6, 35mm (standard), 1/1.7"", PDAF, Laser AF, OIS
64 MP, f/3.5, 91mm (periscope telephoto), 1/2"", PDAF, OIS, 3.5x optical zoom (vs. 26mm cam)
64 MP, f/2.4, 16mm, 112˚ (ultrawide), 1/1.7"", PDAF","16 MP, f/2.0, 26mm (wide), 1/2.8"", 1.22µm, under display","5.2, A2DP, LE","Li-Po 5000 mAh, non-removable",About 800 EUR
ZTE Axon 40 SE,ZTE,53508,11,"2022, October 20",163.5 x 75.8 x 7.6 mm (6.44 x 2.98 x 0.30 in),182 g (6.42 oz),"6.67 inches, 107.4 cm2 (~86.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",microSDXC (dedicated slot),128GB 4GB RAM,"50 MP, f/1.8, 26mm (wide), PDAF
5 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide)","5.0, A2DP, LE","Li-Ion 4500 mAh, non-removable",About 300 EUR
ZTE Blade V40s,ZTE,32520,5,"2022, October 04",163.5 x 75.8 x 7.6 mm (6.44 x 2.98 x 0.30 in),184 g (6.49 oz),"6.67 inches, 107.4 cm2 (~86.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",microSDXC (dedicated slot),128GB 6GB RAM,"50 MP, f/1.8, 26mm (wide), PDAF
5 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide)","5.0, A2DP, LE","Li-Ion 4500 mAh, non-removable",About 170 EUR
ZTE Axon 30S,ZTE,49222,32,"2022, September 26",170.2 x 77.8 x 7.8 mm (6.70 x 3.06 x 0.31 in),189 g (6.67 oz),"6.92 inches, 107.0 cm2 (~80.8% screen-to-body ratio)",1080 x 2460 pixels (~400 ppi density),microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.8, 25mm (wide), 1/1.73"", 0.8µm, PDAF
8 MP, f/2.2, 120˚, 16mm (ultrawide)
5 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","16 MP, f/2.5, (wide), under display","5.1, A2DP, LE","Li-Ion 4200 mAh, non-removable",About 250 EUR
ZTE nubia Z40S Pro,ZTE,197529,116,"2022, July 20",161.3 x 74 x 8.1 mm (6.35 x 2.91 x 0.32 in),205 g (7.23 oz),"6.67 inches, 107.4 cm2 (~90.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 18GB RAM","64 MP, f/1.6, 35mm (standard), 1/1.7"", PDAF, OIS
8 MP, f/3.4, 125mm (periscope telephoto), 1/4.0"", PDAF, OIS, 5x optical zoom
50 MP, f/2.2, 14mm, 116˚ (ultrawide), AF","16 MP, f/2.5, (wide)","5.2, A2DP, LE","Li-Po 5000 mAh (regular version)/ 4600 mAh (120W version), non-removable",About 490 EUR
