Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
alcatel 1B (2022),ALCATEL,55805,7,"2022, May 31",146.7 x 71.9 x 10 mm (5.78 x 2.83 x 0.39 in),172 g (6.07 oz),"5.5 inches, 78.1 cm2 (~74.0% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",microSDXC (dedicated slot),32GB 2GB RAM,"8 MP, f/2.0, 25 mm (wide), 1/4.0"", 1.12µm, AF","5 MP, f/2.2, 24 mm (wide), 1/5"", 1.12µm","5.0, A2DP",Li-Ion 3000 mAh battery,About 100 EUR
alcatel 1L Pro (2021),ALCATEL,143449,11,"2021, June 25",156.4 x 74.8 x 9.7 mm (6.16 x 2.94 x 0.38 in),190 g (6.70 oz),"6.1 inches, 91.3 cm2 (~78.1% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",microSDXC (uses shared SIM slot),32GB 2GB RAM,"13 MP, f/2.2, 26mm (wide), 1/3.06"", 1.12µm, AF
2 MP, f/2.4, (depth)","5 MP, f/2.2, 27mm (wide), 1/5.0"", 1.12µm","4.2, A2DP","Li-Ion 3000 mAh, non-removable",About 110 EUR
alcatel 1 (2021),ALCATEL,138731,15,"2021, June 25",137.6 x 65.7 x 9.8 mm (5.42 x 2.59 x 0.39 in),134 g (4.73 oz),"5.0 inches, 64.5 cm2 (~71.4% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~215 ppi density)",microSDHC (dedicated slot),"8GB 1GB RAM, 16GB 1GB RAM","5 MP, f/2.4, 1/5.0"", 1.12µm","2 MP, f/2.8","4.2, A2DP, LE",Li-Ion 2000 mAh,About 60 EUR
alcatel 3L (2021),ALCATEL,162549,15,"2021, January 12",165.6 x 75.6 x 8.7 mm (6.52 x 2.98 x 0.34 in),194 g (6.84 oz),"6.52 inches, 102.6 cm2 (~82.0% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (only single sim model),64GB 4GB RAM,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","8 MP, f/2.0, 26mm (wide), 1/4"", 1.12µm","5.0, A2DP, LE","Li-Po 4000 mAh, non-removable",$ 325.00 / £ 190.58
alcatel 1S (2021),ALCATEL,178631,14,"2021, January 12",165.6 x 75.6 x 8.8 mm (6.52 x 2.98 x 0.35 in),190 g (6.70 oz),"6.52 inches, 102.6 cm2 (~82.0% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (uses shared SIM slot),32GB 3GB RAM,"13 MP, f/2.0, 27mm (wide), 1/3.06"", 1.12µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","5 MP, f/2.2, 27mm (wide), 1/5"", 1.12µm","5.0, A2DP, LE","Li-Po 4000 mAh, non-removable",About 130 EUR
alcatel 1L (2021),ALCATEL,64118,5,"2021, January 12",155.9 x 74.5 x 9.9 mm (6.14 x 2.93 x 0.39 in),179 g (6.31 oz),"6.1 inches, 91.3 cm2 (~78.6% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",microSDXC (uses shared SIM slot),32GB 2GB RAM,"13 MP, f/1.9, 27mm (wide), 1/3.06"", 1.12µm, AF
2 MP, f/2.4, (macro)","5 MP, f/2.2, 27mm (wide), 1/5.0"", 1.12µm","5.0, A2DP, LE","Li-Ion 3000 mAh, non-removable",About 110 EUR
alcatel 1V (2021),ALCATEL,11158,1,"2021, February",165.2 x 75.5 x 8.9 mm (6.50 x 2.97 x 0.35 in),190 g (6.70 oz),"6.52 inches, 102.6 cm2 (~82.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated),"32GB 2GB RAM, 64GB 2GB RAM","13 MP, f/2.2, (wide), 1/3"", 1.12µm, AF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","5 MP, f/2.2, (wide), 1/5"", 1.12µm","5.0, A2DP, LE","Li-Ion 5000 mAh, non-removable",About 100 EUR
alcatel 1SE (2020),ALCATEL,227126,13,"2020, October 28",159.2 x 75.2 x 8.7 mm (6.27 x 2.96 x 0.34 in),175 g (6.17 oz),"6.22 inches, 96.6 cm2 (~80.7% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",microSDXC (uses shared SIM slot),"32GB 3GB RAM, 64GB 2GB RAM, 128GB 4GB RAM","13 MP, f/2.2, (wide), 1/3.06"", 1.12µm, AF
5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.4, (depth)","5 MP, f/2.2, (wide), 1/5"", 1.12µm","4.2, A2DP","Li-Po 4000 mAh, non-removable",About 150 EUR
alcatel Go Flip 4,ALCATEL,5410,2,"2021, September",107.3 x 55.6 x 19.9 mm (4.22 x 2.19 x 0.78 in),133 g (4.69 oz),"2.8 inches, 24.3 cm2 (~40.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSDHC (dedicated slot),4GB 512MB RAM,2 MP,No,"4.2, A2DP",Li-Ion 1850 mAh,$ 69.99
alcatel Go Flip 3,ALCATEL,144564,17,"2019, September 19",104.9 x 53.1 x 20.1 mm (4.13 x 2.09 x 0.79 in),118 g (4.16 oz),"2.8 inches, 24.3 cm2 (~43.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSDHC (dedicated slot),4GB 512MB RAM,2 MP,,"4.2, A2DP","Li-Ion 1350 mAh, removable",About 80 EUR
