Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Amoi E860,AMOI,191359,6,2007,112 x 60.5 x 15.8 mm (4.41 x 2.38 x 0.62 in),,"2.8 inches, 24.3 cm2 (~35.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSD (dedicated slot),50MB,2 MP,No,"1.2, A2DP",Removable Li-Ion 1150 mAh battery,
Amoi E78,AMOI,141318,7,2007,115 x 61 x 12.7 mm (4.53 x 2.40 x 0.5 in),,"2.46 inches, 18.7 cm2 (~26.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~163 ppi density)",microSD (dedicated slot),64MB,2 MP,No,"1.2, A2DP",Removable Li-Ion 1100 mAh battery,
Amoi E76,AMOI,152097,7,2007,100 x 51 x 16.8 mm (3.94 x 2.01 x 0.66 in),,"2.2 inches, 15.0 cm2 (~29.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",microSD (dedicated slot),64MB,2 MP,No,"1.2, A2DP",Removable Li-Ion 1100 mAh battery,
Amoi E72,AMOI,115143,9,2007,100 x 44.8 x 14.8 mm (3.94 x 1.76 x 0.58 in),,"2.0 inches, 12.6 cm2 (~28.1% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),microSD (dedicated slot),64MB,1.3 MP,No,"1.2, A2DP",Removable Li-Ion 1100 mAh battery,
Amoi WMA8701A,AMOI,89746,5,2007,109.4 x 48 x 13.8 mm (4.31 x 1.89 x 0.54 in),,"2.2 inches, 15.0 cm2 (~28.5% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~182 ppi density)",microSD (dedicated slot),200MB,2 MP,VGA videocall camera,"1.2, A2DP",Removable Li-Ion 820 mAh battery,
Amoi WMA8703,AMOI,94351,6,2007,109.4 x 48 x 13.8 mm (4.31 x 1.89 x 0.54 in),,"2.2 inches, 15.0 cm2 (~28.5% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~182 ppi density)",microSD (dedicated slot),200MB,3.15 MP,VGA videocall camera,"1.2, A2DP",Removable Li-Ion 920 mAh battery,
Amoi WMA8508,AMOI,90314,6,"2007, August",95 x 48 x 15.9 mm (3.74 x 1.89 x 0.63 in),,"2.0 inches, 12.6 cm2 (~27.6% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),microSD,16MB,1.3 MP,No,"1.2, A2DP",Removable Li-Ion 780 mAh battery,
Amoi CMA8170,AMOI,81356,1,2007,92.5 x 49.5 x 18.7 mm (3.64 x 1.95 x 0.74 in),,"2.0 inches, 12.6 cm2 (~27.5% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),microSD (dedicated slot),90MB,1.3 MP,No,1.1,Removable Li-Ion 860 mAh battery,
Amoi M33,AMOI,86955,5,"2007, Q3",106 x 45 x 10.5 mm (4.17 x 1.77 x 0.41 in),,"1.8 inches, 10.2 cm2 (~21.4% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSD,30MB,VGA,No,No,Removable Li-Ion 700 mAh battery,
Amoi A203,AMOI,78515,5,2007,101 x 46 x 13.4 mm (3.98 x 1.81 x 0.53 in),,"1.5 inches, 7.3 cm2 (~15.6% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",No,5MB,VGA,No,No,Removable Li-Ion 750 mAh battery,
