Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Apple iPhone 14 Pro Max,APPLE,4227298,476,"2022, September 07",160.7 x 77.6 x 7.9 mm (6.33 x 3.06 x 0.31 in),240 g (8.47 oz),"6.7 inches, 110.2 cm2 (~88.3% screen-to-body ratio)","1290 x 2796 pixels, 19.5:9 ratio (~460 ppi density)",No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM, 1TB 6GB RAM","48 MP, f/1.8, 24mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, sensor-shift OIS
12 MP, f/2.8, 77mm (telephoto), 1/3.5"", PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF
TOF 3D LiDAR scanner (depth)","12 MP, f/1.9, 23mm (wide), 1/3.6"", PDAF, OIS (unconfirmed)
SL 3D, (depth/biometrics sensor)","5.3, A2DP, LE","Li-Ion 4323 mAh, non-removable (16.68 Wh)","$ 1,099.99 / € 1,449.00 / £ 1,199.00 / ₹ 139,900"
Apple iPhone 14 Pro,APPLE,1842592,228,"2022, September 07",147.5 x 71.5 x 7.9 mm (5.81 x 2.81 x 0.31 in),206 g (7.27 oz),"6.1 inches, 91.7 cm2 (~87.0% screen-to-body ratio)","1179 x 2556 pixels, 19.5:9 ratio (~460 ppi density)",No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM, 1TB 6GB RAM","48 MP, f/1.8, 24mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, sensor-shift OIS
12 MP, f/2.8, 77mm (telephoto), 1/3.5"", PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF
TOF 3D LiDAR scanner (depth)","12 MP, f/1.9, 23mm (wide), 1/3.6"", PDAF, OIS (unconfirmed)
SL 3D, (depth/biometrics sensor)","5.3, A2DP, LE","Li-Ion 3200 mAh, non-removable (12.38 Wh)","$ 998.90 / € 1,299.00 / ₹ 129,900"
Apple iPhone 14 Plus,APPLE,930817,95,"2022, September 07",160.8 x 78.1 x 7.8 mm (6.33 x 3.07 x 0.31 in),203 g (7.16 oz),"6.7 inches, 109.8 cm2 (~87.4% screen-to-body ratio)","1284 x 2778 pixels, 19.5:9 ratio (~458 ppi density)",No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM","12 MP, f/1.5, 26mm (wide), 1/1.7"", 1.9µm, dual pixel PDAF, sensor-shift OIS
12 MP, f/2.4, 13mm, 120˚ (ultrawide)","12 MP, f/1.9, 23mm (wide), 1/3.6"", PDAF
SL 3D, (depth/biometrics sensor)","5.3, A2DP, LE","Li-Ion 4323 mAh, non-removable (16.68 Wh)","$ 889.99 / € 1,029.00 / £ 820.00 / ₹ 87,490"
Apple iPhone 14,APPLE,1458775,81,"2022, September 07",146.7 x 71.5 x 7.8 mm (5.78 x 2.81 x 0.31 in),172 g (6.07 oz),"6.1 inches, 90.2 cm2 (~86.0% screen-to-body ratio)","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)",No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM","12 MP, f/1.5, 26mm (wide), 1/1.7"", 1.9µm, dual pixel PDAF, sensor-shift OIS
12 MP, f/2.4, 13mm, 120˚ (ultrawide)","12 MP, f/1.9, 23mm (wide), 1/3.6"", PDAF
SL 3D, (depth/biometrics sensor)","5.3, A2DP, LE","Li-Ion 3279 mAh, non-removable (12.68 Wh)","$ 789.00 / € 919.00 / £ 770.00 / ₹ 77,490"
Apple iPhone SE (2022),APPLE,2307756,191,"2022, March 08",138.4 x 67.3 x 7.3 mm (5.45 x 2.65 x 0.29 in),144 g (5.08 oz),"4.7 inches, 60.9 cm2 (~65.4% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)",No,"64GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM","12 MP, f/1.8 (wide), PDAF, OIS","7 MP, f/2.2","5.0, A2DP, LE","Li-Ion 2018 mAh, non-removable (6.96 Wh)",$ 210.00 / € 486.11 / £ 397.39
Apple iPhone 13 Pro Max,APPLE,9597135,804,"2021, September 14",160.8 x 78.1 x 7.7 mm (6.33 x 3.07 x 0.30 in),240 g (8.47 oz),"6.7 inches, 109.8 cm2 (~87.4% screen-to-body ratio)","1284 x 2778 pixels, 19.5:9 ratio (~458 ppi density)",No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM, 1TB 6GB RAM","12 MP, f/1.5, 26mm (wide), 1/1.7"", 1.9µm, dual pixel PDAF, sensor-shift OIS
12 MP, f/2.8, 77mm (telephoto), PDAF, 1/3.5"", OIS, 3x optical zoom
12 MP, f/1.8, 13mm, 120˚ (ultrawide), 1/3.5"", PDAF
TOF 3D LiDAR scanner (depth)","12 MP, f/2.2, 23mm (wide), 1/3.6""
SL 3D, (depth/biometrics sensor)","5.0, A2DP, LE","Li-Ion 4352 mAh, non-removable (16.75 Wh)","$ 775.00 / € 1,624.42 / £ 1,279.00 / ₹ 120,900 / Rp 23,681,736"
Apple iPhone 13 Pro,APPLE,4187000,325,"2021, September 14",146.7 x 71.5 x 7.7 mm (5.78 x 2.81 x 0.30 in),204 g (7.20 oz),"6.1 inches, 90.2 cm2 (~86.0% screen-to-body ratio)","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)",No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM, 1TB 6GB RAM","12 MP, f/1.5, 26mm (wide), 1/1.7"", 1.9µm, dual pixel PDAF, sensor-shift OIS
12 MP, f/2.8, 77mm (telephoto), PDAF, 1/3.5"", OIS, 3x optical zoom
12 MP, f/1.8, 13mm, 120˚ (ultrawide), 1/3.5"", PDAF
TOF 3D LiDAR scanner (depth)","12 MP, f/2.2, 23mm (wide), 1/3.6""
SL 3D, (depth/biometrics sensor)","5.0, A2DP, LE","Li-Ion 3095 mAh, non-removable (12.11 Wh)","$ 892.00 / € 1,580.09 / £ 849.99 / ₹ 105,900 / Rp 19,390,000"
Apple iPhone 13,APPLE,5833083,306,"2021, September 14",146.7 x 71.5 x 7.7 mm (5.78 x 2.81 x 0.30 in),174 g (6.14 oz),"6.1 inches, 90.2 cm2 (~86.0% screen-to-body ratio)","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)",No,"128GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM","12 MP, f/1.6, 26mm (wide), 1.7µm, dual pixel PDAF, sensor-shift OIS
12 MP, f/2.4, 120˚, 13mm (ultrawide)","12 MP, f/2.2, 23mm (wide), 1/3.6""
SL 3D, (depth/biometrics sensor)","5.0, A2DP, LE","Li-Ion 3240 mAh, non-removable (12.41 Wh)","$ 589.95 / € 839.00 / £ 695.00 / ₹ 61,999 / Rp 16,614,000"
Apple iPhone 13 mini,APPLE,2319436,269,"2021, September 14",131.5 x 64.2 x 7.7 mm (5.18 x 2.53 x 0.30 in),141 g (4.97 oz),"5.4 inches, 71.9 cm2 (~85.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~476 ppi density)",No,"128GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM","12 MP, f/1.6, 26mm (wide), 1.7µm, dual pixel PDAF, sensor-shift OIS
12 MP, f/2.4, 120˚, 13mm (ultrawide)","12 MP, f/2.2, 23mm (wide), 1/3.6""
SL 3D, (depth/biometrics sensor)","5.0, A2DP, LE","Li-Ion 2438 mAh, non-removable (9.34 Wh)","$ 647.95 / € 751.63 / £ 639.00 / ₹ 65,900 / Rp 14,566,220"
Apple iPhone 12 Pro Max,APPLE,13052525,931,"2020, October 13",160.8 x 78.1 x 7.4 mm (6.33 x 3.07 x 0.29 in),228 g (8.04 oz),"6.7 inches, 109.8 cm2 (~87.4% screen-to-body ratio)","1284 x 2778 pixels, 19.5:9 ratio (~458 ppi density)",No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM","12 MP, f/1.6, 26mm (wide), 1.7µm, dual pixel PDAF, sensor-shift OIS
12 MP, f/2.2, 65mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2.5x optical zoom
12 MP, f/2.4, 13mm, 120˚ (ultrawide), 1/3.6""
TOF 3D LiDAR scanner (depth)","12 MP, f/2.2, 23mm (wide), 1/3.6""
SL 3D, (depth/biometrics sensor)","5.0, A2DP, LE","Li-Ion 3687 mAh, non-removable (14.13 Wh)","$ 840.21 / Rp 20,299,000"
