Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Archos Diamond,ARCHOS,173599,24,"2019, February",158.7 x 74.1 x 8.6 mm (6.25 x 2.92 x 0.34 in),166 g (5.86 oz),"6.39 inches, 100.2 cm2 (~85.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",microSDXC (uses shared SIM slot),128GB 4GB RAM,"16 MP, f/1.8, 1/2.8"", 1.12µm, PDAF
5 MP, f/2.2, (depth)","Motorized pop-up 8 MP, f/2.0, 1/4"", 1.12µm","4.2, A2DP, LE","Li-Po 3400 mAh, non-removable",About 300 EUR
Archos Oxygen 68XL,ARCHOS,112507,4,"2019, February",173.5 x 81.6 x 9 mm (6.83 x 3.21 x 0.35 in),214 g (7.55 oz),"6.85 inches, 117.1 cm2 (~82.7% screen-to-body ratio)","640 x 1352 pixels, 19:9 ratio (~218 ppi density)",microSDXC (uses shared SIM slot),32GB 3GB RAM,"8 MP, AF
0.3 MP",5 MP,"4.2, A2DP, LE","Li-Ion 5000 mAh, non-removable",About 150 EUR
Archos Oxygen 63,ARCHOS,67085,3,"2019, February",159.2 x 75.8 x 9.3 mm (6.27 x 2.98 x 0.37 in),162 g (5.71 oz),"6.26 inches, 97.8 cm2 (~81.1% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~269 ppi density)",microSD,64GB 4GB RAM,"8 MP, AF
0.3 MP",5 MP,"4.2, A2DP, LE","Li-Ion 3000 mAh, removable",About 130 EUR
Archos Oxygen 57,ARCHOS,54601,0,"2019, February",147.8 x 70.7 x 9.3 mm (5.82 x 2.78 x 0.37 in),150 g (5.29 oz),"5.71 inches, 81.4 cm2 (~77.9% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",microSD,32GB 3GB RAM,"8 MP, AF
0.3 MP",5 MP,"4.2, A2DP, LE","Li-Ion 2800 mAh, removable",About 100 EUR
Archos Saphir 50X,ARCHOS,90017,5,"2018, April",146.6 x 76 x 13 mm (5.77 x 2.99 x 0.51 in),210 g (7.41 oz),"5.0 inches, 68.9 cm2 (~61.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,16GB 2GB RAM,"8 MP, AF",2 MP,"4.0, A2DP, LE","Li-Ion 4000 mAh, non-removable",About 150 EUR
Archos Diamond Omega,ARCHOS,297535,54,"2017, October. Released 2017, November",147.5 x 72.7 x 8.5 mm (5.81 x 2.86 x 0.33 in),170 g (6.00 oz),"5.73 inches, 87.6 cm2 (~81.7% screen-to-body ratio)","1080 x 2040 pixels, 17:9 ratio (~403 ppi density)",No,128GB 8GB RAM,"12 MP, f/1.8, 1/2.55"", 1.4µm, dual pixel PDAF
23 MP, f/2.0, PDAF, 2x lossless zoom","5 MP, f/2.2
5 MP","4.1, A2DP, LE","Li-Po 3100 mAh, non-removable",About 300 EUR
Archos Diamond Alpha +,ARCHOS,88279,11,"2017, August. Released 2017, October",146.7 x 72.5 x 7.5 mm (5.78 x 2.85 x 0.30 in),155 g (5.47 oz),"5.2 inches, 74.5 cm2 (~70.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",microSDXC (uses shared SIM slot),128GB 6GB RAM,"13 MP, 1/2.9"", 1.25µm, AF
13 MP B/W","16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm","4.2, A2DP, LE","Li-Ion 3000 mAh, non-removable",About 400 EUR
Archos Diamond Alpha,ARCHOS,100068,10,"2017, June. Released 2017, July",146.7 x 72.5 x 7.5 mm (5.78 x 2.85 x 0.30 in),155 g (5.47 oz),"5.2 inches, 74.5 cm2 (~70.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",microSDXC (uses shared SIM slot),64GB 4GB RAM,"13 MP, 1/2.9"", 1.25µm, AF
13 MP B/W","16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm","4.2, A2DP, LE","Li-Ion 2950 mAh, non-removable",About 350 EUR
Archos Sense 55s,ARCHOS,92145,7,"2017, June. Released 2017, July",142.5 x 74.2 x 8 mm (5.61 x 2.92 x 0.31 in),130 g (4.59 oz),"5.2 inches, 74.5 cm2 (~70.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",microSDXC,16GB 2GB RAM,"8 MP, AF",Yes,"4.0, A2DP, LE","Li-Ion 3000 mAh, non-removable",About 250 EUR
Archos Diamond Gamma,ARCHOS,79901,6,"2017, June. Released 2017, July",-,-,"5.5 inches, 83.4 cm2","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDXC (uses shared SIM slot),32GB 3GB RAM,"13 MP, f/2.2, PDAF","5 MP, f/2.4","4.2, A2DP, LE","Li-Ion 3000 mAh, non-removable",About 200 EUR
