Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
BenQ F52,BENQ,235557,12,"2015, May. Released 2015, May",147 x 74.5 x 9.3 mm (5.79 x 2.93 x 0.37 in),142 g (5.01 oz),"5.2 inches, 74.5 cm2 (~68.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"13 MP, AF",8 MP,"4.0, A2DP","Li-Ion 2500 mAh, removable",
BenQ B502,BENQ,300131,7,"2014, October. Released 2014, October",144 x 69.7 x 7 mm (5.67 x 2.74 x 0.28 in),125 g (4.41 oz),"5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,16GB 2GB RAM,"13 MP, AF",5 MP,"3.0, A2DP","Li-Ion 1800 mAh, non-removable",
BenQ T3,BENQ,161176,8,"2014, September. Released 2014, September",131.9 x 66.7 x 8.5 mm (5.19 x 2.63 x 0.33 in),128 g (4.52 oz),"4.5 inches, 55.8 cm2 (~63.5% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",microSDXC (dedicated slot),4GB 1GB RAM,"8 MP, AF",VGA,"4.0, A2DP","Li-Ion 1840 mAh, non-removable",About 80 EUR
BenQ F5,BENQ,206402,10,"2014, September. Released 2014, September",143 x 72.8 x 8.5 mm (5.63 x 2.87 x 0.33 in),135 g (4.76 oz),"5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"13 MP, AF",2 MP,"4.0, A2DP","Li-Ion 2520 mAh, non-removable",About 100 EUR
BenQ F3,BENQ,135723,6,"2013, November. Released 2013, November",131.6 x 66.9 x 8.9 mm (5.18 x 2.63 x 0.35 in),119 g (4.20 oz),"4.5 inches, 55.8 cm2 (~63.4% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",microSDHC (dedicated slot),4GB 1GB RAM,"13 MP, AF",2 MP,Yes,"Li-Ion 2100 mAh, removable",About 200 EUR
BenQ A3,BENQ,122702,6,"2013, November. Released 2013, November",133.9 x 66 x 10 mm (5.27 x 2.60 x 0.39 in),135 g (4.76 oz),"4.5 inches, 55.8 cm2 (~63.2% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",microSDHC (dedicated slot),4GB 1GB RAM,"8 MP, AF",2 MP,Yes,"Li-Ion 2000 mAh, removable",About 150 EUR
BenQ E55,BENQ,157438,7,"2008, July. Released 2008, July",94 x 48 x 19 mm (3.70 x 1.89 x 0.75 in),95 g (3.35 oz),"2.0 inches, 12.6 cm2 (~27.9% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),microSD (dedicated slot),45MB,2 MP,VGA videocall camera,"1.2, A2DP",Removable Li-Ion 900 mAh battery,
BenQ C36,BENQ,153677,7,"2008, April. Released 2008",108 x 47.2 x 14.2 mm (4.25 x 1.86 x 0.56 in),78 g (2.75 oz),"2.0 inches, 12.6 cm2 (~24.7% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),microSD (dedicated slot),,1.3 MP,No,No,Removable Li-Ion 640 mAh battery,
BenQ E53,BENQ,162299,11,"2008, March. Released 2008",93 x 47 x 17 mm (3.66 x 1.85 x 0.67 in),90 g (3.17 oz),"2.0 inches, 12.6 cm2 (~28.8% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),microSD (dedicated slot),45MB,1.3 MP,Yes,2.0,Removable Li-Ion 900 mAh battery,
BenQ T60,BENQ,189650,9,"2008, March. Released 2008",109 x 46 x 8.9 mm (4.29 x 1.81 x 0.35 in),80 g (2.82 oz),"2.2 inches, 15.0 cm2 (~29.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",microSD (dedicated slot),24MB,3.15 MP,No,"1.1, A2DP",Removable Li-Ion 750 mAh battery,
BenQ M7,BENQ,130149,9,"2007, Q4",105 x 47.5 x 16.8 mm (4.13 x 1.87 x 0.66 in),93 g (3.28 oz),"2.0 inches, 12.4 cm2 (~24.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",microSD,50MB,2 MP,VGA videocall camera,1.1,Removable Li-Ion 920 mAh battery,
BenQ E72,BENQ,206219,12,"2007, August",108 x 46 x 13 mm (4.25 x 1.81 x 0.51 in),90 g (3.17 oz),"2.0 inches, 12.4 cm2 (~24.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",microSD (dedicated slot),128MB 64MB RAM,2 MP,No,"2.0, A2DP",Removable Li-Ion 900 mAh battery,About 120 EUR
BenQ C30,BENQ,139960,8,"2007, September",108 x 47.3 x 14.4 mm (4.25 x 1.86 x 0.57 in),77 g (2.72 oz),"1.8 inches, 10.2 cm2 (~20.0% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSD,,VGA,No,No,Removable Li-Ion 650 mAh battery,
