Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Cat S53,CAT,56471,6,"2022, July 19",171 x 81 x 16 mm (6.73 x 3.19 x 0.63 in),320 g (11.29 oz),"6.5 inches, 102.0 cm2 (~73.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (uses shared SIM slot),128GB 6GB RAM,"48 MP, f/1.8, (wide)
2 MP, (macro)","16 MP, f/2.0","5.1, A2DP, LE","Li-Po 5500 mAh, non-removable",About 530 EUR
Cat S22 Flip,CAT,161347,43,"2021, September 18",119.4 x 61 x 23 mm (4.70 x 2.40 x 0.91 in),224 g (7.90 oz),"2.8 inches, 24.3 cm2 (~33.3% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~286 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,5 MP,2 MP,"4.2, A2DP","Li-Ion 2000 mAh, removable",About 200 EUR
Cat S62,CAT,89281,9,"2021, June 18",157.5 x 76.2 x 12.7 mm (6.20 x 3.00 x 0.5 in),260 g (9.17 oz),"5.7 inches, 83.8 cm2 (~69.9% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~424 ppi density)",microSDXC (dedicated slot),128GB 4GB RAM,"48 MP, (wide), PDAF
2 MP",8 MP,"5.0, A2DP, LE","Li-Ion 4000 mAh, non-removable",About 440 EUR
Cat S42 H+,CAT,137467,12,"2021, April 20",161.3 x 77.2 x 12.7 mm (6.35 x 3.04 x 0.5 in),220 g (7.76 oz),"5.5 inches, 78.1 cm2 (~62.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, f/2.0, (wide), PDAF",5 MP,"5.0, A2DP, LE","Li-Ion 4200 mAh, non-removable",$ 278.68 / € 217.99 / £ 224.99 / C$ 276.63
Cat B40,CAT,105865,5,"2021, April 20",145 x 62 x 18 mm (5.71 x 2.44 x 0.71 in),157 g (5.54 oz),"2.4 inches, 17.8 cm2 (~19.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSD,Unspecified,2 MP,No,"5.0, A2DP, LE","Li-Ion 1800 mAh, non-removable",€ 69.99 / £ 69.99
Cat S62 Pro,CAT,515188,58,"2020, June 28",158.5 x 76.7 x 11.9 mm (6.24 x 3.02 x 0.47 in),248 g (8.75 oz),"5.7 inches, 83.8 cm2 (~69.0% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~424 ppi density)",microSDXC (dedicated slot),128GB 6GB RAM,"12 MP, f/1.8, (wide), 1/2.55"", 1.4µm, dual pixel PDAF
FLIR thermal camera (Lepton 3.5 module)",8 MP,"5.0, A2DP, LE","Li-Ion 4000 mAh, non-removable","$ 556.68 / € 559.00 / £ 549.00 / ₹ 79,900 / C$ 798.68"
Cat S42,CAT,304491,15,"2020, January",161.4 x 77.3 x 12.7 mm (6.35 x 3.04 x 0.5 in),220 g (7.76 oz),"5.5 inches, 78.1 cm2 (~62.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, f/2.0, (wide), PDAF",5 MP,"5.0, A2DP, LE","Li-Ion 4200 mAh, non-removable",About 300 EUR
Cat S52,CAT,366346,22,"2019, October",158.1 x 76.6 x 9.7 mm (6.22 x 3.02 x 0.38 in),210 g (7.41 oz),"5.65 inches, 82.4 cm2 (~68.0% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~285 ppi density)",microSD,64GB 4GB RAM,"12 MP, f/1.8, (wide), 1/2.55"", 1.4µm, dual pixel PDAF",8 MP,"5.0, A2DP, LE","Li-Ion 3100 mAh, non-removable",About 440 EUR
Cat B35,CAT,377124,34,"2018, September",138 x 60 x 14 mm (5.43 x 2.36 x 0.55 in),130 g (4.59 oz),"2.4 inches, 17.8 cm2 (~21.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDXC (uses shared SIM slot),4GB 512MB RAM,2 MP,No,"4.1, A2DP, LE","Li-Ion 2300 mAh, non-removable",About 110 EUR
Cat S41,CAT,689032,44,"2017, September",152 x 75 x 12.9 mm (5.98 x 2.95 x 0.51 in),218 g (7.69 oz),"5.0 inches, 68.9 cm2 (~60.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, PDAF",8 MP,"4.1, A2DP, LE","Li-Ion 5000 mAh, non-removable",About 450 EUR
Cat S31,CAT,409110,12,"2017, September",146 x 74.4 x 12.6 mm (5.75 x 2.93 x 0.50 in),200 g (7.05 oz),"4.7 inches, 60.9 cm2 (~56.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, AF",2 MP,"4.1, A2DP, LE","Li-Ion 4000 mAh, non-removable",About 330 EUR
Cat S61,CAT,802755,106,"2018, February",163 x 78 x 13 mm (6.42 x 3.07 x 0.51 in),250 g (8.82 oz),"5.2 inches, 74.5 cm2 (~58.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",microSDXC (uses shared SIM slot),64GB 4GB RAM,"16 MP, PDAF, FLIR thermal camera (Lepton module)",8 MP,"5.0, A2DP, LE","Li-Ion 4500 mAh, non-removable",About 900 EUR
Cat S60,CAT,2472894,198,"2016, February. Released 2016, June",147.9 x 73.4 x 12.7 mm (5.82 x 2.89 x 0.5 in),223 g (7.87 oz),"4.7 inches, 60.9 cm2 (~56.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, AF, FLIR thermal camera (Lepton module)",5 MP,"4.1, A2DP","Li-Ion 3800 mAh, non-removable",About 650 EUR
Cat S30,CAT,870121,17,"2015, September. Released 2015, September",141.9 x 72.7 x 13.3 mm (5.59 x 2.86 x 0.52 in),181 g (6.38 oz),"4.5 inches, 55.8 cm2 (~54.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",microSDXC (dedicated slot),8GB 1GB RAM,"5 MP, AF",2 MP,"4.1, A2DP, LE","Li-Ion 3000 mAh, non-removable",About 340 EUR
Cat S40,CAT,740451,23,"2015, July. Released 2015, August",144.9 x 74.1 x 12.5 mm (5.70 x 2.92 x 0.49 in),185 g (6.53 oz),"4.7 inches, 60.9 cm2 (~56.7% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~234 ppi density)",microSDXC (dedicated slot),16GB 1GB RAM,"8 MP, AF",2 MP,"4.1, A2DP, LE","Li-Ion 3000 mAh, non-removable",About 440 EUR
Cat B30,CAT,593371,13,"2015, June. Released 2015, June",118 x 54 x 16 mm (4.65 x 2.13 x 0.63 in),101 g (3.56 oz),"2.0 inches, 12.6 cm2 (~19.8% screen-to-body ratio)",144 x 176 pixels (~114 ppi density),microSDHC,,2 MP,No,2.1,"Li-Ion 1000 mAh, non-removable",About 140 EUR
Cat B15 Q,CAT,565065,10,"2014, Q2. Released 2014, June",125 x 69.5 x 15 mm (4.92 x 2.74 x 0.59 in),170 g (6.00 oz),"4.0 inches, 45.5 cm2 (~52.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,4GB 1GB RAM,"5 MP, AF",VGA,"4.0, A2DP, LE","Li-Ion 2000 mAh, removable",About 320 EUR
Cat S50,CAT,898686,27,"2014, September. Released 2014, November",144.5 x 77 x 12.7 mm (5.69 x 3.03 x 0.5 in),185 g (6.53 oz),"4.7 inches, 60.9 cm2 (~54.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",microSDXC (dedicated slot),8GB 2GB RAM,"8 MP, AF",VGA,"4.0, A2DP, LE","Li-Ion 2630 mAh, non-removable",About 460 EUR
Cat B15,CAT,922884,16,2013. Released 2013,125 x 69.5 x 15 mm (4.92 x 2.74 x 0.59 in),170 g (6.00 oz),"4.0 inches, 45.5 cm2 (~52.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC (dedicated slot),4GB 512MB RAM,"5 MP, AF",VGA,"3.0, A2DP","Li-Ion 2000 mAh, non-removable",About 250 EUR
Cat B100,CAT,488763,19,2013. Released 2013,123 x 56 x 17.5 mm (4.84 x 2.20 x 0.69 in),136 g (4.80 oz),"2.2 inches, 15.0 cm2 (~21.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",microSDHC (dedicated slot),"128MB ROM, 64MB RAM",3.15 MP,No,"2.0, A2DP, EDR","Li-Ion 1150 mAh, removable",About 140 EUR
Cat B25,CAT,640472,17,2013. Released 2013,125 x 57 x 22 mm (4.92 x 2.24 x 0.87 in),161 g (5.68 oz),"2.0 inches, 12.4 cm2 (~17.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",microSDHC (dedicated slot),,"2 MP, AF",No,2.1,"Li-Ion 1300 mAh, removable",About 140 EUR
