Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Celkon A403,CELKON,101340,2,"2015, August. Released 2015, August",125 x 65 x 10.2 mm (4.92 x 2.56 x 0.40 in),113 g (3.99 oz),"4.0 inches, 45.5 cm2 (~56.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,4GB 512MB RAM,3.15 MP,1.3 MP,2.0,Li-Ion 1400 mAh battery,
Celkon Campus Prime,CELKON,97750,0,"2015, August. Released 2015, August",132 x 67 x 9.3 mm (5.20 x 2.64 x 0.37 in),119.2 g (4.20 oz),"4.5 inches, 55.8 cm2 (~63.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",microSDHC,4GB 512MB RAM,3.15 MP,1.3 MP,2.0,"Li-Ion 1600 mAh, removable",
Celkon Millennia Everest,CELKON,93389,0,"2015, August. Released 2015, August",157 x 78 x 9.1 mm (6.18 x 3.07 x 0.36 in),-,"5.5 inches, 83.4 cm2 (~68.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~178 ppi density)",microSDHC,8GB 1GB RAM,5 MP,3.2 MP,2.0,Li-Ion 2500 mAh battery,
Celkon Millennia Hero,CELKON,79137,0,"2015, August. Released 2015, August",125 x 64 x 11 mm (4.92 x 2.52 x 0.43 in),113 g (3.99 oz),"4.0 inches, 45.5 cm2 (~56.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,8GB 1GB RAM,5 MP,3.2 MP,2.0,Li-Ion 1700 mAh battery,
Celkon Millennia Xplore,CELKON,109625,1,"2015, July. Released 2015, July",145.7 x 73.8 x 7.9 mm (5.74 x 2.91 x 0.31 in),150 g (5.29 oz),"5.0 inches, 68.9 cm2 (~64.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,8GB 1GB RAM,13 MP,8 MP,"4.0, A2DP",Li-Ion 2000 mAh battery,
Celkon Q455L,CELKON,71866,0,"2015, July. Released 2015, July",136.5 x 68 x 7.9 mm (5.37 x 2.68 x 0.31 in),130 g (4.59 oz),"4.5 inches, 55.8 cm2 (~60.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",3.15 MP,"4.0, A2DP",Li-Ion 1800 mAh battery,
Celkon 2GB Xpress,CELKON,80184,0,"2015, July. Released 2015, July",133.5 x 66.5 x 10.1 mm (5.26 x 2.62 x 0.40 in),134 g (4.73 oz),"4.5 inches, 57.6 cm2 (~64.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~207 ppi density)",microSDHC,16GB 2GB RAM,"5 MP, AF",1.3 MP,"2.1, EDR",Li-Ion 1500 mAh battery,
Celkon A35k Remote,CELKON,73601,1,"2015, June. Released 2015, June",119 x 63 x 10.7 mm (4.69 x 2.48 x 0.42 in),102 g (3.60 oz),"3.5 inches, 36.5 cm2 (~48.7% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC,512MB 256MB RAM,3.15 MP,VGA,"4.0, A2DP",Li-Ion 1400 mAh battery,
Celkon Q3K Power,CELKON,72418,1,"2015, July. Released 2015, July",125.8 x 65 x 9.8 mm (4.95 x 2.56 x 0.39 in),128 g (4.52 oz),"4.0 inches, 45.5 cm2 (~55.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,8GB 512MB RAM,3.15 MP,1.3 MP,"4.0, A2DP",Li-Ion 3000 mAh battery,
Celkon Q5K Power,CELKON,84336,0,"2015, June. Released 2015, June",145 x 72 x 10 mm (5.71 x 2.83 x 0.39 in),169 g (5.96 oz),"5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,4GB 512MB RAM,"5 MP, AF",3.15 MP,"4.0, A2DP",Li-Ion 5000 mAh battery,
