Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Chea A90,CHEA,107197,5,"2004, Q1",86 x 44 x 21 mm (3.39 x 1.73 x 0.83 in),82.8 g (2.89 oz),,128 x 160 pixels,No,,No,,No,Removable battery,
Chea JMS-110,CHEA,102872,5,"2004, Q1",50.3 x 94 x 24 mm (1.98 x 3.70 x 0.94 in),77 g (2.72 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion 720 mAh battery,
Chea 328,CHEA,96603,3,"2003, Q3",109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in),77 g (2.72 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion battery,
Chea 318,CHEA,79650,5,"2003, Q3",109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in),77 g (2.72 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion battery,
Chea 308,CHEA,79332,5,"2003, Q3",109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in),77 g (2.72 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion battery,
Chea 228,CHEA,90052,6,"2003, Q3",85 x 45 x 20.5 mm (3.35 x 1.77 x 0.81 in),74 g (2.61 oz),,128 x 160 pixels,No,,No,,No,Removable Li-Ion battery,
Chea 218,CHEA,77736,6,"2003, Q3",85 x 45 x 20 mm (3.35 x 1.77 x 0.79 in),74 g (2.61 oz),,128 x 160 pixels,No,,No,,No,Removable Li-Ion battery,
Chea 208,CHEA,76096,5,"2003, Q3",85 x 45 x 20 mm (3.35 x 1.77 x 0.79 in),74 g (2.61 oz),,128 x 160 pixels,No,,No,,No,Removable Li-Ion battery,
Chea 198,CHEA,89806,6,"2003, Q2",106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),80 g (2.82 oz),,"112 x 64 pixels, 16:9 ratio",No,,No,,No,Removable Li-Ion 650 mAh battery,
Chea 188,CHEA,67348,6,"2003, Q2",106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),80 g (2.82 oz),,"112 x 64 pixels, 16:9 ratio",No,,No,,No,Removable Li-Ion 650 mAh battery,
Chea 178,CHEA,72749,5,"2003, Q2",106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),80 g (2.82 oz),,"112 x 64 pixels, 16:9 ratio",No,,No,,No,Removable Li-Ion 650 mAh battery,
Chea 168,CHEA,109436,5,"2003, Q2",106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),80 g (2.82 oz),,"112 x 64 pixels, 16:9 ratio",No,,No,,No,Removable Li-Ion 650 mAh battery,
