Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Dell Streak Pro D43,DELL,617613,15,"2011, December. Released 2012, Q3",124.9 x 64.5 x 10.3 mm (4.92 x 2.54 x 0.41 in),145 g (5.11 oz),"4.3 inches, 51.0 cm2 (~63.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",microSDHC (dedicated slot),"8GB ROM, 1GB RAM","8 MP, AF",1.3 MP,"2.1, A2DP, EDR",Removable Li-Ion 1520 mAh battery,About 450 EUR
Dell Venue,DELL,1475571,15,"2010, December. Released 2010, December",121 x 64 x 12.9 mm (4.76 x 2.52 x 0.51 in),164 g (5.78 oz),"4.1 inches, 47.8 cm2 (~61.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~228 ppi density)",microSDHC (dedicated slot),1GB 512MB RAM,"8 MP, AF",No,Yes,Removable Li-Ion 1400 mAh battery,About 390 EUR
Dell XCD35,DELL,1119892,15,"2010, November. Released 2010, December",114 x 56 x 12.2 mm (4.49 x 2.20 x 0.48 in),120 g (4.23 oz),"3.5 inches, 34.9 cm2 (~54.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~267 ppi density)",microSDHC (dedicated slot),"256MB RAM, 512MB","3.15 MP, AF",No,"2.1, A2DP, EDR",Removable Li-Ion 1250 mAh battery,About 280 EUR
Dell XCD28,DELL,477040,10,"2010, November. Released 2010, November",102 x 55 x 14.5 mm (4.02 x 2.17 x 0.57 in),100 g (3.53 oz),"2.8 inches, 24.3 cm2 (~43.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","microSDHC (dedicated slot), 2 GB included","256MB RAM, 256MB","3.15 MP, AF",No,"2.1, A2DP, EDR",Removable Li-Ion 1100 mAh battery,About 180 EUR
Dell Smoke,DELL,341434,9,Not officially announced yet,120 x 59.8 x 10.5 mm (4.72 x 2.35 x 0.41 in),-,"2.8 inches, 24.3 cm2 (~33.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSDHC,,"5 MP, AF",Yes,"2.1, A2DP",Removable Li-Ion 1170 mAh battery,
Dell Flash,DELL,397580,11,"Not officially announced yet. Released Exp. release 2009, Q4",117 x 58 x 11 mm (4.61 x 2.28 x 0.43 in),110 g (3.88 oz),"3.5 inches, 34.9 cm2 (~51.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~267 ppi density)",microSDXC,"512MB RAM, 512MB","5 MP, AF",No,"3.0, A2DP",Removable Li-Ion 1300 mAh battery,
Dell Venue Pro,DELL,1292645,41,"2010, October. Released 2010, November",122 x 63.5 x 15.2 mm (4.80 x 2.5 x 0.60 in),192.8 g (6.77 oz),"4.1 inches, 47.8 cm2 (~61.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~228 ppi density)",microSDHC (dedicated slot) - not user accessible,"8GB 512MB RAM, 16GB 512MB RAM","5 MP, AF",No,"2.1, A2DP",Removable Li-Ion 1400 mAh battery,About 220 EUR
Dell Streak,DELL,3612004,29,"2010, May. Released 2010, June",152.9 x 79.1 x 10 mm (6.02 x 3.11 x 0.39 in),220 g (7.76 oz),"5.0 inches, 71.2 cm2 (~58.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~187 ppi density)",microSDHC (dedicated slot),16GB 512MB RAM,"5 MP, f/2.8, AF",VGA,"2.0, A2DP",Removable Li-Ion 1530 mAh battery,About 190 EUR
Dell Aero,DELL,772239,10,"2010, March. Released 2010, August","122 x 57.9 x 11.7 mm, 68.6 cc (4.80 x 2.28 x 0.46 in)",104 g (3.67 oz),"3.5 inches, 33.8 cm2 (~47.8% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~210 ppi density)","microSDHC (dedicated slot), 2 GB included",,"5 MP, AF",No,"2.0, A2DP",Removable Li-Ion 1000 mAh battery,About 230 EUR
Dell Mini 3i,DELL,266325,7,"2009, November. Released 2009, December",122 x 58.4 x 11.7 mm (4.80 x 2.30 x 0.46 in),102 g (3.60 oz),"3.5 inches, 33.8 cm2 (~47.4% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~210 ppi density)","microSDHC (dedicated slot), 4 GB included",256MB,"3.15 MP, AF",No,"2.0, A2DP",Removable Li-Ion 1000 mAh battery,About 230 EUR
Dell Mini 3iX,DELL,325824,9,"2009, November. Released 2009, December",120 x 59.9 x 11.7 mm (4.72 x 2.36 x 0.46 in),108 g (3.81 oz),"3.5 inches, 33.8 cm2 (~47.0% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~210 ppi density)","microSDHC (dedicated slot), 2 GB included",256MB,"3.15 MP, AF",No,"2.1, A2DP",Removable Li-Ion 1000 mAh battery,About 230 EUR
