Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Doogee S96 GT,DOOGEE,31119,9,"2022, October 13",167 x 81.4 x 15.5 mm (6.57 x 3.20 x 0.61 in),310 g (10.93 oz),"6.22 inches, 96.6 cm2 (~71.0% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",microSDXC (dedicated),256GB 8GB RAM,"48 MP, f/1.8, (wide), PDAF
8 MP, f/2.2, 130˚, (ultrawide)
20 MP, f/1.8, (night vision), 4 infrared night vision lights
2 MP, f/2.8, (depth)","32 MP, f/2.0, (ultrawide), AF","5.0, A2DP, LE","Li-Po 6350 mAh, non-removable",$ 239.99 / € 349.99 / £ 289.00
Doogee S89,DOOGEE,25575,6,"2022, August 22",172 x 86 x 19.4 mm (6.77 x 3.39 x 0.76 in),400 g (14.11 oz),"6.3 inches, 97.4 cm2 (~65.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",microSDXC (dedicated),128GB 8GB RAM,"48 MP, f/1.8, (wide), PDAF
8 MP, f/2.2, 130˚, (ultrawide)
20 MP, f/1.8, (night vision), 4 infrared night vision lights","16 MP, f/2.0, (wide)","5.1, A2DP, LE","Li-Po 12000 mAh, non-removable",About 280 EUR
Doogee S89 Pro,DOOGEE,37096,16,"2022, August 22",172 x 86 x 19.4 mm (6.77 x 3.39 x 0.76 in),400 g (14.11 oz),"6.3 inches, 97.4 cm2 (~65.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",microSDXC (dedicated),256GB 8GB RAM,"64 MP, f/1.8, (wide), PDAF
8 MP, f/2.2, 130˚, (ultrawide)
20 MP, f/1.8, (night vision), 4 infrared night vision lights","16 MP, f/2.0, (wide)","5.1, A2DP, LE","Li-Po 12000 mAh, non-removable",$ 236.04 / € 369.99 / £ 322.99
Doogee X97,DOOGEE,10332,2,"2022, August",162 x 76.9 x 9.7 mm (6.38 x 3.03 x 0.38 in),-,"6.0 inches, 92.9 cm2 (~74.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",microSDXC (dedicated),16GB 3GB RAM,"8 MP, f/1.8, (wide)
2 MP, f/2.0, (depth)","5 MP, f/2.2, (wide)","5.0, A2DP, LE","Li-Po 4200 mAh, non-removable",About 100 EUR
Doogee V11,DOOGEE,10769,3,"2022, July 15",169.3 x 81.2 x 16.1 mm (6.67 x 3.20 x 0.63 in),340 g (11.99 oz),"6.39 inches, 100.2 cm2 (~72.9% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)",Unspecified,128GB 8GB RAM,"48 MP, f/1.8, (wide), PDAF
8 MP, f/2.2, 130˚, (ultrawide)
2 MP, f/2.2, (depth)","16 MP, f/2.0, (wide)","5.2, A2DP, LE","Li-Po 8500 mAh, non-removable",About 350 EUR
Doogee S61 Pro,DOOGEE,10958,4,"2022, June 23",167.4 x 81.4 x 14.6 mm (6.59 x 3.20 x 0.57 in),266 g (9.38 oz),"6.0 inches, 92.9 cm2 (~68.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",microSDXC (dedicated),128GB 6GB RAM,"48 MP, f/1.8, (wide), PDAF
20 MP, f/1.8, (night vision), 4 infrared night vision lights","16 MP, f/2.0, (wide)","5.0, A2DP, LE","Li-Po 5180 mAh, non-removable",About 190 EUR
Doogee S61,DOOGEE,6916,1,"2022, June 23",167.4 x 81.4 x 14.6 mm (6.59 x 3.20 x 0.57 in),266 g (9.38 oz),"6.0 inches, 92.9 cm2 (~68.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",microSDXC (dedicated),64GB 6GB RAM,"20 MP, f/1.8, (wide), PDAF
20 MP, f/1.8, (night vision), 4 infrared night vision lights","8 MP, f/2.0, (wide)","5.0, A2DP, LE","Li-Po 5180 mAh, non-removable",About 170 EUR
Doogee X97 Pro,DOOGEE,7449,2,"2022, June",162 x 76.9 x 9.7 mm (6.38 x 3.03 x 0.38 in),-,"6.0 inches, 92.9 cm2 (~74.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",microSDXC (dedicated),64GB 4GB RAM,"12 MP, f/1.8, (wide), PDAF
2 MP, f/1.8, (depth)","5 MP, f/2.2, (wide)","5.0, A2DP, LE","Li-Po 4200 mAh, non-removable",About 120 EUR
Doogee S98 Pro,DOOGEE,26591,7,"2022, May 27",172 x 82 x 15.5 mm (6.77 x 3.23 x 0.61 in),320 g (11.29 oz),"6.3 inches, 97.4 cm2 (~69.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",microSDXC (dedicated),256GB 8GB RAM,"48 MP, f/1.8, (wide), PDAF
20 MP, f/1.8, (night vision), 2 infrared night vision lights
Thermal imaging camera","16 MP, f/2.0, (wide)","5.1, A2DP, LE","Li-Po 6000 mAh, non-removable",$ 349.99 / € 466.38 / £ 455.55
Doogee S98,DOOGEE,9372,2,"2022, March 18",172 x 82 x 15.5 mm (6.77 x 3.23 x 0.61 in),320 g (11.29 oz),"6.3 inches, 97.4 cm2 (~69.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",microSDXC (dedicated),256GB 8GB RAM,"64 MP, f/1.8, (wide), PDAF
8 MP, f/2.2, 130˚ (ultrawide)
20 MP, f/1.8, (night vision), 2 infrared night vision lights","16 MP, f/2.0, (wide)","5.1, A2DP, LE","Li-Po 6000 mAh, non-removable",About 350 EUR
