Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Emporia Glam,EMPORIA,100263,2,"2014, March. Released 2014, June",104 x 52 x 17 mm (4.09 x 2.05 x 0.67 in),-,"2.4 inches, 17.8 cm2 (~33.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSD (dedicated slot),8MB 4MB RAM,2 MP,No,No,"Li-Ion 1020 mAh, removable",
Emporia Flip Basic,EMPORIA,105948,1,"2014, March. Released 2014, March",96 x 49 x 17 mm (3.78 x 1.93 x 0.67 in),82 g (2.89 oz),"2.4 inches, 18.1 cm2 (~38.5% screen-to-body ratio)",176 x 220 pixels (~117 ppi density),No,16MB 32MB RAM,No,,No,"Li-Ion 1020 mAh, removable",
Emporia Eco,EMPORIA,81689,1,2014,124 x 48 x 12.5 mm (4.88 x 1.89 x 0.49 in),70 g (2.47 oz),"2.2 inches, 15.2 cm2 (~25.6% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),No,16MB 32MB RAM,VGA,No,No,"Li-Ion 1020 mAh, removable",
Emporia Click Plus,EMPORIA,81650,2,2014,105 x 51 x 18.5 mm (4.13 x 2.01 x 0.73 in),110 g (3.88 oz),"2.4 inches, 17.8 cm2 (~33.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",No,20MB 64MB RAM,2 MP,No,2.0,"Li-Ion 1000 mAh, removable",
Emporia Essence Plus,EMPORIA,79833,2,2012,107 x 51 x 12 mm (4.21 x 2.01 x 0.47 in),74 g (2.61 oz),"1.8 inches, 10.2 cm2 (~18.7% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,0.3MB 2MB RAM,No,,2.0,"Li-Ion 1000 mAh, removable",
Emporia Solid Plus,EMPORIA,76807,2,2013,119 x 60 x 18 mm (4.69 x 2.36 x 0.71 in),142 g (5.01 oz),"1.8 inches, 10.2 cm2 (~14.3% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,0.5MB 4MB RAM,No,,2.0,"Li-Ion 1750 mAh, removable",
Emporia Care Plus,EMPORIA,60884,0,2013,122 x 55 x 18 mm (4.80 x 2.17 x 0.71 in),103 g (3.63 oz),"2.2 inches, 15.2 cm2 (~22.7% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),No,0.5MB 4MB RAM,No,,2.0,"Li-Ion 1750 mAh, removable",
Emporia Elegance Plus,EMPORIA,67023,0,2012,109 x 50 x 14 mm (4.29 x 1.97 x 0.55 in),92 g (3.25 oz),"1.8 inches, 10.2 cm2 (~18.7% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,0.3MB 2MB RAM,No,,2.0,"Li-Ion 1100 mAh, removable",
Emporia Elegance,EMPORIA,68489,2,2012,109 x 50 x 14 mm (4.29 x 1.97 x 0.55 in),92 g (3.25 oz),"1.8 inches, 10.2 cm2 (~18.7% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,0.3MB 2MB RAM,No,,2.0,"Li-Ion 1100 mAh, removable",
Emporia Connect,EMPORIA,70677,1,2012,108 x 53 x 20 mm (4.25 x 2.09 x 0.79 in),110 g (3.88 oz),"2.8 inches, 22.3 cm2 (~39.0% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~167 ppi density)",microSD (dedicated slot),20MB 64MB RAM,2 MP,No,2.1,"Li-Ion 1150 mAh, removable",
Emporia Click,EMPORIA,64778,1,2011,105 x 51 x 18.5 mm (4.13 x 2.01 x 0.73 in),110 g (3.88 oz),"2.2 inches, 15.2 cm2 (~28.4% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),No,2MB 64MB RAM,VGA,,2.1,"Li-Ion 1000 mAh, removable",
Emporia Talk Comfort Plus,EMPORIA,66466,0,2013,114.5 x 56 x 16 mm (4.51 x 2.20 x 0.63 in),90 g (3.17 oz),"1.9 inches, 9.3 cm2 (~14.5% screen-to-body ratio)","64 x 128 pixels, 18:9 ratio (~75 ppi density)",No,0.4MB 4MB RAM,No,,No,"Li-Ion 1000 mAh, removable",
Emporia Talk Comfort,EMPORIA,62249,0,2011,114 x 55 x 15.5 mm (4.49 x 2.17 x 0.61 in),80 g (2.82 oz),"1.8 inches, 8.4 cm2 (~13.3% screen-to-body ratio)","64 x 128 pixels, 18:9 ratio (~80 ppi density)",No,,No,,No,"Li-Ion 1000 mAh, removable",
Emporia RL1,EMPORIA,63214,2,2011,109 x 50 x 14 mm (4.29 x 1.97 x 0.55 in),92 g (3.25 oz),"1.8 inches, 10.2 cm2 (~18.7% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,8MB,No,,No,"Li-Ion 800 mAh, removable",
Emporia Talk Premium,EMPORIA,65941,2,2010,121 x 57 x 15 mm (4.76 x 2.24 x 0.59 in),110 g (3.88 oz),"2.0 inches, 10.3 cm2 (~15.0% screen-to-body ratio)","64 x 128 pixels, 18:9 ratio (~72 ppi density)",No,,No,,No,"Li-Ion 1200 mAh, removable",
