Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Energizer E4,ENERGIZER,18879,0,"2022, June",115 x 46 x 13.5 mm (4.53 x 1.81 x 0.53 in),65 g (2.29 oz),"1.77 inches, 9.9 cm2 (~18.6% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),microSDHC,4MB,QVGA,,2.0,"Li-Ion 1000 mAh battery, removable",About 10 EUR
Energizer Ultimate U608s,ENERGIZER,31146,0,"2022, June",155.4 x 73.3 x 9.8 mm (6.12 x 2.89 x 0.39 in),156.8 g (5.54 oz),"6.08 inches, 92.3 cm2 (~81.0% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~277 ppi density)",microSDXC,32GB 2GB RAM,5 MP,5 MP,"4.2, A2DP",Li-Ion 3000 mAh,About 90 EUR
Energizer E242s,ENERGIZER,16884,1,"2022, April 10",130.8 x 53.6 x 13 mm (5.15 x 2.11 x 0.51 in),116 g (4.09 oz),"2.4 inches, 17.8 cm2 (~25.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,4GB 512MB RAM,0.3 MP,0.3 MP,"4.2, A2DP, LE","Li-Ion 1700 mAh battery, removable",About 40 EUR
Energizer E284S,ENERGIZER,23688,4,"2021, December",137.6 x 62.5 x 15.6 mm (5.42 x 2.46 x 0.61 in),131 g (4.62 oz),"2.8 inches, 24.3 cm2 (~28.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSDHC,"128MB, 64MB RAM",2 MP,VGA,2.1,"Li-Ion 2000 mAh, removable",About 50 EUR
Energizer Ultimate U505s,ENERGIZER,34632,5,"2022, March",138.5 x 73.5 x 10.6 mm (5.45 x 2.89 x 0.42 in),-,"5.0 inches, 68.9 cm2 (~67.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,16GB 1GB RAM,"5 MP
VGA",2 MP,"4.0, A2DP","Li-Po 3000 mAh, removable",About 80 EUR
Energizer E282SC,ENERGIZER,23511,3,"2021, December",108.5 x 58 x 18.5 mm (4.27 x 2.28 x 0.73 in),101 g (3.56 oz),"2.8 inches, 24.3 cm2 (~38.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSDHC,4GB 512MB RAM,2 MP,No,"4.2, A2DP","Li-Ion 1400 mAh, removable",About 60 EUR
Energizer Hard Case G5,ENERGIZER,108899,15,"2021, June 29",167.7 x 78.2 x 13.7 mm (6.60 x 3.08 x 0.54 in),-,"6.3 inches, 97.4 cm2 (~74.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",microSDXC,128GB 6GB RAM,"48 MP, (wide), AF
20 MP, f/1.8
13 MP, f/2.4, (ultrawide)",8 MP,"5.1, A2DP, LE","Li-Po 5000 mAh, non-removable",About 500 EUR
Energizer U680S,ENERGIZER,76911,12,"2021, June 29",-,-,"6.8 inches, 109.8 cm2",720 x 1640 pixels (~263 ppi density),microSDHC,32GB 2GB RAM,"13 MP, AF
2 MP
VGA",5 MP,4.0,"Li-Po 7000 mAh, non-removable",About 120 EUR
Energizer E28,ENERGIZER,35229,1,"2021, April",134.5 x 56 x 16.9 mm (5.30 x 2.20 x 0.67 in),113 g (3.99 oz),"2.8 inches, 24.3 cm2 (~32.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSD,,QVGA,,2.1,Li-Ion 3000 mAh battery,About 20 EUR
Energizer E24,ENERGIZER,24174,0,"2021, April",125.3 x 54 x 14.5 mm (4.93 x 2.13 x 0.57 in),105 g (3.70 oz),"2.4 inches, 17.8 cm2 (~26.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSD,,QVGA,QVGA,2.1,Li-Ion 1900 mAh battery,About 20 EUR
Energizer E3,ENERGIZER,19926,0,"2021, April",113.9 x 48 x 14 mm (4.48 x 1.89 x 0.55 in),70 g (2.47 oz),"1.77 inches, 9.9 cm2 (~18.0% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),microSD,,QVGA,QVGA,2.1,Li-Ion 1000 mAh battery,About 10 EUR
Energizer E2,ENERGIZER,19139,0,"2021, April",116 x 50 x 13.9 mm (4.57 x 1.97 x 0.55 in),74.3 g (2.61 oz),"1.77 inches, 9.9 cm2 (~17.0% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),microSD,,QVGA,,2.1,Li-Ion 800 mAh battery,About 10 EUR
Energizer E280s,ENERGIZER,55564,14,"2021, April 07",134.5 x 56 x 16.8 mm (5.30 x 2.20 x 0.66 in),113 g (3.99 oz),"2.8 inches, 24.3 cm2 (~32.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSDHC,4GB 512MB RAM,2 MP,VGA,"2.1, EDR",Li-Ion 3000 mAh battery,About 40 EUR
Energizer Hardcase H620S,ENERGIZER,62100,10,"2020, December",163 x 78.2 x 12 mm (6.42 x 3.08 x 0.47 in),250 g (8.82 oz),"6.2 inches, 99.2 cm2 (~77.8% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~260 ppi density)",microSDHC (uses shared SIM slot),64GB 4GB RAM,"48 MP, PDAF",8 MP,"5.0, A2DP, LE","Li-Ion 5000 mAh, non-removable",About 300 EUR
Energizer Ultimate U710S,ENERGIZER,184140,19,"2020, February 17",180.3 x 86.8 x 9.2 mm (7.10 x 3.42 x 0.36 in),-,"7.12 inches, 127.8 cm2 (~81.7% screen-to-body ratio)","1080 x 2244 pixels, 18.7:9 ratio (~350 ppi density)",microSDXC,32GB 3GB RAM,"13 MP, PDAF
VGA",5 MP,"4.2, A2DP, LE","Li-Po 6000 mAh, non-removable",
Energizer Energy E12,ENERGIZER,117285,7,"2019, April",117 x 51 x 15 mm (4.61 x 2.01 x 0.59 in),91 g (3.21 oz),"1.8 inches, 10.2 cm2 (~17.1% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSDHC,4MB 4MB RAM,VGA,VGA,2.1,Li-Ion 1000 mAh battery,About 10 EUR
Energizer Hardcase H10,ENERGIZER,103838,6,"2019, April",109 x 49 x 15 mm (4.29 x 1.93 x 0.59 in),80 g (2.82 oz),"1.8 inches, 10.2 cm2 (~19.1% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSDHC,64MB 32MB RAM,VGA,VGA,3.0,Li-Ion 1000 mAh battery,About 30 EUR
Energizer Power Max P8100S,ENERGIZER,506997,96,"2019, February",-,-,"8.1 inches, 203.2 cm2","1536 x 2048 pixels, 4:3 ratio (~316 ppi density)",microSDXC,256GB 8GB RAM,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF
12 MP","24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm","5.0, A2DP, LE","Li-Po 10000 mAh, non-removable",About 900 EUR
Energizer Power Max P18K Pop,ENERGIZER,828185,96,"2019, February",⁓ 30-40 mm thickness,-,"6.2 inches, 95.9 cm2 (~83.8% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~407 ppi density)",microSDXC (uses shared SIM slot),128GB 6GB RAM,"12 MP, PDAF
5 MP
2 MP, (depth)","16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm
2 MP, depth sensor","5.0, A2DP, LE","Li-Po 18000 mAh, non-removable",
Energizer Ultimate U620S Pop,ENERGIZER,316230,22,"2019, January",153.2 x 74.9 x 10.3 mm (6.03 x 2.95 x 0.41 in),-,"6.2 inches, 95.9 cm2 (~83.6% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~407 ppi density)",microSDXC (uses shared SIM slot),128GB 6GB RAM,"12 MP, PDAF
5 MP
2 MP, (depth)","Motorized pop-up 16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm
Motorized pop-up 2 MP, depth sensor","5.0, A2DP, LE","Li-Ion 3200 mAh, non-removable",
Energizer Hardcase H570S,ENERGIZER,93715,3,"2019, February",,-,"5.7 inches, 83.8 cm2","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",microSDHC (uses shared SIM slot),16GB 2GB RAM,"13 MP, AF
0.3 MP, (depth)",8 MP,"4.2, A2DP, LE","Li-Ion 6500 mAh, non-removable",
Energizer Hardcase H501S,ENERGIZER,83302,3,"2019, February",149.4 x 69.9 x 12 mm (5.88 x 2.75 x 0.47 in),-,"5.0 inches, 64.5 cm2 (~61.8% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~215 ppi density)",microSDXC (uses shared SIM slot),16GB 2GB RAM,"16 MP, AF
2 MP, (depth)",5 MP,"4.0, A2DP, LE","Li-Ion 2500 mAh, non-removable",
Energizer Hardcase H280S,ENERGIZER,111437,11,"2019, February",142 x 64 x 16.5 mm (5.59 x 2.52 x 0.65 in),256 g (9.03 oz),"2.8 inches, 24.3 cm2 (~26.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSDXC,4GB 512MB RAM,2 MP,0.3 MP,3.0,Li-Ion 2000 mAh battery,About 80 EUR
Energizer Hardcase H241,ENERGIZER,59915,2,"2019, February",128.5 x 56.5 x 16.5 mm (5.06 x 2.22 x 0.65 in),-,"2.4 inches, 17.8 cm2 (~24.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDXC,128MB 64MB RAM,2 MP,0.3 MP,Yes,Li-Ion 2500 mAh battery,
