Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Ericsson R600,ERICSSON,399952,22,"2001, Q4",105 x 45 x 20 mm (4.13 x 1.77 x 0.79 in),82 g (2.89 oz),,5 lines,No,,No,,No,Removable Li-Ion (BST-20),
Ericsson T68,ERICSSON,594104,47,"2001, Q4",101 x 48 x 19.5 mm (3.98 x 1.89 x 0.77 in),84 g (2.96 oz),,101 x 80 pixels,No,,No,,1.0b,Removable Li-Ion battery (BST-14),
Ericsson T66,ERICSSON,282083,16,"2001, Q4",92 x 41 x 17.5 mm (3.62 x 1.61 x 0.69 in),59 g (2.08 oz),,5 lines,No,,No,,No,Removable NiMH battery,
Ericsson T65,ERICSSON,367001,34,"2001, Q4",105 x 49 x 21 mm (4.13 x 1.93 x 0.83 in),94 g (3.32 oz),,"6 lines, 101 x 67 pixels",No,,No,,No,Removable Li-Ion battery,
Ericsson T39,ERICSSON,547127,48,2001,96 x 50 x 18 mm (3.78 x 1.97 x 0.71 in),86 g (3.03 oz),,"101 x 54 pixels, 4 lines, 17:9 ratio",No,,No,,1.0b,Removable NiMH battery,
Ericsson A3618,ERICSSON,211657,14,"2001, Q3",111 x 47 x 22 mm (4.37 x 1.85 x 0.87 in),86 g (3.03 oz),,4 lines,No,,No,,No,Removable NiMH battery,
Ericsson T29s,ERICSSON,321152,28,"2001, February",101 x 49 x 20 mm (3.98 x 1.93 x 0.79 in),95 g (3.35 oz),,"101 x 33 pixels, 3 x 12 chars",No,,No,,No,Removable NiMH battery,
Ericsson R520m,ERICSSON,223942,17,Q2 2001 ?,130 x 50 x 16 mm (5.12 x 1.97 x 0.63 in),105 g (3.70 oz),,5 lines,No,,No,,1.0b,Removable NiMH battery,
Ericsson T20e,ERICSSON,197331,12,2001,101 x 54 x 28 mm (3.98 x 2.13 x 1.10 in),128 g (4.52 oz),,"101 x 33 pixels, 3 x 12 chars",No,,No,,No,Removable NiMH battery,
Ericsson A2628,ERICSSON,157763,16,2001,131 x 51 x 25 mm (5.16 x 2.01 x 0.98 in),140 g (4.94 oz),,4 lines,No,,No,,No,Removable NiMH battery,
Ericsson T20s,ERICSSON,227213,21,2000,101 x 54 x 28 mm (3.98 x 2.13 x 1.10 in),128 g (4.52 oz),,"101 x 33 pixels, 3 x 12 chars",No,,No,,No,Removable NiMH battery,
Ericsson T36,ERICSSON,163884,14,2000,105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in),88 g (3.10 oz),,4 lines,No,,No,,Yes,Removable Li-Po battery,
Ericsson R380,ERICSSON,390691,37,2000,130 x 50 x 26 mm (5.12 x 1.97 x 1.02 in),164 g (5.78 oz),,Big,No,,No,,No,Removable NiMH battery,
Ericsson R320,ERICSSON,391109,27,2000,130 x 51 x 15 mm (5.12 x 2.01 x 0.59 in),99 g (3.49 oz),,5 lines,No,,No,,No,Removable NiMH battery,
Ericsson R310s,ERICSSON,341988,25,2000,131 x 53 x 25 mm (5.16 x 2.09 x 0.98 in),173 g (6.10 oz),,5 lines,No,,No,,No,Removable NiMH battery,
Ericsson A2618,ERICSSON,152689,14,2000,131 x 51 x 25 mm (5.16 x 2.01 x 0.98 in),140 g (4.94 oz),,4 lines,No,,No,,No,Removable NiMH battery,
Ericsson R250s PRO,ERICSSON,233391,14,2000,148 x 59 x 32 mm (5.83 x 2.32 x 1.26 in),330 g (11.64 oz),,4 lines,No,,No,,No,Removable battery,
Ericsson T28 World,ERICSSON,365509,22,1999,97 x 50 x 15 mm (3.82 x 1.97 x 0.59 in),83 g (2.93 oz),,"101 x 33 pixels, 3 x 12 chars",No,,No,,No,Removable Li-Po 500 mAh battery,
Ericsson T28s,ERICSSON,450224,66,1999,97 x 50 x 15 mm (3.82 x 1.97 x 0.59 in),83 g (2.93 oz),,"101 x 33 pixels, 3 x 12 chars",No,,No,,No,Removable Li-Po 500 mAh battery,
Ericsson T18s,ERICSSON,272332,25,1999,105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in),146 g (5.15 oz),,"101 x 33 pixels, 3 x 12 chars",No,,No,,No,Removable NiMH 750 mAh battery,
