Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Gigabyte GSmart Essence 4,GIGABYTE,246851,3,"2015, October. Released 2015, November",124 x 62 x 9.6 mm (4.88 x 2.44 x 0.38 in),105 g (3.70 oz),"4.0 inches, 45.5 cm2 (~59.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC (dedicated slot),4GB 512MB RAM,2 MP,VGA,"4.0, A2DP","Li-Ion 1300 mAh, removable",About 60 EUR
Gigabyte GSmart Classic Lite,GIGABYTE,159525,1,"2015, October. Released 2015, November",143 x 73 x 9.2 mm (5.63 x 2.87 x 0.36 in),145 g (5.11 oz),"5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC (dedicated slot),8GB 512MB RAM,5 MP,2 MP,2.1,"Li-Ion 2100 mAh, removable",About 80 EUR
Gigabyte GSmart Essence,GIGABYTE,153009,1,"2015, October. Released 2015, October",134 x 67 x 8.8 mm (5.28 x 2.64 x 0.35 in),125 g (4.41 oz),"4.5 inches, 55.8 cm2 (~62.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",microSDHC (dedicated slot),8GB 512MB RAM,5 MP,2 MP,"2.1, EDR","Li-Ion 1600 mAh, removable",About 70 EUR
Gigabyte GSmart Classic,GIGABYTE,162679,1,"2015, October. Released 2015, October",145 x 73 x 8.6 mm (5.71 x 2.87 x 0.34 in),150 g (5.29 oz),"5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC (dedicated slot),8GB 1GB RAM,"8 MP, AF",5 MP,"2.1, EDR","Li-Ion 2000 mAh, removable",About 100 EUR
Gigabyte GSmart Guru GX,GIGABYTE,297558,15,"2015, January. Released 2015, April",139 x 69 x 7 mm (5.47 x 2.72 x 0.28 in),115 g (4.06 oz),"5.0 inches, 68.9 cm2 (~71.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",microSDXC (dedicated slot),32GB 2GB RAM,"13 MP, AF",5 MP,"4.0, LE","Li-Ion 2300 mAh, non-removable",
Gigabyte GSmart Mika MX,GIGABYTE,179834,3,"2015, January. Released 2015, February",143 x 72 x 9.8 mm (5.63 x 2.83 x 0.39 in),165 g (5.82 oz),"5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",microSDHC (dedicated slot),8GB 1GB RAM,"5 MP, AF",2 MP,"4.0, LE","Li-Ion 3000 mAh, removable",
Gigabyte GSmart Roma RX,GIGABYTE,142974,1,"2015, January. Released 2015, April",142 x 73 x 9.5 mm (5.59 x 2.87 x 0.37 in),155 g (5.47 oz),"5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC (dedicated slot),4GB 512MB RAM,5 MP,VGA,"4.0, A2DP","Li-Ion 2000 mAh, removable",
Gigabyte GSmart Akta A4,GIGABYTE,237934,24,"2014, November. Released 2014, November",147 x 73 x 9.6 mm (5.79 x 2.87 x 0.38 in),158 g (5.57 oz),"5.0 inches, 68.9 cm2 (~64.2% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",microSDHC (dedicated slot),8GB 1GB RAM,"13 MP, AF",5 MP,"4.0, A2DP","Li-Ion 1800 mAh, removable",
Gigabyte GSmart Mika M3,GIGABYTE,202902,19,"2014, October. Released 2014, November",144 x 70.5 x 8.3 mm (5.67 x 2.78 x 0.33 in),146 g (5.15 oz),"5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC (dedicated slot),8GB 1GB RAM,"13 MP, AF",8 MP,3.0,"Li-Ion 1900 mAh, removable",
Gigabyte GSmart GX2,GIGABYTE,190071,8,"2014, August. Released 2014, September",146.5 x 73.4 x 8.7 mm (5.77 x 2.89 x 0.34 in),135 g (4.76 oz),"5.0 inches, 68.9 cm2 (~64.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",microSDXC (dedicated slot),8GB 2GB RAM,"13 MP, AF",2 MP,"4.0, A2DP","Li-Ion 2200 mAh, removable",
Gigabyte GSmart Guru (White Edition),GIGABYTE,132260,5,"2014, August. Released 2014, August",147 x 72.1 x 8.5 mm (5.79 x 2.84 x 0.33 in),165 g (5.82 oz),"5.0 inches, 68.9 cm2 (~65.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",No,32GB 2GB RAM,"13 MP, AF",5 MP,"4.0, A2DP","Li-Ion 3000 mAh, removable",
Gigabyte GSmart T4 (Lite Edition),GIGABYTE,133195,3,"2014, July. Released 2014, July",124.5 x 64 x 10.3 mm (4.90 x 2.52 x 0.41 in),115 g (4.06 oz),"4.0 inches, 45.5 cm2 (~57.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC (dedicated slot),4GB 512MB RAM,5 MP,VGA,3.0,"Li-Ion 1300 mAh, removable",
Gigabyte GSmart Arty A3,GIGABYTE,188214,10,"2014, July. Released 2014, July",145 x 73.2 x 9.4 mm (5.71 x 2.88 x 0.37 in),165 g (5.82 oz),"5.0 inches, 68.9 cm2 (~64.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC (dedicated slot),4GB 1GB RAM,"8 MP, AF",2 MP,"4.0, A2DP","Li-Ion 2000 mAh, removable",
Gigabyte GSmart Mika M2,GIGABYTE,166191,11,"2014, June. Released 2014, June",145 x 72.8 x 8.5 mm (5.71 x 2.87 x 0.33 in),150 g (5.29 oz),"5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC (dedicated slot),8GB 1GB RAM,"13 MP, AF",5 MP,"4.0, A2DP","Li-Ion 2000 mAh, removable",About 190 EUR
Gigabyte GSmart T4,GIGABYTE,214392,5,"2014, April. Released 2014, April",126 x 62 x 9.8 mm (4.96 x 2.44 x 0.39 in),121 g (4.27 oz),"4.0 inches, 45.5 cm2 (~58.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC (dedicated slot),4GB 512MB RAM,"8 MP, AF",VGA,3.0,"Li-Ion 1400 mAh, removable",About 100 EUR
Gigabyte GSmart Saga S3,GIGABYTE,190349,4,"2014, April. Released 2014, April",168 x 83 x 8.5 mm (6.61 x 3.27 x 0.33 in),190 g (6.70 oz),"6.0 inches, 99.2 cm2 (~71.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",microSDHC (dedicated slot),8GB 1GB RAM,"8 MP, AF",2 MP,"4.0, A2DP","Li-Ion 3000 mAh, non-removable",
Gigabyte GSmart Rey R3,GIGABYTE,196880,7,"2014, March. Released 2014, March",136 x 66 x 10.5 mm (5.35 x 2.60 x 0.41 in),138 g (4.87 oz),"4.5 inches, 55.8 cm2 (~62.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",microSDHC (dedicated slot),4GB 1GB RAM,"8 MP, AF",VGA,"4.0, A2DP","Li-Ion 1800 mAh, removable",
