Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Google Pixel 7 Pro,GOOGLE,1626665,404,"2022, October 06",162.9 x 76.6 x 8.9 mm (6.41 x 3.02 x 0.35 in),212 g (7.48 oz),"6.7 inches, 110.6 cm2 (~88.7% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~512 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.9, 25mm (wide), 1/1.31"", 1.2µm, multi-directional PDAF, Laser AF, OIS
48 MP, f/3.5, 120mm (telephoto), 1/2.55"", 0.7µm, multi-directional PDAF, OIS, 5x optical zoom
12 MP, f/2.2, 126˚ (ultrawide), 1/2.9"", 1.25µm, AF","10.8 MP, f/2.2, 21mm (ultrawide), 1/3.1"", 1.22µm","5.2, A2DP, LE, aptX HD","Li-Ion 5000 mAh, non-removable","$ 669.99 / € 835.00 / £ 745.36 / ₹ 74,350 / C$ 879.00"
Google Pixel 7,GOOGLE,1029319,206,"2022, October 06",155.6 x 73.2 x 8.7 mm (6.13 x 2.88 x 0.34 in),197 g (6.95 oz),"6.3 inches, 96.7 cm2 (~84.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~416 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.9, 25mm (wide), 1/1.31"", 1.2µm, multi-directional PDAF, Laser AF, OIS
12 MP, f/2.2, 114˚ (ultrawide), 1/2.9"", 1.25µm","10.8 MP, f/2.2, 21mm (ultrawide), 1/3.1"", 1.22µm","5.2, A2DP, LE, aptX HD","Li-Ion 4355 mAh, non-removable","$ 449.99 / € 596.47 / £ 510.00 / ₹ 53,940 / C$ 1,343.00"
Google Pixel 6a,GOOGLE,2590910,366,"2022, May 11",152.2 x 71.8 x 8.9 mm (5.99 x 2.83 x 0.35 in),178 g (6.28 oz),"6.1 inches, 90.7 cm2 (~83.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~429 ppi density)",No,128GB 6GB RAM,"12.2 MP, f/1.7, 27mm, (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS
12 MP, f/2.2, 17mm, 114˚ (ultrawide), 1.25µm","8 MP, f/2.0, 24mm (wide), 1.12µm","5.2, A2DP, LE","Li-Po 4410 mAh, non-removable","$ 299.99 / € 336.89 / £ 289.79 / ₹ 30,980 / C$ 487.99"
Google Pixel 6 Pro,GOOGLE,4539630,920,"2021, October 19",163.9 x 75.9 x 8.9 mm (6.45 x 2.99 x 0.35 in),210 g (7.41 oz),"6.7 inches, 110.6 cm2 (~88.9% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~512 ppi density)",No,"128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.9, 25mm (wide), 1/1.31"", 1.2µm, Dual Pixel PDAF, Laser AF, OIS
48 MP, f/3.5, 104mm (telephoto), 1/2"", 0.8µm, PDAF, OIS, 4x optical zoom
12 MP, f/2.2, 17mm, 114˚ (ultrawide), 1.25µm","11.1 MP, f/2.2, 20mm (ultrawide), 1.22µm","5.2, A2DP, LE, aptX HD","Li-Ion 5003 mAh, non-removable","$ 342.94 / € 644.41 / £ 540.00 / ₹ 57,400 / C$ 674.00"
Google Pixel 6,GOOGLE,3743168,495,"2021, October 19",158.6 x 74.8 x 8.9 mm (6.24 x 2.94 x 0.35 in),207 g (7.30 oz),"6.4 inches, 98.9 cm2 (~83.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~411 ppi density)",No,"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.9, 25mm (wide), 1/1.31"", 1.2µm, Dual Pixel PDAF, Laser AF, OIS
12 MP, f/2.2, 17mm, 114˚ (ultrawide), 1.25µm","8 MP, f/2.0, 24mm (wide), 1.12µm","5.2, A2DP, LE, aptX HD","Li-Ion 4614 mAh, non-removable","$ 298.98 / € 458.90 / £ 399.99 / ₹ 40,800 / C$ 564.99"
Google Pixel 5a 5G,GOOGLE,1849640,266,"2021, August 17",154.9 x 73.7 x 7.6 mm (6.10 x 2.90 x 0.30 in),183 g (6.46 oz),"6.34 inches, 97.0 cm2 (~85.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~415 ppi density)",No,128GB 6GB RAM,"12.2 MP, f/1.7, 27mm, (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS
16 MP, f/2.2, 119˚ (ultrawide), 1.0µm","8 MP, f/2.0, 24mm (wide), 1.12µm","5.0, A2DP, LE, aptX HD","Li-Po 4680 mAh, non-removable",$ 345.00 / C$ 670.19
Google Pixel 5,GOOGLE,5192538,678,"2020, September 30",144.7 x 70.4 x 8 mm (5.70 x 2.77 x 0.31 in),151 g (5.33 oz),"6.0 inches, 87.6 cm2 (~85.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~432 ppi density)",No,128GB 8GB RAM,"12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS
16 MP, f/2.2, 117˚ (ultrawide), 1.0µm","8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm","5.0, A2DP, LE, aptX HD","Li-Po 4080 mAh, non-removable","$ 188.94 / € 416.90 / £ 599.99 / ₹ 38,699 / C$ 847.00"
Google Pixel 4a 5G,GOOGLE,2013318,241,"2020, September 30",153.9 x 74 x 8.2 mm (Sub-6) or 8.5 mm (Sub-6 and mmWave),168 g (5G Sub-6); 171 g ( 5G Sub-6 and mmWave) (5.93 oz),"6.2 inches, 95.7 cm2 (~84.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~413 ppi density)",No,128GB 6GB RAM,"12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS
16 MP, f/2.2, 107˚ (ultrawide), 1.0µm","8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm","5.0, A2DP, LE, aptX HD","Li-Po 3885 mAh, non-removable",$ 128.35 / € 351.35 / £ 332.16 / C$ 389.99
Google Pixel 4a,GOOGLE,4646221,647,"2020, August 03",144 x 69.4 x 8.2 mm (5.67 x 2.73 x 0.32 in),143 g (5.04 oz),"5.81 inches, 83.2 cm2 (~83.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~443 ppi density)",No,128GB 6GB RAM,"12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","8 MP, f/2.0, 24mm (wide), 1.12µm","5.0, A2DP, LE, aptX HD","Li-Po 3140 mAh, non-removable","$ 231.99 / € 299.99 / £ 430.00 / ₹ 26,995 / C$ 578.00"
Google Pixel 4 XL,GOOGLE,3690913,434,"2019, October 15",160.4 x 75.1 x 8.2 mm (6.31 x 2.96 x 0.32 in),193 g (6.81 oz),"6.3 inches, 98.0 cm2 (~81.3% screen-to-body ratio)","1440 x 3040 pixels, 19:9 ratio (~537 ppi density)",No,"64GB 6GB RAM, 128GB 6GB RAM","12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS
16 MP, f/2.4, 50mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom","8 MP, f/2.0, 22mm (wide), 1.22µm, no AF
TOF 3D, (depth/biometrics sensor)","5.0, A2DP, LE, aptX HD","Li-Po 3700 mAh, non-removable","$ 279.00 / € 395.90 / £ 279.99 / ₹ 29,999 / C$ 529.99 / Rp 6,299,000"
