Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
HP Elite x3,HP,1993043,404,"2016, February. Released 2016, August",161.8 x 83.5 x 7.8 mm (6.37 x 3.29 x 0.31 in),195 g (6.88 oz),"5.96 inches, 97.5 cm2 (~72.2% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~494 ppi density)",microSDXC (uses shared SIM slot) - dual SIM model only,64GB 4GB RAM,"16 MP, f/2.2, 1.31µm, PDAF","8 MP, f/2.2, 1/4.0"", 1.12µm","4.0, A2DP, LE","Li-Po 4150 mAh, non-removable",About 700 EUR
HP Slate6 VoiceTab II,HP,465323,9,"2014, November. Released 2014, November",165.1 x 83.2 x 9 mm (6.5 x 3.28 x 0.35 in),160 g (5.64 oz),"6.0 inches, 99.2 cm2 (~72.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",microSDXC,16GB 1GB RAM,"8 MP, AF",2 MP,"3.0, EDR","Li-Ion 3000 mAh, removable",About 200 EUR
HP 7 VoiceTab,HP,612983,9,"2014, October. Released 2014, October",192.1 x 102.2 x 10.2 mm (7.56 x 4.02 x 0.40 in),305 g (10.76 oz),"6.95 inches, 135.9 cm2 (~69.2% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~171 ppi density)",microSDHC (dedicated slot),8GB 1GB RAM,5 MP,VGA,"4.0, A2DP","Li-Ion 3000 mAh, non-removable",About 140 EUR
HP 7 Plus,HP,407855,5,"2014, May. Released 2014, May",192.5 x 121.9 x 8.1 mm (7.58 x 4.80 x 0.32 in),294.8 g (10.37 oz),"7.0 inches, 137.9 cm2 (~58.8% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",microSDHC (dedicated slot),8GB 1GB RAM,2 MP,VGA,Yes,"Li-Po 2800 mAh, non-removable",About 70 EUR
HP Slate7 VoiceTab Ultra,HP,206483,6,2014. Released 2014,183.5 x 103.9 x 7.2 mm (7.22 x 4.09 x 0.28 in),239 g (8.43 oz),"7.0 inches, 142.1 cm2 (~74.5% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~323 ppi density)",microSDHC (dedicated slot),16GB 2GB RAM,"13 MP, AF",5 MP,"4.0, LE","Li-Po 5000 mAh, non-removable (19 Wh)",About 400 EUR
HP Slate7 VoiceTab,HP,1352746,21,"2014, January. Released 2014, February",9.5 mm thickness,325 g (11.46 oz),"7.0 inches, 142.1 cm2","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",microSDHC (dedicated slot),16GB 1GB RAM,"5 MP, AF",2 MP,"3.0, EDR","Li-Ion 4100 mAh, non-removable",About 180 EUR
HP Slate6 VoiceTab,HP,1622641,44,"2014, January. Released 2014, February",165 x 83.2 x 8.8 mm (6.50 x 3.28 x 0.35 in),160 g (5.64 oz),"6.0 inches, 99.2 cm2 (~72.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",microSDXC (dedicated slot),16GB 1GB RAM,"5 MP, AF",2 MP,"3.0, EDR","Li-Ion 3000 mAh, removable",About 270 EUR
HP Slate8 Pro,HP,311215,14,"2013, December. Released 2013, December",220 x 141.5 x 9.9 mm (8.66 x 5.57 x 0.39 in),453.6 g (1.00 lb),"8.0 inches, 198.2 cm2 (~63.7% screen-to-body ratio)","1200 x 1600 pixels, 4:3 ratio (~250 ppi density)",microSDHC (dedicated slot),16GB 1GB RAM,"8 MP, AF",,"4.0, LE","Li-Po 5680 mAh, non-removable",About 240 EUR
HP TouchPad 4G,HP,634440,10,"2011, July",240 x 190 x 13.7 mm (9.45 x 7.48 x 0.54 in),740 g (1.63 lb),"9.7 inches, 291.4 cm2 (~63.9% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~132 ppi density)",No,32GB 1GB RAM,1.3 MP,No,"2.1, A2DP, EDR",Non-removable Li-Ion 6300 mAh battery,
HP Veer 4G,HP,643941,23,"2011, May. Released 2011, May 15",84 x 54.5 x 15.1 mm (3.31 x 2.15 x 0.59 in),103 g (3.63 oz),"2.6 inches, 21.3 cm2 (~46.5% screen-to-body ratio)",320 x 400 pixels (~197 ppi density),No,8GB (6.1GB user available),5 MP,No,"2.1, A2DP",Removable Li-Ion 910 mAh battery,About 320 EUR
