Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Icemobile Mash,ICEMOBILE,61084,3,"2016, March. Released 2016, March",110 x 64 x 13.5 mm (4.33 x 2.52 x 0.53 in),-,"2.2 inches, 15.0 cm2 (~21.3% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~182 ppi density)",microSDHC (dedicated slot),32MB 32MB RAM,VGA,No,2.0,"Li-Ion 800 mAh, removable",
Icemobile Prime 5.0 Plus,ICEMOBILE,67765,2,"2015, February. Released 2015, February",-,-,"5.0 inches, 68.9 cm2","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",2 MP,"4.0, A2DP","Li-Ion 2000 mAh, removable",
Icemobile Prime 5.0,ICEMOBILE,58922,0,"2015, February. Released 2015, February",142 x 72.3 x 8.7 mm (5.59 x 2.85 x 0.34 in),-,"5.0 inches, 68.9 cm2 (~67.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,4GB 512MB RAM,5 MP,1.3 MP,2.0,"Li-Ion 1600 mAh, removable",
Icemobile Prime 4.0 Plus,ICEMOBILE,47321,0,"2015, February. Released 2015, February",125 x 64 x 10 mm (4.92 x 2.52 x 0.39 in),-,", -","480 x 800 pixels, 5:3 ratio",microSDHC,4GB 512MB RAM,2 MP,VGA,2.0,"Li-Ion 1400 mAh, removable",
Icemobile Gravity 4.0,ICEMOBILE,57396,1,"2014. Released 2014, November",140.4 x 75.8 x 16.3 mm (5.53 x 2.98 x 0.64 in),316 g (11.15 oz),"4.02 inches, 44.5 cm2 (~41.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~244 ppi density)",microSDHC (dedicated slot),8GB 1GB RAM,"8 MP, AF",1.3 MP,"4.0, A2DP","Li-Ion 2800 mAh, removable",
Icemobile Rock 2.4,ICEMOBILE,49827,1,2014. Released 2014,120 x 50 x 13.8 mm (4.72 x 1.97 x 0.54 in),60 g (2.12 oz),"2.4 inches, 18.1 cm2 (~30.2% screen-to-body ratio)",176 x 220 pixels (~117 ppi density),microSDHC,32MB 32MB,VGA,No,2.0,"Li-Ion 1000 mAh, removable",
Icemobile Prime 5.5,ICEMOBILE,60300,1,"2014, August. Released 2014, August",152.5 x 77 x 8.6 mm (6.00 x 3.03 x 0.34 in),-,"5.46 inches, 82.2 cm2 (~70.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~269 ppi density)",microSDXC,16GB 1GB RAM,8 MP,2 MP,Yes,"Li-Ion 2250 mAh, removable",
Icemobile Prime 3.5,ICEMOBILE,48758,0,"2014, July. Released 2014, July",119.5 x 63.5 x 10.9 mm (4.70 x 2.5 x 0.43 in),-,"3.5 inches, 36.5 cm2 (~48.1% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC,4GB 512MB RAM,2 MP,VGA,2.1,"Li-Ion 1200 mAh, removable",
Icemobile Prime 4.0,ICEMOBILE,55286,0,"2014, May. Released 2014, May",124 x 66 x 9.3 mm (4.88 x 2.60 x 0.37 in),-,"3.97 inches, 44.9 cm2 (~54.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~235 ppi density)",microSDHC,4GB 512MB RAM,2 MP,VGA,2.0,"Li-Ion 1550 mAh, removable",
Icemobile Apollo Touch 3G,ICEMOBILE,50153,1,"2014, February. Released 2014, February",110.5 x 64.5 x 12.4 mm (4.35 x 2.54 x 0.49 in),100 g (3.53 oz),"3.5 inches, 36.5 cm2 (~51.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC (dedicated slot),512MB 512MB RAM,2 MP,VGA,"2.1, EDR","Li-Ion 1200 mAh, removable",
