Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Infinix Zero 2023,INFINIX,257816,44,"2022, November 08",168.7 x 76.5 x 8.9 mm (6.64 x 3.01 x 0.35 in),201 g (7.09 oz),"6.78 inches, 109.2 cm2 (~84.6% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),microSDXC (dedicated slot),256GB 8GB RAM,"50 MP, f/1.6, (wide), PDAF
2 MP, (macro)
2 MP, (depth)","16 MP, f/2.0, (wide), 1/3"", 1.0µm",Yes,"Li-Po 5000 mAh, non-removable",About 240 EUR
Infinix Hot 20 Play,INFINIX,89869,10,"2022, October 13",171 x 78 x 8.9 mm (6.73 x 3.07 x 0.35 in),209.6 g (7.41 oz),"6.82 inches, 110.5 cm2 (~82.8% screen-to-body ratio)",720 x 1640 pixels (~263 ppi density),microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","13 MP, f/1.8, (wide), 1/3.1"", 1.12µm, AF
QVGA",8 MP,Yes,"Li-Po 6000 mAh, non-removable",About 130 EUR
Infinix Hot 20S,INFINIX,224275,17,"2022, October 13",168.7 x 76.8 x 8.5 mm (6.64 x 3.02 x 0.33 in),202 g (7.13 oz),"6.78 inches, 109.2 cm2 (~84.3% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),microSDXC (dedicated slot),128GB 8GB RAM,"50 MP, f/1.6, (wide), PDAF
2 MP, (macro)
2 MP, (depth)",8 MP,Yes,"Li-Po 5000 mAh, non-removable",
Infinix Hot 20,INFINIX,116235,11,"2022, October 13",170.7 x 77.4 x 8.3 mm (6.72 x 3.05 x 0.33 in),198 g (6.98 oz),"6.82 inches, 110.5 cm2 (~83.6% screen-to-body ratio)",720 x 1640 pixels (~263 ppi density),microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","50 MP, f/1.6, (wide), PDAF
QVGA","8 MP, f/2.0, (wide)","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 190 EUR
Infinix Note 12 (2023),INFINIX,153605,29,"2022, October 06",164.4 x 76.5 x 7.8 mm (6.47 x 3.01 x 0.31 in),195 g (6.88 oz),"6.7 inches, 108.4 cm2 (~86.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.6, (wide), PDAF
2 MP, f/2.4, (depth)
QVGA","16 MP, (wide)",Yes,"Li-Po 5000 mAh, non-removable",About 220 EUR
Infinix Zero Ultra,INFINIX,465989,100,"2022, October 05","165.5 x 74.5 x 8.8 mm - Coslight Silver
165.5 x 75.1 x 9.2 mm - Genesis Noir",213 g (7.51 oz),"6.8 inches, 111.6 cm2 (~90.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~387 ppi density)",microSDXC (dedicated slot),256GB 8GB RAM,"200 MP, f/2.0, (wide), 1/1.22"", 0.64µm, Dual Pixel PDAF, OIS
13 MP, f/2.4, (ultrawide), AF
2 MP","32 MP, (wide)",Yes,"Li-Po 4500 mAh, non-removable",About 500 EUR
Infinix Hot 20 5G,INFINIX,105464,15,"2022, October 06",166.3 x 76.5 x 8.9 mm (6.55 x 3.01 x 0.35 in),204 g (7.20 oz),"6.58 inches, 104.3 cm2 (~82.0% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","50 MP, f/1.6, (wide), 1/2.8"", 0.64µm, PDAF
QVGA","8 MP, f/2.0, (wide)","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 240 EUR
Infinix Hot 20i,INFINIX,68525,7,"2022, September 28",164.8 x 76.4 x 8.8 mm (6.49 x 3.01 x 0.35 in),195 g (6.88 oz),"6.6 inches, 104.6 cm2 (~83.1% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",microSDXC (dedicated slot),"64GB 2GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","13 MP, f/1.8, (wide), AF
QVGA
QVGA",8 MP,Yes,"Li-Ion 5000 mAh, non-removable",About 120 EUR
Infinix Zero 20,INFINIX,278164,41,"2022, October 05",164.4 x 76.7 x 8 mm (6.47 x 3.02 x 0.31 in),196 g (6.91 oz),"6.7 inches, 108.4 cm2 (~86.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM","108 MP, (wide), PDAF
13 MP, AF
2 MP","60 MP, (wide), AF, OIS",Yes,"Li-Po 4500 mAh, non-removable",About 320 EUR
Infinix Note 12i 2022,INFINIX,37272,6,"2022, September 30",164.5 x 76.7 x 7.8 mm (6.48 x 3.02 x 0.31 in),188 g (6.63 oz),"6.7 inches, 108.4 cm2 (~85.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, (wide), 1/2.8"", 0.64µm, PDAF
2 MP, f/2.4, (depth)
QVGA",8 MP,Yes,"Li-Po 5000 mAh, non-removable",About 150 EUR
Infinix Hot 12 Pro,INFINIX,184981,12,"2022, August 02",164.2 x 75.8 x 8.4 mm (6.46 x 2.98 x 0.33 in),191 g (6.74 oz),"6.6 inches, 104.6 cm2 (~84.1% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",microSDXC (dedicated slot),128GB 8GB RAM,"50 MP, f/1.6, (wide), AF
QVGA",8 MP,Yes,"Li-Ion 5000 mAh, non-removable",About 180 EUR
Infinix Smart 6 Plus (India),INFINIX,91586,7,"2022, July 29",172.6 x 77.7 x 8.7 mm (6.80 x 3.06 x 0.34 in),202 g (7.13 oz),"6.82 inches, 112.3 cm2 (~83.7% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~257 ppi density)",microSDXC (dedicated slot),"64GB 2GB RAM, 64GB 3GB RAM","8 MP, f/2.0, AF
0.3 MP, (depth)","5 MP, f/2.0","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 100 EUR
Infinix Note 12 Pro,INFINIX,261846,43,"2022, July 16",164.4 x 76.5 x 7.8 mm (6.47 x 3.01 x 0.31 in),192 g (6.77 oz),"6.7 inches, 108.4 cm2 (~86.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",microSDXC (dedicated slot),256GB 8GB RAM,"108 MP, f/1.8, (wide), 1/1.67"", PDAF
2 MP, f/2.4, (depth)
QVGA","16 MP, f/2.0, (wide)",Yes,"Li-Po 5000 mAh, non-removable",About 200 EUR
Infinix Note 12 Pro 5G,INFINIX,776004,68,"2022, July 08",164.7 x 76.9 x 8 mm (6.48 x 3.03 x 0.31 in),188 g (6.63 oz),"6.7 inches, 108.4 cm2 (~85.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM","108 MP, f/1.8, 24mm (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","16 MP, f/2.0, (wide)","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 220 EUR
