Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Intex Aqua Craze,INTEX,279608,3,"2016, January. Released 2016, January",143.5 x 71.4 x 9 mm (5.65 x 2.81 x 0.35 in),165 g (5.82 oz),"5.0 inches, 68.9 cm2 (~67.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC (dedicated slot),8GB 1GB RAM,"8 MP, AF",2 MP,"4.0, A2DP","Li-Ion 2500 mAh, removable",
Intex Aqua GenX,INTEX,116929,5,"2015, August. Released 2015, August",152.6 x 76.4 x 8.4 mm (6.01 x 3.01 x 0.33 in),175 g (6.17 oz),"5.5 inches, 83.4 cm2 (~71.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDHC (dedicated slot),16GB 2GB RAM,"13 MP, AF",5 MP,"4.0, A2DP","Li-Ion 2850 mAh, non-removable",
Intex Aqua Ace,INTEX,738500,17,"2015, October. Released 2015, October",145 x 71.5 x 6.7 mm (5.71 x 2.81 x 0.26 in),121.5 g (4.30 oz),"5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (dedicated slot),16GB 3GB RAM,"13 MP, AF",5 MP,"4.0, A2DP","Li-Po 2300 mAh, non-removable",
Intex Aqua Trend,INTEX,455088,6,"2015, September. Released 2015, September",144.5 x 72.5 x 8.9 mm (5.69 x 2.85 x 0.35 in),158.5 g (5.61 oz),"5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,16GB 2GB RAM,"13 MP, AF",5 MP,"4.0, A2DP","Li-Ion 3000 mAh, removable",
Intex Aqua 4G+,INTEX,642887,7,"2015, June. Released 2015, June",140 x 71 x 9.5 mm (5.51 x 2.80 x 0.37 in),136.5 g (4.83 oz),"5.0 inches, 68.9 cm2 (~69.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,16GB 2GB RAM,"13 MP, AF",5 MP,"4.0, A2DP","Li-Ion 2300 mAh, non-removable",
Intex Aqua Xtreme II,INTEX,260540,5,"2015, June. Released 2015, June",140 x 71.9 x 7.9 mm (5.51 x 2.83 x 0.31 in),132 g (4.66 oz),"5.0 inches, 68.9 cm2 (~68.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,16GB 2GB RAM,"13 MP, AF",5 MP,"4.0, A2DP","Li-Ion 2000 mAh, non-removable",
Intex Aqua Y2 Remote,INTEX,155358,2,"2015, February. Released 2015, February",125 x 64 x 10 mm (4.92 x 2.52 x 0.39 in),110 g (3.88 oz),"4.0 inches, 45.5 cm2 (~56.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,4GB 512MB RAM,5 MP,2 MP,2.0,"Li-Ion 1500 mAh, removable",
Intex Aqua Xtreme,INTEX,204311,7,"2014, December. Released 2014, December",144 x 69.7 x 7 mm (5.67 x 2.74 x 0.28 in),119.5 g (4.23 oz),"5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,32GB 2GB RAM,"13 MP, AF",5 MP,"4.0, A2DP","Li-Ion 2000 mAh, non-removable",
Intex Aqua Star L,INTEX,99319,1,"2015, January. Released 2015, January",141 x 72.9 x 8 mm (5.55 x 2.87 x 0.31 in),130 g (4.59 oz),"5.0 inches, 68.9 cm2 (~67.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",2 MP,2.0,"Li-Ion 2000 mAh, removable",
Intex Aqua Star 2,INTEX,591648,4,"2015, February. Released 2015, February",142 x 71.5 x 9 mm (5.59 x 2.81 x 0.35 in),122 g (4.30 oz),"5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,8GB 1GB RAM,8 MP,5 MP,2.0,"Li-Ion 2000 mAh, removable",
