Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Karbonn Titanium Mach Two S360,KARBONN,410048,12,"2015, March. Released 2015, March",138 x 70.5 x 6.3 mm (5.43 x 2.78 x 0.25 in),112 g (3.95 oz),"5.0 inches, 68.9 cm2 (~70.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",8 MP,"4.0, A2DP","Li-Ion 1900 mAh, non-removable",About 140 EUR
Karbonn Titanium Wind W4,KARBONN,148970,7,"2014, September. Released 2014, September",125.1 x 64.3 x 11 mm (4.93 x 2.53 x 0.43 in),-,"4.0 inches, 45.5 cm2 (~56.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,4GB 512MB RAM,"5 MP, AF",VGA,2.0,"Li-Ion 1950 mAh, removable",
Karbonn Titanium S99,KARBONN,77346,1,"2014, June. Released 2014, June",133 x 66 x 9.7 mm (5.24 x 2.60 x 0.38 in),-,"4.0 inches, 45.5 cm2 (~51.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,4GB 512MB RAM,5 MP,VGA,2.0,Li-Ion 1400 mAh battery,
Karbonn Sparkle V,KARBONN,1009829,23,"2014, September. Released 2014, September",132 x 67 x 9.2 mm (5.20 x 2.64 x 0.36 in),138 g (4.87 oz),"4.5 inches, 55.8 cm2 (~63.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",microSDHC,4GB 1GB RAM,"5 MP, AF",2 MP,"4.0, A2DP","Li-Ion 1700 mAh, removable",About 80 EUR
Karbonn Titanium S19,KARBONN,305170,5,"2014, August. Released 2014, August",-,-,"5.0 inches, 68.9 cm2","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,8GB 1GB RAM,"13 MP, AF",5 MP,"4.0, A2DP",Li-Ion 2000 mAh battery,About 110 EUR
Karbonn Smart A12 Star,KARBONN,424546,4,"2014, July. Released 2014, July",124.2 x 64.2 x 10.1 mm (4.89 x 2.53 x 0.40 in),130 g (4.59 oz),"4.0 inches, 45.5 cm2 (~57.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,4GB 512MB RAM,5 MP,VGA,2.0,Li-Ion 1400 mAh battery,About 50 EUR
Karbonn Titanium S1 Plus,KARBONN,376915,7,"2014, May. Released 2014, May",124 x 64 x 10.3 mm (4.88 x 2.52 x 0.41 in),129 g (4.55 oz),"4.0 inches, 45.5 cm2 (~57.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,4GB 1GB RAM,"5 MP, AF",VGA,2.0,Li-Ion 1500 mAh battery,About 80 EUR
Karbonn Titanium Hexa,KARBONN,465693,16,"2014, March. Released 2014, April",154 x 76.8 x 6.9 mm (6.06 x 3.02 x 0.27 in),-,"5.5 inches, 83.4 cm2 (~70.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDHC,16GB 2GB RAM,"13 MP, AF",5 MP,"4.0, A2DP",Li-Po 2050 mAh battery,About 200 EUR
Karbonn Titanium Octane Plus,KARBONN,2413973,74,"2014, March. Released 2014, April",147.3 x 72.6 x 7.6 mm (5.80 x 2.86 x 0.30 in),-,"5.0 inches, 68.9 cm2 (~64.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",microSDHC,16GB 2GB RAM,"16 MP, AF",8 MP,"4.0, A2DP","Li-Ion 2000 mAh, removable",About 220 EUR
Karbonn Titanium Octane,KARBONN,1145395,13,"2014, March. Released 2014, April",145.7 x 71.2 x 7.9 mm (5.74 x 2.80 x 0.31 in),-,"5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,16GB 1GB RAM,"13 MP, AF",5 MP,"4.0, A2DP","Li-Ion 2000 mAh, removable",About 170 EUR
