Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Kyocera DuraForce Pro 2,KYOCERA,277544,36,"2018, November",150.2 x 73.4 x 13.5 mm (5.91 x 2.89 x 0.53 in),243 g (8.25 oz),"5.0 inches, 68.9 cm2 (~62.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",microSDXC (dedicated slot),64GB 4GB RAM,"13 MP, AF
8 MP (ultra wide; dedicated video camera)",5 MP,"5.0, A2DP, LE","Li-Ion 3240 mAh, non-removable",About 400 EUR
Kyocera DuraForce Pro,KYOCERA,420387,19,"2016, August. Released 2016, October",148.4 x 73.4 x 12.9 mm (5.84 x 2.89 x 0.51 in),230 g (8.11 oz),"5.0 inches, 68.9 cm2 (~63.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, AF
2 MP",5 MP,"4.2, A2DP, LE","Li-Ion 3240 mAh, non-removable",
Kyocera DuraForce XD,KYOCERA,211828,9,"2015, October. Released 2015, November",166.8 x 86.4 x 13.9 mm (6.57 x 3.40 x 0.55 in),307 g (10.83 oz),"5.7 inches, 89.6 cm2 (~62.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~258 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, AF",2 MP,"4.1, A2DP, EDR, LE","Li-Ion 3700 mAh, removable",
Kyocera DuraForce,KYOCERA,406332,11,"2014, November. Released 2014, November",136.9 x 70.6 x 14 mm (5.39 x 2.78 x 0.55 in),200 g (7.05 oz),"4.5 inches, 55.8 cm2 (~57.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~326 ppi density)",microSDHC (dedicated slot),16GB 2GB RAM,"8 MP, AF",2 MP,"4.0, A2DP, EDR, LE","Li-Ion 3100 mAh, non-removable",About 320 EUR
Kyocera Hydro Life,KYOCERA,249275,7,"2014, August. Released 2014, August",131.8 x 65.4 x 10.9 mm (5.19 x 2.57 x 0.43 in),136 g (4.80 oz),"4.5 inches, 55.8 cm2 (~64.8% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",microSDHC (dedicated slot),8GB 1.5GB RAM,5 MP,2 MP,"4.0, A2DP, EDR, LE","Li-Ion 2000 mAh, removable",
Kyocera Brigadier,KYOCERA,311419,17,"2014, July. Released 2014, July",136.4 x 68.3 x 13.2 mm (5.37 x 2.69 x 0.52 in),187.1 g (6.60 oz),"4.5 inches, 55.8 cm2 (~59.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~326 ppi density)",microSDHC (dedicated slot),16GB 2GB RAM,"8 MP, AF",2 MP,"4.0, A2DP, EDR, LE","Li-Ion 3100 mAh, non-removable",About 300 EUR
Kyocera Hydro Elite,KYOCERA,282819,6,"2013, Q3. Released 2013, Q3",122.4 x 60.4 x 10.8 mm (4.82 x 2.38 x 0.43 in),128 g (4.52 oz),"4.3 inches, 51.0 cm2 (~68.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~342 ppi density)",microSDHC (dedicated slot),16GB 1.5GB RAM,"8 MP, AF",1.3 MP,"4.0, A2DP, EDR, LE","Li-Ion 2100 mAh, removable",
Kyocera Hydro Xtrm,KYOCERA,146045,0,"2013, May. Released 2013, June",124 x 64 x 10.7 mm (4.88 x 2.52 x 0.42 in),139 g (4.90 oz),"4.0 inches, 45.5 cm2 (~57.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC (dedicated slot),4GB 1GB RAM,"5 MP, AF",1.3 MP,"4.0, A2DP, EDR, LE","Li-Ion 2000 mAh, removable",
Kyocera Torque E6710,KYOCERA,221636,6,"2013, January. Released 2013, March",128.5 x 68.4 x 12.9 mm (5.06 x 2.69 x 0.51 in),168.5 g (5.93 oz),"4.0 inches, 45.5 cm2 (~51.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC (dedicated slot),"4GB (1GB user available), 1GB RAM","5 MP, AF",1.3 MP,"4.0, A2DP, EDR, LE","Li-Ion 2500 mAh, removable",About 270 EUR
Kyocera Hydro C5170,KYOCERA,262257,11,"2012, May. Released 2012, Q3",115 x 62 x 12.8 mm (4.53 x 2.44 x 0.50 in),120 g (4.23 oz),"3.5 inches, 36.5 cm2 (~51.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)","microSDHC (dedicated slot), 2 GB included",2GB 512MB RAM,"3.15 MP, AF",No,"2.1, A2DP, EDR",Removable Li-Ion 1500 mAh battery,
